Date,Lake,TAG NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site/Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On-Time (s),Water Temp (C),Secchi (cm),Weather
5/31/2017,N Twin,,BIB,703.58,4500,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,BIB,635,3575,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,BIB,713.74,5015,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,BIB,736.6,5715,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,BIB,728.98,6890,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,BIB,589.28,2060,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,BIB,800.1,6520,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,BIB,393.7,1025,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,BIB,706.12,6475,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,BIB,429.26,1245,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,BIB,718.82,5240,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,BIB,746.76,5780,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,441.96,1140,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,640.08,3450,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
