Date,Lake,TAG NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On Time (s),Water Temp..C.,Secchi (cm),Weather,Year
6/7/2017,Blue,5,COC,388,675,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,6,COC,350,535,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,7,COC,350,635,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,8,COC,326,440,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,9,COC,270,265,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,10,COC,344,565,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,11,COC,366,655,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,12,COC,352,555,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,13,COC,358,585,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,14,COC,363,610,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,15,COC,334,515,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,16,COC,382,725,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,17,COC,338,525,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,18,COC,334,580,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,19,COC,368,650,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,20,COC,310,465,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,21,COC,326,445,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,22,COC,368,550,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,23,COC,388,715,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,24,COC,380,635,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,25,COC,352,630,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,26,COC,326,515,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,27,COC,270,300,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,28,COC,332,525,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,29,COC,302,440,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,30,COC,394,755,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,31,COC,484,1160,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,32,COC,362,660,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,33,COC,346,600,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
6/7/2017,Blue,34,COC,382,715,,,R Pectoral,,Electroshocking,1,Blue Std 1,Blue Std 1,Blue Std 1,Blue Std 1,907,,,,2017
