Date,Lake,TAG NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site/Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On-Time (s),Water Temp (C),Secchi (cm),Weather,Year
5/18/2017,Center,441,BIB,538,2873.82,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,592,BIB,669,5189.22,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,475,BIB,580,3518.5,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,449,BIB,520,2356.26,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,421,BIB,404,953.4,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,486,BIB,492,2138.34,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,495,BIB,493,2047.54,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,417,BIB,528,2592.34,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,419,BIB,531,2814.8,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,459,BIB,593,4126.86,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,596,BIB,428,1366.54,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,447,BIB,504,1993.06,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,440,BIB,442,1511.82,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,468,BIB,413,1230.34,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,497,BIB,520,2433.44,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,445,BIB,538,2919.22,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,469,BIB,624,3958.88,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,420,BIB,505,2460.68,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,408,BIB,459,1339.3,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,473,BIB,460,1770.6,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,401,BIB,527,2374.42,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,402,BIB,500,2206.44,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,489,BIB,533,3255.18,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,493,BIB,513,2678.6,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,460,BIB,437,1316.6,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,597,BIB,558,3159.84,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,414,BIB,543,3187.08,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,443,BIB,656,5961.02,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,451,BIB,617,3713.72,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,591,BIB,590,3055.42,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,438,BIB,398,1171.32,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,448,BIB,511,2238.22,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,409,BIB,586,3890.78,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,585,BIB,569,2860.2,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
5/18/2017,Center,588,BIB,534,2982.78,.,,DORSAL/RIGHT PELVIC,Tagged Left Pectoral,CF Seine,.,.,,.,,.,,,.,2017
