Lake,#,Species,TL.mm,Weight.g,OtolithMAS1,SpineMAS1,OtolithMAS2,SpineMAS2,OtolithPVG1,SpinePVG1
N Twin,1,COC,442,1140,6,6,5,7,10,9
N Twin,2,COC,640,3450,4,6,5,8,9,8
N Twin,3,COC,391,745,9,7,6,6,15,10
N Twin,4,COC,587,3340,5,5,5,5,9,7
N Twin,5,COC,538,2210,4,7,7,7,7,8
N Twin,6,COC,541,2550,5,5,6,6,7,9
N Twin,7,COC,305,505,,,,,,
N Twin,8,COC,373,265,10,8,9,7,12,8
N Twin,9,COC,610,3800,14,10,7,8,9,7
N Twin,10,COC,503,1875,5,7,5,6,12,6
N Twin,11,BIB,704,4500,12,11,17,11,13,12
N Twin,12,COC,551,2185,6,6,5,5,10,9
N Twin,13,COC,749,7000,32,13,36,19,16,12
N Twin,14,COC,734,6695,8,12,15,12,8,8
N Twin,15,BIB,635,3575,12,,16,,10,
N Twin,16,BIB,714,5015,40,17,50,17,14,10
N Twin,17,COC,549,2810,6,7,6,7,6,7
N Twin,18,COC,734,3255,12,13,12,11,8,12
N Twin,19,BIB,737,5715,10,12,9,9,8,6
N Twin,20,BIB,729,6890,19,9,18,12,9,7
N Twin,21,COC,513,1805,7,7,6,8,8,8
N Twin,22,COC,549,2690,14,11,11,8,8,6
N Twin,23,BIB,589,2060,18,11,20,13,7,8
N Twin,24,BIB,800,6520,17,20,22,19,10,7
N Twin,25,COC,658,4040,,,,,,
N Twin,26,COC,737,6540,13,11,23,16,7,7
N Twin,27,BIB,394,1025,3,5,4,5,9,
N Twin,28,COC,561,2960,,,,,,
N Twin,29,COC,734,6715,30,14,24,15,8,8
N Twin,30,COC,439,1028,1,,2,,12,
N Twin,31,COC,422,1220,7,8,5,6,7,7
N Twin,32,BIB,706,6475,14,13,21,16,9,9
N Twin,33,COC,734,6550,15,10,20,12,12,10
N Twin,34,COC,427,860,7,8,6,7,11,8
N Twin,35,COC,513,2050,8,8,6,6,10,7
N Twin,36,COC,815,7090,9,8,8,12,6,9
N Twin,37,COC,356,620,5,6,3,5,14,7
N Twin,38,COC,411,830,8,7,6,6,5,8
N Twin,39,BIB,429,1245,6,5,5,4,4,4
N Twin,40,COC,368,650,5,5,7,5,8,5
N Twin,41,BIB,719,5240,13,11,13,12,6,7
N Twin,42,BIB,747,5780,19,10,18,13,7,8
N Twin,43,BIB,770,5515,11,12,14,14,8,5
N Twin,44,BIB,775,7030,16,14,15,15,10,6
N Twin,45,BIB,693,4950,7,5,18,15,10,4
N Twin,46,BIB,455,1510,2,3,2,4,6,7
N Twin,47,BIB,671,3905,16,18,18,17,8,7
N Twin,48,BIB,638,4100,20,13,20,17,6,6
N Twin,49,BIB,668,4145,14,11,21,14,5,7
N Twin,50,BIB,627,4340,22,8,26,21,10,8
N Twin,51,BIB,602,3430,21,14,21,18,11,10
N Twin,52,BIB,417,1170,2,3,8,8,10,6
N Twin,53,BIB,607,3315,10,10,10,13,8,8
