Lake,Envelope #,Species,TL mm,Weight g,Spine MAS,Otolith MAS,Spine PVG,Otolith PVG,Spine TFF,Otolith TFF,Spine DRF,Otolith DRF
N Twin,1,COC,442,1140,6,6,9,6,18,18,,
N Twin,2,COC,640,3450,4,6,10,7,8,3,,
N Twin,3,COC,391,745,9,7,8,10,15,17,,
N Twin,4,COC,587,3340,5,5,7,8,4,5,,
N Twin,5,COC,538,2210,4,7,9,10,10,5,,
N Twin,6,COC,541,2550,5,5,8,7,5,7,,
N Twin,7,COC,305,505,,,,,,,,
N Twin,8,COC,373,265,10,8,12,11,6,14,,
N Twin,9,COC,610,3800,14,10,14,8,9,11,,
N Twin,10,COC,503,1875,5,7,8,14,8,4,,
N Twin,11,BIB,704,4500,12,11,12,10,13,23,,
N Twin,12,COC,551,2185,6,6,13,12,7,10,,
N Twin,13,COC,749,7000,32,13,10,10,20,35,,
N Twin,14,COC,734,6695,8,12,11,7,12,16,,
N Twin,15,BIB,635,3575,12,,,8,,17,,
N Twin,16,BIB,714,5015,40,17,14,7,17,50,,
N Twin,17,COC,549,2810,6,7,8,8,11,5,,
N Twin,18,COC,734,3255,12,13,10,12,13,11,,
N Twin,19,BIB,737,5715,10,12,7,7,12,13,,
N Twin,20,BIB,729,6890,19,9,10,6,8,18,,
N Twin,21,COC,513,1805,7,7,9,11,8,6,,
N Twin,22,COC,549,2690,14,11,7,13,7,14,,
N Twin,23,BIB,589,2060,18,11,13,13,14,14,,
N Twin,24,BIB,800,6520,17,20,14,8,15,28,,
N Twin,25,COC,658,4040,,,,,,,,
N Twin,26,COC,737,6540,13,11,9,7,11,5,,
N Twin,27,BIB,394,1025,3,5,6,6,4,3,,
N Twin,28,COC,561,2960,,,,,,,,
N Twin,29,COC,734,6715,30,14,14,26,16,15,,
N Twin,30,COC,439,1028,1,,,6,,3,,
N Twin,31,COC,422,1220,7,8,12,8,11,4,,
N Twin,32,BIB,706,6475,14,13,14,10,12,13,,
N Twin,33,COC,734,6550,15,10,13,10,13,10,,
N Twin,34,COC,427,860,7,8,8,8,9,10,,
N Twin,35,COC,513,2050,8,8,12,8,11,12,,
N Twin,36,COC,815,7090,9,8,12,7,20,6,,
N Twin,37,COC,356,620,5,6,10,6,4,17,,
N Twin,38,COC,411,830,8,7,11,10,7,9,,
N Twin,39,BIB,429,1245,6,5,7,5,4,7,,
N Twin,40,COC,368,650,5,5,6,6,6,3,,
N Twin,41,BIB,719,5240,13,11,13,7,11,17,,
N Twin,42,BIB,747,5780,19,10,9,7,9,19,,
N Twin,43,BIB,770,5515,11,12,11,8,10,19,,
N Twin,44,BIB,775,7030,16,14,12,7,13,15,,
N Twin,45,BIB,693,4950,7,5,10,14,8,9,,
N Twin,46,BIB,455,1510,2,3,6,6,4,3,,
N Twin,47,BIB,671,3905,16,18,11,10,11,12,,
N Twin,48,BIB,638,4100,20,13,15,17,10,19,,
N Twin,49,BIB,668,4145,14,11,10,8,10,21,,
N Twin,50,BIB,627,4340,22,8,12,13,3,14,,
N Twin,51,BIB,602,3430,21,14,7,16,9,19,,
N Twin,52,BIB,417,1170,2,3,8,7,4,5,,
N Twin,53,BIB,607,3315,10,10,11,7,8,8,,
N Twin,54,BIB,424,1165,4,5,12,6,4,7,,
N Twin,55,BIB,663,4135,16,13,11,10,15,16,,
N Twin,56,BIB,752,6150,17,15,10,12,14,17,,
N Twin,57,BIB,472,1660,4,5,8,6,4,5,,
N Twin,58,BIB,472,1885,4,4,10,7,3,3,,
N Twin,59,BIB,615,3475,16,14,12,10,21,15,,
N Twin,60,BIB,643,4175,15,12,6,10,12,12,,
N Twin,61,BIB,389,925,7,7,9,6,7,9,,
N Twin,62,BIB,452,1500,5,6,8,7,6,12,,
N Twin,63,BIB,427,1050,4,5,7,7,17,8,,
