Lake,Envelope #,Species,TL mm,Weight g,Spine MAS,Otolith MAS,Spine MRP,Otolith MRP,Spine DRF,Otolith DRF
S. Twin,209,BIB,716.28,6655,10,14,9,17,9,14
S. Twin,210,BIB,510.54,2535,5,4,4,4,4,4
S. Twin,211,BIB,408.94,1075,5,5,5,4,7,4
S. Twin,212,BIB,416.56,1255,5,5,4,4,4,4
S. Twin,213,BIB,477.52,1920,6,5,5,4,5,5
S. Twin,214,BIB,472.44,1760,4,5,5,4,4,4
S. Twin,215,BIB,474.98,2035,9,6,5,4,5,5
S. Twin,216,BIB,408.94,1075,6,5,4,3,5,5
S. Twin,217,BIB,406.4,1155,4,5,4,4,4,6
S. Twin,218,BIB,469.9,1620,5,6,4,3,5,6
S. Twin,219,BIB,541.02,2880,6,7,5,6,6,5
S. Twin,220,BIB,599.44,3270,7,7,6,7,6,7
S. Twin,221,BIB,459.74,1505,6,6,5,5,4,8
S. Twin,222,BIB,406.4,1080,4,4,4,4,5,3
S. Twin,223,BIB,472.44,1695,5,5,4,3,4,5
S. Twin,224,BIB,421.64,1125,4,4,4,3,5,3
S. Twin,225,BIB,411.48,1350,6,6,6,5,5,7
S. Twin,226,BIB,436.88,1260,4,4,4,6,5,8
S. Twin,227,BIB,441.96,1430,5,5,5,4,4,4
S. Twin,228,BIB,317.5,585,3,6,2,6,2,5
S. Twin,229,BIB,462.28,1785,3,5,3,5,6,4
S. Twin,230,BIB,607.06,3885,7,7,6,6,4,8
S. Twin,231,BIB,454.66,1675,4,5,4,4,4,3
S. Twin,232,BIB,467.36,1850,5,5,5,4,4,4
S. Twin,233,BIB,419.1,1145,3,5,3,3,3,7
S. Twin,234,BIB,424.18,1260,5,6,4,3,4,5
S. Twin,235,BIB,375.92,935,3,4,3,5,4,6
S. Twin,236,BIB,363.22,805,3,3,3,4,3,4
S. Twin,237,BIB,386.08,890,3,4,3,5,2,4
S. Twin,238,COC,594.36,2715,6,7,5,5,5,6
S. Twin,239,COC,441.96,940,8,6,5,5,8,6
S. Twin,240,COC,368.3,650,4,4,3,4,4,4
S. Twin,241,COC,391.16,785,4,5,4,4,4,4
S. Twin,242,COC,381,770,,5,,5,,5
S. Twin,243,COC,434.34,1040,5,4,4,4,4,4
S. Twin,244,COC,495.3,1395,4,6,4,8,4,6
S. Twin,245,COC,403.86,915,,4,,3,,4
S. Twin,246,COC,467.36,1230,5,5,4,5,4,6
S. Twin,247,COC,459.74,1115,7,7,6,6,7,6
S. Twin,248,COC,434.34,975,7,6,5,5,6,4
S. Twin,249,COC,373.38,685,5,4,5,4,6,3
S. Twin,250,COC,492.76,1350,5,8,4,7,5,7
S. Twin,251,COC,515.62,1445,4,5,4,6,7,4
S. Twin,252,COC,574.04,2320,7,6,5,7,6,5
S. Twin,253,COC,495.3,1340,,,,,,
S. Twin,254,COC,617.22,1850,12,18,6,11,7,4
S. Twin,255,COC,604.52,2615,9,14,5,13,6,12
S. Twin,256,COC,492.76,1485,6,8,5,8,5,7
S. Twin,257,COC,368.3,575,3,6,3,4,3,7
S. Twin,258,COC,637.54,3010,17,19,13,12,13,21
S. Twin,259,COC,497.84,1510,6,8,5,7,4,6
S. Twin,260,COC,462.28,1220,6,7,5,6,4,5
S. Twin,261,COC,513.08,1545,4,5,4,6,3,5
S. Twin,262,COC,335.28,470,3,5,3,5,2,3
S. Twin,263,COC,373.38,575,6,5,4,6,4,5
S. Twin,264,COC,386.08,695,5,6,4,6,4,5
S. Twin,265,COC,360.68,740,3,3,4,7,3,8
S. Twin,266,COC,335.28,480,4,5,4,5,4,5
S. Twin,267,COC,317.5,450,6,4,3,3,2,3
S. Twin,268,COC,345.44,540,3,5,4,7,4,4
S. Twin,269,COC,337.82,525,4,4,3,6,3,3
S. Twin,270,COC,381,720,3,3,6,5,4,3
S. Twin,271,COC,375.92,620,6,5,4,3,3,4
S. Twin,272,COC,426.72,960,5,4,4,6,3,4
S. Twin,273,COC,375.92,690,8,10,3,6,4,9
S. Twin,274,COC,327.66,465,4,6,4,3,6,6
S. Twin,275,COC,386.08,785,9,5,4,4,4,4
S. Twin,276,COC,368.3,620,5,5,4,5,4,6
S. Twin,277,COC,431.8,665,6,5,4,4,4,10
S. Twin,278,COC,490.22,1240,7,7,4,6,4,5
