Date,Lake,TAG.NUMBER,Species,Length..mm.,Weight..g.,Recap,Tag.Loss,Fin.Clipped,Notes,Gear,Site.Transect,Start.Latitude,Start.Longitude,End.Latitude,End.Longitude,On.Time..s.,Water.Temp..C.,Secchi..cm.,Weather,Year
5/1/2018,Blue,7511,COC,428,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,7864,COC,430,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10101,COC,380,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10102,COC,342,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10103,COC,336,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10104,COC,340,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10106,COC,332,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10107,COC,398,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10108,COC,462,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10109,COC,410,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10110,COC,370,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10112,COC,362,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10113,COC,402,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10114,COC,358,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10115,COC,400,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10116,COC,366,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10117,COC,586,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10118,COC,352,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10119,COC,354,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10120,COC,374,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10121,COC,400,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10122,COC,387,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10123,COC,368,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10124,COC,392,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10125,COC,396,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10126,COC,404,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10127,COC,398,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10128,COC,380,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10129,COC,534,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10130,COC,400,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10131,COC,386,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10132,COC,374,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10133,COC,392,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10134,COC,380,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10135,COC,398,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
5/1/2018,Blue,10136,COC,364,NA,,NA,L Pelvic,,Electroshocking,1,,,,,1103,NA,NA,,2018
