"","Species","5 Island","Blue","Center","N. Twin","S. Twin","Silver","Storm"
"1","BBH",0,0,0,0,0,1,0
"2","BIB",120,0,132,0,0,107,5
"3","BLB",2,0,0,1,45,0,0
"4","BLC",40,28,14,0,1,62,12
"5","BLG",42,25,55,48,0,125,2
"6","BLGxGSF",0,0,0,6,0,0,0
"7","CCF",0,0,0,0,0,0,1
"8","COC",148,0,95,0,0,100,129
"9","FWD",0,0,0,0,0,16,0
"10","Golden Shiner",0,0,0,0,0,2,0
"11","GSF",0,0,0,1,0,0,0
"12","LMB",1,1,1,0,0,1,1
"13","OSS",1,0,0,1,0,2,0
"14","Spotfin shiner",0,0,0,1,0,0,0
"15","WAE",2,0,0,5,0,2,3
"16","WHB",0,0,0,0,0,0,16
"17","WHC",46,0,0,75,24,1,4
"18","WHS",0,0,0,0,0,0,3
"19","YEB",0,0,0,6,6,0,0
"20","YEP",21,0,3,0,0,21,1
"21","YLB",22,0,0,1,0,12,0
