"","Species","5 Island","Blue","Center","N. Twin","S. Twin","Silver","Storm"
"1","BBH",0,0,0,0,0,15,0
"2","BIB",169,1,343,1330,1936,301,337
"3","BLB",0,0,1,33,552,0,0
"4","BLC",0,0,101,2,0,0,5
"5","BLG",2,16,81,68,1,0,6
"6","BLGxGSF",0,0,0,1,0,0,0
"7","CCF",24,5,0,3,0,4,5
"8","COC",2165,4851,521,361,1202,849,1177
"9","FWD",0,0,4,4,67,16,0
"10","GIS",0,0,0,0,0,0,67
"11","Golden Shiner",0,0,12,0,0,0,0
"12","GSF",0,0,0,0,0,0,1
"13","LMB",2,19,14,0,0,0,3
"14","NOP",1,0,0,0,0,4,1
"15","OSS",0,0,0,0,28,0,0
"16","Painted turtle",2,0,2,1,5,16,0
"17","SMB",0,0,2,0,0,0,0
"18","Snapping Turtle",2,0,0,0,0,0,0
"19","SNG",0,0,7,0,0,0,0
"20","Softshell Turtle",2,0,0,0,0,0,0
"21","Spottail shiner",0,0,0,0,0,0,2
"22","WAE",8,0,26,34,2,104,19
"23","WHB",0,0,0,0,0,19,815
"24","WHC",0,0,4,94,928,73,418
"25","WHS",0,0,0,0,0,55,7
"26","YEB",0,0,10,4,0,36,0
"27","YEP",0,0,1,1,0,0,8
"28","YLB",322,0,16,4,3,14,10
