Lake,Species,Month,Day,Run,Effort,n,cpue,Year
Blue,COC,5,1,1,0.306388889,101,329.6464189,2018
Blue,COC,5,1,2,0.412222222,1,2.425876011,2018
Blue,COC,5,4,1,0.500555556,46,91.89789123,2018
Blue,COC,5,7,1,0.311666667,179,574.3315508,2018
Blue,COC,5,7,2,0.194722222,198,1016.833096,2018
Blue,COC,5,8,1,0.307222222,227,738.8788427,2018
Blue,COC,5,8,2,0.276388889,214,774.2713568,2018
Blue,COC,5,9,1,0.528888889,153,289.2857143,2018
Blue,COC,5,9,2,0.32,149,465.625,2018
Silver,COC,5,9,1,0.133611111,3,22.45322245,2018
Blue,COC,5,10,1,0.435803571,28,64.24912928,2018
Blue,COC,5,10,2,0.412222222,21,50.94339623,2018
Blue,COC,5,10,3,0.116111111,9,77.51196172,2018
Blue,COC,5,10,DNR1,0.825,64,77.57575758,2018
Blue,COC,5,10,DNR2,0.703055556,172,244.6463848,2018
Blue,COC,5,11,1,0.208333333,31,148.8,2018
Blue,COC,5,11,2,0.384506866,178,462.9306146,2018
Blue,COC,5,11,3,0.333333333,42,126,2018
Blue,COC,5,11,4,0.864166667,103,119.1899711,2018
N. Twin,COC,5,15,1,0.25,2,8,2018
N. Twin,COC,5,15,2,0.25,1,4,2018
N. Twin,COC,5,15,3,0.25,9,36,2018
N. Twin,COC,5,15,5,0.25,3,12,2018
Silver,COC,5,15,2,0.561944444,1,1.779535344,2018
Silver,COC,5,15,3,0.110833333,1,9.022556391,2018
Silver,COC,5,15,4,0.215,1,4.651162791,2018
Blue,COC,5,16,1,0.180833333,160,884.7926267,2018
Blue,COC,5,16,2,0.258888889,153,590.9871245,2018
S. Twin,COC,5,16,1,0.25,61,244,2018
S. Twin,COC,5,16,2,0.25,3,12,2018
S. Twin,COC,5,16,3,0.25,25,100,2018
S. Twin,COC,5,16,4,0.25,9,36,2018
Blue,COC,5,17,1,0.306666667,138,450,2018
Blue,COC,5,17,2,0.288055556,130,451.3018322,2018
Blue,COC,5,17,3,0.319722222,91,284.6220678,2018
Center,COC,5,17,1,0.261388889,3,11.47715197,2018
Center,COC,5,17,4,0.251111111,24,95.57522124,2018
Blue,COC,5,18,1,0.6975,88,126.1648746,2018
Blue,COC,5,18,2,0.448333333,64,142.7509294,2018
N. Twin,COC,5,18,2,0.25,2,8,2018
N. Twin,COC,5,18,3,0.25,21,84,2018
N. Twin,COC,5,18,5,0.25,4,16,2018
Silver,COC,5,18,1,0.255833333,2,7.817589577,2018
Silver,COC,5,18,2,0.257777778,16,62.06896552,2018
Silver,COC,5,18,3,0.237777778,3,12.61682243,2018
Silver,COC,5,18,4,0.25,6,24,2018
Silver,COC,5,18,6,0.259166667,2,7.717041801,2018
Blue,COC,5,21,1,0.4975,31,62.31155779,2018
Blue,COC,5,21,2,0.7225,95,131.4878893,2018
S. Twin,COC,5,21,1,0.25,4,16,2018
S. Twin,COC,5,21,2,0.25,2,8,2018
S. Twin,COC,5,21,3,0.25,3,12,2018
S. Twin,COC,5,21,4,0.25,3,12,2018
Storm,COC,5,21,1,0.252777778,3,11.86813187,2018
Storm,COC,5,21,2,0.250833333,4,15.94684385,2018
Storm,COC,5,21,4,0.257777778,5,19.39655172,2018
Storm,COC,5,21,5,0.256944444,2,7.783783784,2018
Storm,COC,5,21,7,0.250277778,4,15.98224195,2018
Storm,COC,5,21,9,0.250833333,5,19.93355482,2018
Storm,COC,5,21,Bonus 1,0.272777778,7,25.66191446,2018
Storm,COC,5,21,Bonus 2,0.273333333,1,3.658536585,2018
Storm,COC,5,21,Bonus 3,0.283888889,11,38.74755382,2018
Blue,COC,5,22,1,0.560555556,93,165.9068385,2018
Blue,COC,5,22,2,0.343333333,49,142.7184466,2018
5 Island,COC,5,23,1,0.363055556,9,24.78959449,2018
5 Island,COC,5,23,2,0.257777778,1,3.879310345,2018
5 Island,COC,5,23,3,0.360555556,5,13.86748844,2018
5 Island,COC,5,23,4,0.251111111,7,27.87610619,2018
5 Island,COC,5,23,5,0.251388889,1,3.977900552,2018
5 Island,COC,5,23,6,0.268055556,13,48.49740933,2018
5 Island,COC,5,23,7,0.312777778,8,25.57726465,2018
5 Island,COC,5,23,8,0.266944444,14,52.44536941,2018
5 Island,COC,5,23,9,0.313888889,7,22.30088496,2018
Blue,COC,5,24,1,0.290555556,118,406.1185468,2018
Blue,COC,5,24,2,0.305555556,93,304.3636364,2018
Blue,COC,5,24,3,0.39,144,369.2307692,2018
Silver,COC,5,24,1,0.253888889,2,7.877461707,2018
Silver,COC,5,24,2,0.255555556,9,35.2173913,2018
Silver,COC,5,24,3,0.255277778,3,11.75190424,2018
Silver,COC,5,24,4,0.274444444,15,54.65587045,2018
Silver,COC,5,24,5,0.258611111,2,7.733619764,2018
Silver,COC,5,24,6,0.248333333,2,8.053691275,2018
Silver,COC,5,24,Bonus 1,0.518611111,5,9.641135512,2018
Blue,COC,5,25,1,0.8925,222,248.7394958,2018
Center,COC,5,25,3,0.25,1,4,2018
Center,COC,5,25,4,0.2525,31,122.7722772,2018
Center,COC,5,25,5,0.260833333,3,11.50159744,2018
Center,COC,5,25,6,0.205555556,3,14.59459459,2018
Center,COC,5,25,7,0.113333333,7,61.76470588,2018
Blue,COC,5,29,1,0.716944444,142,198.0627664,2018
Blue,COC,5,30,1,0.506111111,66,130.4061471,2018
Blue,COC,5,30,2,1.019444444,80,78.47411444,2018
Blue,COC,5,30,3,0.592222222,89,150.2814259,2018
Blue,COC,5,30,4,0.407777778,65,159.400545,2018
Blue,COC,5,31,1,0.729166667,135,185.1428571,2018
Center,COC,5,31,1,0.336111111,15,44.62809917,2018
Center,COC,5,31,2,0.163611111,2,12.22410866,2018
Center,COC,5,31,3,0.221666667,10,45.11278195,2018
Blue,COC,6,1,1,0.673888889,47,69.74443528,2018
Blue,COC,6,1,2,0.478888889,120,250.5800464,2018
Silver,COC,6,1,1,0.397777778,9,22.62569832,2018
Silver,COC,6,1,2,0.697222222,9,12.90836653,2018
Silver,COC,6,1,3,0.210555556,5,23.74670185,2018
Silver,COC,6,1,4,0.358611111,15,41.82804028,2018
Silver,COC,6,1,5,0.251111111,2,7.96460177,2018
Silver,COC,6,1,6,0.143888889,2,13.8996139,2018
Silver,COC,6,1,7,0.311666667,6,19.2513369,2018
Silver,COC,6,1,8,0.338333333,9,26.60098522,2018
Blue,COC,6,4,1,0.774444444,35,45.19368723,2018
Blue,COC,6,4,2,0.701388889,21,29.94059406,2018
Center,COC,6,4,1,0.254722222,2,7.851690294,2018
Center,COC,6,4,2,0.289166667,6,20.74927954,2018
Center,COC,6,4,3,0.248055556,1,4.031354983,2018
Center,COC,6,4,4,0.183055556,2,10.92564492,2018
Center,COC,6,4,5,0.253611111,11,43.37349398,2018
N. Twin,COC,6,4,1,0.25,1,4,2018
N. Twin,COC,6,4,2,0.25,10,40,2018
N. Twin,COC,6,4,3,0.25,6,24,2018
N. Twin,COC,6,4,5,0.25,5,20,2018
Silver,COC,6,4,1,0.250277778,1,3.995560488,2018
Silver,COC,6,4,2,0.253888889,7,27.57111597,2018
Silver,COC,6,4,3,0.243055556,6,24.68571429,2018
Silver,COC,6,4,4,0.260277778,9,34.57844184,2018
Silver,COC,6,4,5,0.270277778,2,7.39979445,2018
Silver,COC,6,4,6,0.259166667,4,15.4340836,2018
Blue,COC,6,5,1,0.251388889,20,79.55801105,2018
Blue,COC,6,5,2,0.255,27,105.8823529,2018
S. Twin,COC,6,5,1,0.25,23,92,2018
S. Twin,COC,6,5,2,0.25,6,24,2018
S. Twin,COC,6,5,3,0.25,17,68,2018
S. Twin,COC,6,5,4,0.25,11,44,2018
5 Island,COC,6,6,1,0.280277778,6,21.40733399,2018
5 Island,COC,6,6,2,0.250833333,5,19.93355482,2018
5 Island,COC,6,6,3,0.283611111,9,31.73359452,2018
5 Island,COC,6,6,4,0.273611111,5,18.27411168,2018
5 Island,COC,6,6,5,0.291944444,8,27.40247383,2018
5 Island,COC,6,6,6,1.534722222,18,11.72850679,2018
Blue,COC,6,6,1,0.4225,101,239.0532544,2018
N. Twin,COC,6,6,1,0.25,15,60,2018
N. Twin,COC,6,6,2,0.25,6,24,2018
N. Twin,COC,6,6,3,0.25,6,24,2018
N. Twin,COC,6,6,5,0.25,7,28,2018
S. Twin,COC,6,7,1,0.25,58,232,2018
S. Twin,COC,6,7,2,0.25,22,88,2018
S. Twin,COC,6,7,3,0.25,12,48,2018
S. Twin,COC,6,7,4,0.25,13,52,2018
Storm,COC,6,7,1,0.334722222,46,137.4273859,2018
Storm,COC,6,7,10,0.511666667,17,33.2247557,2018
Storm,COC,6,7,11,0.418055556,15,35.88039867,2018
Storm,COC,6,7,2,0.265277778,17,64.08376963,2018
Storm,COC,6,7,4,0.239722222,15,62.57242178,2018
Storm,COC,6,7,5,0.285555556,19,66.53696498,2018
Storm,COC,6,7,7,0.350277778,38,108.4853291,2018
Storm,COC,6,7,9,0.275,14,50.90909091,2018
Silver,COC,6,8,1,0.433333333,13,30,2018
Silver,COC,6,8,2,0.433333333,19,43.84615385,2018
Silver,COC,6,8,3,0.2,7,35,2018
Silver,COC,6,8,4,0.5,22,44,2018
Storm,COC,6,8,1,0.250277778,6,23.97336293,2018
Storm,COC,6,8,10,0.269166667,15,55.72755418,2018
Storm,COC,6,8,11,0.1225,1,8.163265306,2018
Storm,COC,6,8,12,0.232777778,1,4.295942721,2018
Storm,COC,6,8,2,0.262222222,18,68.6440678,2018
Storm,COC,6,8,4,0.253888889,9,35.44857768,2018
Storm,COC,6,8,5,0.253888889,38,149.6717724,2018
Storm,COC,6,8,7,0.399722222,37,92.56428075,2018
Storm,COC,6,8,9,0.3075,12,39.02439024,2018
Silver,COC,6,9,1,0.281111111,5,17.78656126,2018
Silver,COC,6,9,2,0.361944444,8,22.1028396,2018
Silver,COC,6,9,3,0.296666667,6,20.2247191,2018
Silver,COC,6,9,4,0.274444444,6,21.86234818,2018
Silver,COC,6,9,5,0.333888889,3,8.985024958,2018
Silver,COC,6,9,6,0.225277778,8,35.51171393,2018
Center,COC,6,11,1,0.226944444,4,17.625459,2018
Center,COC,6,11,2,0.280555556,5,17.82178218,2018
Center,COC,6,11,3,0.186666667,1,5.357142857,2018
Center,COC,6,11,4,0.166388889,2,12.02003339,2018
Center,COC,6,11,5,0.211666667,6,28.34645669,2018
Center,COC,6,11,Bonus 1,0.124722222,3,24.05345212,2018
5 Island,COC,6,12,1,0.556944444,7,12.56857855,2018
5 Island,COC,6,12,2,0.544444444,12,22.04081633,2018
5 Island,COC,6,12,3,0.468888889,9,19.1943128,2018
5 Island,COC,6,12,4,0.491388889,15,30.52572075,2018
Silver,COC,6,12,1,0.603055556,12,19.89866421,2018
Silver,COC,6,12,2,0.614722222,18,29.2815183,2018
Silver,COC,6,12,3,0.775,15,19.35483871,2018
Silver,COC,6,12,4,0.27,4,14.81481481,2018
Blue,COC,6,13,1,0.396666667,27,68.06722689,2018
Blue,COC,6,13,2,0.666388889,44,66.02751146,2018
Blue,COC,6,13,3,0.250277778,15,59.93340733,2018
Blue,COC,6,13,4,0.258333333,16,61.93548387,2018
Storm,COC,6,13,1,0.923333333,25,27.07581227,2018
Storm,COC,6,13,2,0.393888889,26,66.00846262,2018
Storm,COC,6,13,3,0.560555556,22,39.24677899,2018
Storm,COC,6,13,4,0.367222222,13,35.40090772,2018
Silver,COC,6,14,1,0.25,26,104,2018
Silver,COC,6,14,2,0.6,22,36.66666667,2018
Silver,COC,6,14,3,0.583333333,7,12,2018
S. Twin,COC,6,18,1,0.25,28,112,2018
S. Twin,COC,6,18,2,0.25,10,40,2018
S. Twin,COC,6,18,3,0.25,25,100,2018
S. Twin,COC,6,18,4,0.25,1,4,2018
S. Twin,COC,6,18,5,0.25,41,164,2018
Silver,COC,6,18,1,2.443888889,46,18.82245965,2018
Center,COC,6,19,1,0.350833333,4,11.40142518,2018
Center,COC,6,19,2,0.343333333,4,11.65048544,2018
Center,COC,6,19,3,0.245277778,2,8.154020385,2018
Center,COC,6,19,4,0.177777778,4,22.5,2018
Center,COC,6,19,5,0.248888889,5,20.08928571,2018
5 Island,COC,6,22,1,2.445277778,88,35.98773146,2018
Silver,COC,6,26,1,0.766666667,1,1.304347826,2018
Silver,COC,6,26,Bonus 1,1.645833333,24,14.58227848,2018
Silver,COC,6,26,Bonus 3,0.93,35,37.6344086,2018
Silver,COC,6,26,Bonus 4,0.615833333,19,30.85250338,2018
Storm,COC,6,27,1,0.255,10,39.21568627,2018
Storm,COC,6,27,10,0.355277778,33,92.88506646,2018
Storm,COC,6,27,2,0.280277778,25,89.19722498,2018
Storm,COC,6,27,3,0.625833333,13,20.7723036,2018
Storm,COC,6,27,4,0.319722222,9,28.14943527,2018
Storm,COC,6,27,5,0.371388889,8,21.5407629,2018
Storm,COC,6,27,6,0.371388889,9,24.23335826,2018
Storm,COC,6,27,7,0.405,7,17.28395062,2018
Storm,COC,6,27,8,0.277222222,2,7.214428858,2018
Storm,COC,6,27,9,0.263333333,6,22.78481013,2018
5 Island,COC,6,28,1,0.463611111,27,58.23846615,2018
5 Island,COC,6,28,2,0.588888889,36,61.13207547,2018
5 Island,COC,6,28,3,0.501944444,21,41.83729939,2018
5 Island,COC,6,28,4,0.513888889,17,33.08108108,2018
Center,COC,6,28,1,1.564166667,48,30.68726692,2018
Center,COC,6,28,2,0.596388889,20,33.53516535,2018
N. Twin,COC,7,3,1,0.25,4,16,2018
N. Twin,COC,7,3,2,0.25,4,16,2018
N. Twin,COC,7,3,3,0.25,10,40,2018
N. Twin,COC,7,3,4,0.25,8,32,2018
S. Twin,COC,7,5,1,0.25,6,24,2018
S. Twin,COC,7,5,2,0.25,19,76,2018
S. Twin,COC,7,5,3,0.25,11,44,2018
N. Twin,COC,7,9,2,0.25,1,4,2018
N. Twin,COC,7,9,3,0.25,4,16,2018
N. Twin,COC,7,9,5,0.25,2,8,2018
Storm,COC,7,10,ALL + MM samples,3.186944444,108,33.88825939,2018
Center,COC,7,11,1,0.250277778,2,7.991120977,2018
Center,COC,7,11,2,0.251944444,5,19.84564498,2018
Center,COC,7,11,3,0.191666667,1,5.217391304,2018
Center,COC,7,11,4,0.186111111,1,5.373134328,2018
Center,COC,7,11,5,0.246944444,3,12.14848144,2018
Silver,COC,7,11,1,0.286666667,2,6.976744186,2018
Silver,COC,7,11,2,0.3375,4,11.85185185,2018
Silver,COC,7,11,3,0.197222222,1,5.070422535,2018
Silver,COC,7,11,4,0.269722222,2,7.415036045,2018
Silver,COC,7,11,5,0.312222222,2,6.40569395,2018
Silver,COC,7,11,Bonus,0.419444444,10,23.8410596,2018
Silver,COC,7,11,Bridge,0.171388889,15,87.52025932,2018
5 Island,COC,7,12,1,0.2675,1,3.738317757,2018
5 Island,COC,7,12,2,0.279166667,3,10.74626866,2018
