"Date","Lake","TAG.NUMBER","Species","Length..mm.","Weight..g.","Recap","Tag.Loss","Fin.Clipped","Notes","Gear","Site.Transect","Start.Latitude","Start.Longitude","End.Latitude","End.Longitude","On.Time..s.","Water.Temp..C.","Secchi..cm.","Weather","Year","detect"
"2018-06-04","N. Twin",NA,"YLB",8.30708661417323,0.313056667666096,NA,NA,"R Pectoral","","Electroshocking","5","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"WAE",20.9055118110236,2.98065221608847,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"FWD",12.9133858267717,0.985467115822149,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"FWD",14.2125984251969,1.22136192878181,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"WHC",6.88976377952756,0.147709836152313,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"WHC",6.81102362204724,0.136686714051394,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"WHC",7.00787401574803,0.143300587311946,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"WHC",7.00787401574803,0.141095962891762,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"BLC",7.08661417322835,0.149914460572497,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"BLG",4.80314960629921,0.0947988500679024,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"BLG",4.48818897637795,0.0903896012275349,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"BLB",11.6929133858268,0.884054392493695,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"YLB",4.21259842519685,0.0352739907229404,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-06-04","N. Twin",NA,"YLB",3.89763779527559,0.0286601174623891,NA,NA,"R Pectoral","","Electroshocking","3","","","","",900,23.9,NA,"partly cloudy, SW Winds 10-15 mph",2018,1
"2018-09-13","S. Twin",NA,"WHC",8.30708661417323,3.84927423764088,NA,NA,NA,"euthanized","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",6.81102362204724,1.99959434910669,NA,NA,NA,"euthanized","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",7.59842519685039,3.04899557311416,NA,NA,NA,"euthanized","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",7.71653543307087,3.39953085592338,NA,NA,NA,"euthanized","Fyke","10","","","","",NA,NA,NA,"",2018,1
