Date,Lake,TAG NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site/Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On-Time (s),Water Temp (C),Secchi (cm),Weather
5/1/2018,Blue,7511,COC,428,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,7864,COC,430,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10101,COC,380,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10102,COC,342,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10103,COC,336,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10104,COC,340,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10106,COC,332,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10107,COC,398,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10108,COC,462,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10109,COC,410,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10110,COC,370,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10112,COC,362,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10113,COC,402,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10114,COC,358,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10115,COC,400,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10116,COC,366,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10117,COC,586,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10118,COC,352,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10119,COC,354,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10120,COC,374,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10121,COC,400,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10122,COC,387,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10123,COC,368,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10124,COC,392,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10125,COC,396,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10126,COC,404,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10127,COC,398,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10128,COC,380,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10129,COC,534,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10130,COC,400,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10131,COC,386,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10132,COC,374,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10133,COC,392,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10134,COC,380,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10135,COC,398,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10136,COC,364,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10137,COC,376,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10138,COC,368,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10139,COC,378,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10140,COC,344,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10141,COC,360,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10142,COC,362,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10143,COC,336,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10144,COC,360,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10145,COC,470,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10146,COC,668,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10147,COC,482,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10148,COC,366,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10149,COC,416,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10150,COC,380,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10151,COC,352,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10152,COC,382,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
