"","Species","fyke.cpue_Center","fyke.cpue_Five Island","fyke.cpue_Silver","fyke.cpue_Storm","shock.cpue_Center","shock.cpue_Five Island","shock.cpue_Silver","shock.cpue_Storm"
"1","BBH",NA,NA,1.45454545454545,NA,NA,NA,NA,NA
"2","BIB",0.666666666666667,0.111111111111111,NA,NA,45.4049808694459,5.50879877582249,66.7754495821803,NA
"3","BLB",0.166666666666667,0.222222222222222,NA,NA,NA,NA,NA,NA
"4","BLC",13,4.44444444444444,5.63636363636364,1.6,28.9347201336344,NA,NA,3.99556048834628
"5","BLG",18.6666666666667,4.66666666666667,11.3636363636364,0.8,23.3352869204899,3.31685486636942,NA,NA
"6","CCF",NA,0.222222222222222,0.272727272727273,0.1,NA,16.705671188764,3.85852090032154,9.98005169597457
"7","COC",0.5,0.111111111111111,0.545454545454545,0.4,53.5261866024658,14.878080005393,22.8440838648676,15.1518513334225
"8","FWD",NA,NA,1.81818181818182,NA,5.28844872086561,NA,9.66251889021661,NA
"9","GIS",NA,NA,NA,6.6,NA,NA,NA,3.87931034482759
"10","Golden Shiner",2,NA,0.181818181818182,NA,NA,NA,NA,NA
"11","LMB",0.166666666666667,0.111111111111111,0.0909090909090909,0.3,10.9929042325604,5.50879877582249,NA,3.87931034482759
"12","NOP",NA,0.111111111111111,0.363636363636364,0.1,NA,NA,NA,NA
"13","OSS",NA,0.111111111111111,0.181818181818182,NA,NA,NA,NA,NA
"14","Painted turtle",0.333333333333333,0.222222222222222,1.45454545454545,NA,NA,NA,NA,NA
"15","Snapping Turtle",NA,0.222222222222222,NA,NA,NA,NA,NA,NA
"16","SNG",1.16666666666667,NA,NA,NA,NA,NA,NA,NA
"17","Softshell Turtle",NA,0.222222222222222,NA,NA,NA,NA,NA,NA
"18","Spottail shiner",NA,NA,NA,0.2,NA,NA,NA,NA
"19","WAE",2.16666666666667,0.555555555555556,7.72727272727273,1.5,10.2562514597991,5.81563358858354,20.9929488162581,6.95653117505797
"20","WHB",NA,NA,1.72727272727273,83.1,NA,NA,NA,9.83627993181076
"21","WHC",0.5,5.11111111111111,6.72727272727273,42.2,3.82571732199787,NA,NA,NA
"22","WHS",NA,NA,4.81818181818182,0.8,NA,NA,4.04455131113329,7.91208791208791
"23","YEB",1.66666666666667,NA,3.27272727272727,NA,NA,NA,NA,NA
"24","YEP",0.5,2.33333333333333,1.90909090909091,0.9,4.03135498320269,NA,NA,NA
"25","YLB",NA,2.44444444444444,2.09090909090909,NA,21.0699968638806,218.917896289365,6.10280373831776,NA
"26","GSF",NA,NA,NA,NA,NA,NA,NA,3.99556048834628
"27","SMB",NA,NA,NA,NA,7.72532188841202,NA,NA,NA
