"Species","Length..mm..x_Center","Length..mm..x_Five Island","Length..mm..x_Silver","Length..mm..x_Storm","Length..in..x_Center","Length..in..x_Five Island","Length..in..x_Silver","Length..in..x_Storm","Length..mm..y_Center","Length..mm..y_Five Island","Length..mm..y_Silver","Length..mm..y_Storm","Length..in..y_Center","Length..in..y_Five Island","Length..in..y_Silver","Length..in..y_Storm"
"BBH",NA,NA,320.933333333333,NA,NA,NA,12.6351706036745,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIB",497.5,457,NA,NA,19.5866141732283,17.992125984252,NA,NA,509.620689655172,649,615.090909090909,NA,20.0638066793375,25.5511811023622,24.2161775232641,NA
"BLB",284,186.5,NA,NA,11.1811023622047,7.34251968503937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLC",244.012820512821,200.225,221.096774193548,238.625,9.60680395719766,7.88287401574803,8.70459740919482,9.39468503937008,258.648648648649,NA,NA,248,10.1830176633326,NA,NA,9.76377952755906
"BLG",162.598214285714,131.690476190476,98.272,119.125,6.40150449943757,5.18466441694788,3.86897637795276,4.68996062992126,176.833333333333,149,NA,NA,6.96194225721785,5.86614173228346,NA,NA
"CCF",NA,418,494.666666666667,490,NA,16.4566929133858,19.4750656167979,19.2913385826772,NA,412.181818181818,661,465.75,NA,16.2276306370795,26.0236220472441,18.3366141732283
"COC",421,711,494.166666666667,462.75,16.5748031496063,27.992125984252,19.4553805774278,18.2185039370079,614.111111111111,601.478260869565,711.206896551724,523.739130434783,24.17760279965,23.6802464909278,28.0002715177844,20.619650804519
"FWD",NA,NA,235.8,NA,NA,NA,9.28346456692914,NA,413.25,NA,481.545454545455,NA,16.2696850393701,NA,18.9584824624195,NA
"GIS",NA,NA,NA,100.909090909091,NA,NA,NA,3.97279885468862,NA,NA,NA,316,NA,NA,NA,12.4409448818898
"Golden Shiner",146.833333333333,NA,108.5,NA,5.78083989501312,NA,4.27165354330709,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LMB",301,93,79,298,11.8503937007874,3.66141732283465,3.11023622047244,11.7322834645669,323.071428571429,360.5,NA,339,12.7193475815523,14.1929133858268,NA,13.3464566929134
"NOP",NA,735,677.25,927,NA,28.9370078740157,26.6633858267717,36.496062992126,NA,NA,NA,NA,NA,NA,NA,NA
"OSS",NA,117,98,NA,NA,4.60629921259843,3.85826771653543,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Painted turtle",150.5,140.5,140.0625,NA,5.9251968503937,5.53149606299213,5.51427165354331,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snapping Turtle",NA,289.5,NA,NA,NA,11.3976377952756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SNG",492.857142857143,NA,NA,NA,19.4038245219348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Softshell Turtle",NA,181.5,NA,NA,NA,7.14566929133858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spottail shiner",NA,NA,NA,82.5,NA,NA,NA,3.24803149606299,NA,NA,NA,NA,NA,NA,NA,NA
"WAE",363.692307692308,349,396.761904761905,440.066666666667,14.3185947910357,13.740157480315,15.6205474315711,17.3254593175853,357.461538461538,407.8,441.761904761905,524.8,14.0732889158086,16.0551181102362,17.3922009748781,20.6614173228346
"WHB",NA,NA,317.789473684211,106.27027027027,NA,NA,12.5113966017406,4.18386890827836,NA,NA,NA,339.625,NA,NA,NA,13.371062992126
"WHC",205.666666666667,197.54347826087,217.527777777778,90.6089238845144,8.09711286089239,7.77730229373502,8.56408573928259,3.56728046789427,264,NA,NA,NA,10.3937007874016,NA,NA,NA
"WHS",NA,NA,471.442307692308,429.75,NA,NA,18.5607207752877,16.9192913385827,NA,NA,459,448.5,NA,NA,18.0708661417323,17.6574803149606
"YEB",273.1,NA,274.166666666667,NA,10.751968503937,NA,10.7939632545932,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YEP",228.333333333333,154.47619047619,181.380952380952,112.888888888889,8.98950131233596,6.08173978252719,7.14098237720285,4.44444444444444,244,NA,NA,NA,9.60629921259843,NA,NA,NA
"YLB",NA,147.272727272727,197.173913043478,NA,NA,5.79813886900501,7.7627524820267,NA,215.4375,167.832298136646,338,NA,8.48179133858268,6.60757079278134,13.3070866141732,NA
"GSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,6.92913385826772
"SMB",NA,NA,NA,NA,NA,NA,NA,NA,366,NA,NA,NA,14.4094488188976,NA,NA,NA
