"","Date","Lake","TAG.NUMBER","Species","Length..mm.","Weight..g.","Recap","Tag.Loss","Fin.Clipped","Notes","Gear","Site.Transect","Start.Latitude","Start.Longitude","End.Latitude","End.Longitude","On.Time..s.","Water.Temp..C.","Secchi..cm.","Weather","Year"
"1",2018-05-01,"Blue","7511","COC",428,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"2",2018-05-01,"Blue","7864","COC",430,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"3",2018-05-01,"Blue","10101","COC",380,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"4",2018-05-01,"Blue","10102","COC",342,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"5",2018-05-01,"Blue","10103","COC",336,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"6",2018-05-01,"Blue","10104","COC",340,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"7",2018-05-01,"Blue","10106","COC",332,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"8",2018-05-01,"Blue","10107","COC",398,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"9",2018-05-01,"Blue","10108","COC",462,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"10",2018-05-01,"Blue","10109","COC",410,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"11",2018-05-01,"Blue","10110","COC",370,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"12",2018-05-01,"Blue","10112","COC",362,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"13",2018-05-01,"Blue","10113","COC",402,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"14",2018-05-01,"Blue","10114","COC",358,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"15",2018-05-01,"Blue","10115","COC",400,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"16",2018-05-01,"Blue","10116","COC",366,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
"17",2018-05-01,"Blue","10117","COC",586,NA,"",NA,"L Pelvic","","Electroshocking","1","","","","",1103,NA,NA,"","2018"
