Date,Lake,TAG NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site/Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On-Time (s),Water Temp (C),Secchi (cm),Weather
5/1/2018,Blue,7511,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,7864,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10101,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10102,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10103,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10104,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10106,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10107,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10108,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10109,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10110,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10112,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10113,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10114,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10115,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10116,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10117,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10118,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10119,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10120,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10121,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10122,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10123,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10124,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10125,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10126,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10127,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10128,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10129,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10130,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
5/1/2018,Blue,10131,COC,NA,,,,L Pelvic,,Electroshocking,1,,,,,1103,,,
