Date,Lake,TAG NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site/Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On-Time (s),Water Temp (C),Secchi (cm),Weather
5/10/2018,Blue,17750,COC,353,670,,,Dorsal,,Electroshocking,1,42 01.901 n,96 9.46 w,42 2.377' N,96 9.775' W,1517,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17749,COC,359,700,,,Dorsal,,Electroshocking,1,42 01.901 N,96 9.46 W,42 2.377 N,96 9.775 W,1517,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17748,COC,349,570,,,Dorsal,,Electroshocking,1,42 01.901 N,96 9.46 W,42 2.377 N,96 9.775 W,1517,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17746,COC,427,945,,,Dorsal,,Electroshocking,1,42 01.901 N,96 9.46 W,42 2.377 N,96 9.775 W,1517,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17745,COC,425,955,,,Dorsal,clip in livewell,Electroshocking,1,42 01.901 N,96 9.46 W,42 2.377 N,96 9.775 W,1517,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17744,COC,396,830,,,Dorsal,,Electroshocking,1,42 01.901 N,96 9.46 W,42 2.377 N,96 9.775 W,1517,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17743,COC,361,740,,,Dorsal,,Electroshocking,1,42 01.901 N,96 9.46 W,42 2.377 N,96 9.775 W,1517,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17742,COC,396,830,,,Dorsal,,Electroshocking,1,42 01.901 N,96 9.46 W,42 2.377 N,96 9.775 W,1517,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17741,COC,426,1090,,,Dorsal,,Electroshocking,1,42 01.901 N,96 9.46 W,42 2.377 N,96 9.775 W,1517,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,7800,COC,492,1450,1,,Dorsal,recap,Electroshocking,1,42 01.901 N,96 9.46 W,42 2.377 N,96 9.775 W,1517,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17739,COC,353,595,,,Dorsal,,Electroshocking,1,42 01.901 N,96 9.46 W,42 2.377 N,96 9.775 W,1517,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17738,COC,371,675,,,Dorsal,,Electroshocking,1,42 01.901 N,96 9.46 W,42 2.377 N,96 9.775 W,1517,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17737,COC,351,680,,,Dorsal,,Electroshocking,1,42 01.901 N,96 9.46 W,42 2.377 N,96 9.775 W,1517,,,partly cloudy/ about 18.3 C
