"second.table[, 1]","quality","preferred","memorable","trophy","Total"
"Bigmouth Buffalo.Blue",NA,NA,NA,NA,NA
"Black Bullhead.Blue",NA,NA,NA,NA,NA
"Black Crappie.Blue",NA,NA,NA,NA,NA
"Bluegill.Blue",0,0,0,0,0
"Channel Catfish.Blue",33.3,0,0,0,33.3
"Common Carp.Blue",30.7,5.9,0,0,36.6
"Freshwater Drum.Blue",NA,NA,NA,NA,NA
"Gizzard Shad.Blue",NA,NA,NA,NA,NA
"Green Sunfish.Blue",NA,NA,NA,NA,NA
"Largemouth Bass.Blue",100,58.3,8.3,0,166.6
"Smallmouth Bass.Blue",NA,NA,NA,NA,NA
"Walleye.Blue",NA,NA,NA,NA,NA
"White Bass.Blue",NA,NA,NA,NA,NA
"White Crappie.Blue",NA,NA,NA,NA,NA
"White Sucker.Blue",NA,NA,NA,NA,NA
"Yellow Bass.Blue",NA,NA,NA,NA,NA
"Yellow Perch.Blue",NA,NA,NA,NA,NA
"Bigmouth Buffalo.Center",69,12.1,1.7,0,82.8
"Black Bullhead.Center",NA,NA,NA,NA,NA
"Black Crappie.Center",86.5,78.4,2.7,2.7,170.3
"Bluegill.Center",95.8,0,0,0,95.8
"Channel Catfish.Center",NA,NA,NA,NA,NA
"Common Carp.Center",96.3,85.2,33.3,0,214.8
"Freshwater Drum.Center",100,75,0,0,175
"Gizzard Shad.Center",NA,NA,NA,NA,NA
"Green Sunfish.Center",NA,NA,NA,NA,NA
"Largemouth Bass.Center",50,28.6,7.1,0,85.7
"Smallmouth Bass.Center",100,50,0,0,150
"Walleye.Center",25,16.7,0,0,41.7
"White Bass.Center",NA,NA,NA,NA,NA
"White Crappie.Center",100,100,0,0,200
"White Sucker.Center",NA,NA,NA,NA,NA
"Yellow Bass.Center",100,6.2,0,0,106.2
"Yellow Perch.Center",100,0,0,0,100
"Bigmouth Buffalo.Five Island",100,50,0,0,150
"Black Bullhead.Five Island",NA,NA,NA,NA,NA
"Black Crappie.Five Island",NA,NA,NA,NA,NA
"Bluegill.Five Island",50,0,0,0,50
"Channel Catfish.Five Island",40.9,0,0,0,40.9
"Common Carp.Five Island",100,98.5,20,0,218.5
"Freshwater Drum.Five Island",NA,NA,NA,NA,NA
"Gizzard Shad.Five Island",NA,NA,NA,NA,NA
"Green Sunfish.Five Island",NA,NA,NA,NA,NA
"Largemouth Bass.Five Island",100,50,0,0,150
"Smallmouth Bass.Five Island",NA,NA,NA,NA,NA
"Walleye.Five Island",40,0,0,0,40
"White Bass.Five Island",NA,NA,NA,NA,NA
"White Crappie.Five Island",NA,NA,NA,NA,NA
"White Sucker.Five Island",NA,NA,NA,NA,NA
"Yellow Bass.Five Island",29.1,1,0.3,0,30.4
"Yellow Perch.Five Island",NA,NA,NA,NA,NA
"Bigmouth Buffalo.N. Twin",71.4,14.3,0,0,85.7
"Black Bullhead.N. Twin",100,0,0,0,100
"Black Crappie.N. Twin",0,0,0,0,0
"Bluegill.N. Twin",0,0,0,0,0
"Channel Catfish.N. Twin",NA,NA,NA,NA,NA
"Common Carp.N. Twin",100,81.8,18.2,0,200
"Freshwater Drum.N. Twin",100,0,0,0,100
"Gizzard Shad.N. Twin",NA,NA,NA,NA,NA
"Green Sunfish.N. Twin",NA,NA,NA,NA,NA
"Largemouth Bass.N. Twin",NA,NA,NA,NA,NA
"Smallmouth Bass.N. Twin",NA,NA,NA,NA,NA
"Walleye.N. Twin",100,100,0,0,200
"White Bass.N. Twin",NA,NA,NA,NA,NA
"White Crappie.N. Twin",0,0,0,0,0
"White Sucker.N. Twin",NA,NA,NA,NA,NA
"Yellow Bass.N. Twin",50,0,0,0,50
"Yellow Perch.N. Twin",NA,NA,NA,NA,NA
"Bigmouth Buffalo.Silver",92.9,54.5,13.1,0,160.5
"Black Bullhead.Silver",NA,NA,NA,NA,NA
"Black Crappie.Silver",NA,NA,NA,NA,NA
"Bluegill.Silver",NA,NA,NA,NA,NA
"Channel Catfish.Silver",100,100,0,0,200
"Common Carp.Silver",100,100,75.9,3.4,279.3
"Freshwater Drum.Silver",100,100,36.4,0,236.4
"Gizzard Shad.Silver",NA,NA,NA,NA,NA
"Green Sunfish.Silver",NA,NA,NA,NA,NA
"Largemouth Bass.Silver",NA,NA,NA,NA,NA
"Smallmouth Bass.Silver",NA,NA,NA,NA,NA
"Walleye.Silver",90.5,9.5,4.8,0,104.8
"White Bass.Silver",NA,NA,NA,NA,NA
"White Crappie.Silver",NA,NA,NA,NA,NA
"White Sucker.Silver",100,100,100,0,300
"Yellow Bass.Silver",100,100,100,66.7,366.7
"Yellow Perch.Silver",NA,NA,NA,NA,NA
"Bigmouth Buffalo.Storm",100,0,0,0,100
"Black Bullhead.Storm",NA,NA,NA,NA,NA
"Black Crappie.Storm",100,0,0,0,100
"Bluegill.Storm",NA,NA,NA,NA,NA
"Channel Catfish.Storm",100,0,0,0,100
"Common Carp.Storm",100,26.2,0,0,126.2
"Freshwater Drum.Storm",NA,NA,NA,NA,NA
"Gizzard Shad.Storm",100,0,0,0,100
"Green Sunfish.Storm",100,0,0,0,100
"Largemouth Bass.Storm",100,0,0,0,100
"Smallmouth Bass.Storm",NA,NA,NA,NA,NA
"Walleye.Storm",100,60,20,0,180
"White Bass.Storm",100,87.5,12.5,0,200
"White Crappie.Storm",NA,NA,NA,NA,NA
"White Sucker.Storm",100,100,100,0,300
"Yellow Bass.Storm",NA,NA,NA,NA,NA
"Yellow Perch.Storm",NA,NA,NA,NA,NA
