"Var1","substock","stock","quality","preferred","memorable","trophy","Total"
"Bigmouth Buffalo.Blue",0,0,0,0,0,0,0
"Black Bullhead.Blue",0,0,0,0,0,0,0
"Black Crappie.Blue",0,0,0,0,0,0,0
"Bluegill.Blue",2,5,0,0,0,0,7
"Channel Catfish.Blue",0,2,1,0,0,0,3
"Common Carp.Blue",0,70,25,6,0,0,101
"Freshwater Drum.Blue",0,0,0,0,0,0,0
"Gizzard Shad.Blue",0,0,0,0,0,0,0
"Green Sunfish.Blue",0,0,0,0,0,0,0
"Largemouth Bass.Blue",0,0,5,6,1,0,12
"Smallmouth Bass.Blue",0,0,0,0,0,0,0
"Walleye.Blue",0,0,0,0,0,0,0
"White Bass.Blue",0,0,0,0,0,0,0
"White Crappie.Blue",0,0,0,0,0,0,0
"White Sucker.Blue",0,0,0,0,0,0,0
"Yellow Bass.Blue",0,0,0,0,0,0,0
"Yellow Perch.Blue",0,0,0,0,0,0,0
"Bigmouth Buffalo.Center",0,18,33,6,1,0,58
"Black Bullhead.Center",0,0,0,0,0,0,0
"Black Crappie.Center",0,5,3,28,0,1,37
"Bluegill.Center",0,1,23,0,0,0,24
"Channel Catfish.Center",0,0,0,0,0,0,0
"Common Carp.Center",0,1,3,14,9,0,27
"Freshwater Drum.Center",0,0,1,3,0,0,4
"Gizzard Shad.Center",0,0,0,0,0,0,0
"Green Sunfish.Center",0,0,0,0,0,0,0
"Largemouth Bass.Center",0,7,3,3,1,0,14
"Smallmouth Bass.Center",0,0,1,1,0,0,2
"Walleye.Center",1,9,1,2,0,0,13
"White Bass.Center",0,0,0,0,0,0,0
"White Crappie.Center",0,0,0,1,0,0,1
"White Sucker.Center",0,0,0,0,0,0,0
"Yellow Bass.Center",0,0,15,1,0,0,16
"Yellow Perch.Center",0,0,1,0,0,0,1
"Bigmouth Buffalo.Five Island",0,0,1,1,0,0,2
"Black Bullhead.Five Island",0,0,0,0,0,0,0
"Black Crappie.Five Island",0,0,0,0,0,0,0
"Bluegill.Five Island",0,1,1,0,0,0,2
"Channel Catfish.Five Island",0,13,9,0,0,0,22
"Common Carp.Five Island",0,0,1,51,13,0,65
"Freshwater Drum.Five Island",0,0,0,0,0,0,0
"Gizzard Shad.Five Island",0,0,0,0,0,0,0
"Green Sunfish.Five Island",0,0,0,0,0,0,0
"Largemouth Bass.Five Island",0,0,1,1,0,0,2
"Smallmouth Bass.Five Island",0,0,0,0,0,0,0
"Walleye.Five Island",0,3,2,0,0,0,5
"White Bass.Five Island",0,0,0,0,0,0,0
"White Crappie.Five Island",0,0,0,0,0,0,0
"White Sucker.Five Island",0,0,0,0,0,0,0
"Yellow Bass.Five Island",9,222,88,2,1,0,322
"Yellow Perch.Five Island",0,0,0,0,0,0,0
"Bigmouth Buffalo.N. Twin",0,2,4,1,0,0,7
"Black Bullhead.N. Twin",0,0,1,0,0,0,1
"Black Crappie.N. Twin",0,1,0,0,0,0,1
"Bluegill.N. Twin",0,2,0,0,0,0,2
"Channel Catfish.N. Twin",0,0,0,0,0,0,0
"Common Carp.N. Twin",0,0,4,14,4,0,22
"Freshwater Drum.N. Twin",0,0,2,0,0,0,2
"Gizzard Shad.N. Twin",0,0,0,0,0,0,0
"Green Sunfish.N. Twin",0,0,0,0,0,0,0
"Largemouth Bass.N. Twin",0,0,0,0,0,0,0
"Smallmouth Bass.N. Twin",0,0,0,0,0,0,0
"Walleye.N. Twin",0,0,0,1,0,0,1
"White Bass.N. Twin",0,0,0,0,0,0,0
"White Crappie.N. Twin",0,4,0,0,0,0,4
"White Sucker.N. Twin",0,0,0,0,0,0,0
"Yellow Bass.N. Twin",1,1,1,0,0,0,3
"Yellow Perch.N. Twin",0,0,0,0,0,0,0
"Bigmouth Buffalo.Silver",0,7,38,41,13,0,99
"Black Bullhead.Silver",0,0,0,0,0,0,0
"Black Crappie.Silver",0,0,0,0,0,0,0
"Bluegill.Silver",0,0,0,0,0,0,0
"Channel Catfish.Silver",0,0,0,1,0,0,1
"Common Carp.Silver",0,0,0,7,21,1,29
"Freshwater Drum.Silver",0,0,0,7,4,0,11
"Gizzard Shad.Silver",0,0,0,0,0,0,0
"Green Sunfish.Silver",0,0,0,0,0,0,0
"Largemouth Bass.Silver",0,0,0,0,0,0,0
"Smallmouth Bass.Silver",0,0,0,0,0,0,0
"Walleye.Silver",0,2,17,1,1,0,21
"White Bass.Silver",0,0,0,0,0,0,0
"White Crappie.Silver",0,0,0,0,0,0,0
"White Sucker.Silver",0,0,0,0,2,0,2
"Yellow Bass.Silver",0,0,0,0,1,2,3
"Yellow Perch.Silver",0,0,0,0,0,0,0
"Bigmouth Buffalo.Storm",0,0,1,0,0,0,1
"Black Bullhead.Storm",0,0,0,0,0,0,0
"Black Crappie.Storm",0,0,1,0,0,0,1
"Bluegill.Storm",0,0,0,0,0,0,0
"Channel Catfish.Storm",1,0,3,0,0,0,4
"Common Carp.Storm",0,0,31,11,0,0,42
"Freshwater Drum.Storm",0,0,0,0,0,0,0
"Gizzard Shad.Storm",0,0,1,0,0,0,1
"Green Sunfish.Storm",0,0,1,0,0,0,1
"Largemouth Bass.Storm",0,0,1,0,0,0,1
"Smallmouth Bass.Storm",0,0,0,0,0,0,0
"Walleye.Storm",0,0,2,2,1,0,5
"White Bass.Storm",0,0,1,6,1,0,8
"White Crappie.Storm",0,0,0,0,0,0,0
"White Sucker.Storm",0,0,0,0,2,0,2
"Yellow Bass.Storm",0,0,0,0,0,0,0
"Yellow Perch.Storm",0,0,0,0,0,0,0
