"second.table[, 1]","quality","preferred","memorable","trophy"
"Bigmouth Buffalo.Blue",NA,NA,NA,NA
"Black Bullhead.Blue",NA,NA,NA,NA
"Black Crappie.Blue",38.9,5.6,5.6,0
"Bluegill.Blue",42.9,0,0,0
"Brown Bullhead.Blue",NA,NA,NA,NA
"Channel Catfish.Blue",NA,NA,NA,NA
"Common Carp.Blue",NA,NA,NA,NA
"Freshwater Drum.Blue",NA,NA,NA,NA
"Gizzard Shad.Blue",NA,NA,NA,NA
"Green Sunfish.Blue",NA,NA,NA,NA
"Largemouth Bass.Blue",100,0,0,0
"Northern Pike.Blue",NA,NA,NA,NA
"Walleye.Blue",NA,NA,NA,NA
"White Bass.Blue",NA,NA,NA,NA
"White Crappie.Blue",NA,NA,NA,NA
"White Sucker.Blue",NA,NA,NA,NA
"Yellow Bass.Blue",NA,NA,NA,NA
"Yellow Bullhead.Blue",NA,NA,NA,NA
"Yellow Perch.Blue",NA,NA,NA,NA
"Bigmouth Buffalo.Center",75,0,0,0
"Black Bullhead.Center",100,0,0,0
"Black Crappie.Center",97.4,47.4,0,0
"Bluegill.Center",79.5,3.6,1.8,0
"Brown Bullhead.Center",NA,NA,NA,NA
"Channel Catfish.Center",NA,NA,NA,NA
"Common Carp.Center",33.3,33.3,0,0
"Freshwater Drum.Center",NA,NA,NA,NA
"Gizzard Shad.Center",NA,NA,NA,NA
"Green Sunfish.Center",NA,NA,NA,NA
"Largemouth Bass.Center",100,0,0,0
"Northern Pike.Center",NA,NA,NA,NA
"Walleye.Center",30.8,7.7,0,0
"White Bass.Center",NA,NA,NA,NA
"White Crappie.Center",100,100,0,0
"White Sucker.Center",NA,NA,NA,NA
"Yellow Bass.Center",NA,NA,NA,NA
"Yellow Bullhead.Center",100,100,30,0
"Yellow Perch.Center",100,33.3,0,0
"Bigmouth Buffalo.Five Island",0,0,0,0
"Black Bullhead.Five Island",0,0,0,0
"Black Crappie.Five Island",60,0,0,0
"Bluegill.Five Island",48.4,9.7,0,0
"Brown Bullhead.Five Island",NA,NA,NA,NA
"Channel Catfish.Five Island",50,0,0,0
"Common Carp.Five Island",100,100,100,0
"Freshwater Drum.Five Island",NA,NA,NA,NA
"Gizzard Shad.Five Island",NA,NA,NA,NA
"Green Sunfish.Five Island",NA,NA,NA,NA
"Largemouth Bass.Five Island",NA,NA,NA,NA
"Northern Pike.Five Island",100,100,0,0
"Walleye.Five Island",75,0,0,0
"White Bass.Five Island",NA,NA,NA,NA
"White Crappie.Five Island",38.6,6.8,0,0
"White Sucker.Five Island",NA,NA,NA,NA
"Yellow Bass.Five Island",53.3,0,0,0
"Yellow Bullhead.Five Island",NA,NA,NA,NA
"Yellow Perch.Five Island",11.8,0,0,0
"Bigmouth Buffalo.N. Twin",100,0,0,0
"Black Bullhead.N. Twin",100,0,0,0
"Black Crappie.N. Twin",100,100,0,0
"Bluegill.N. Twin",16.1,0,0,0
"Brown Bullhead.N. Twin",NA,NA,NA,NA
"Channel Catfish.N. Twin",100,0,0,0
"Common Carp.N. Twin",100,85.7,57.1,0
"Freshwater Drum.N. Twin",NA,NA,NA,NA
"Gizzard Shad.N. Twin",NA,NA,NA,NA
"Green Sunfish.N. Twin",100,0,0,0
"Largemouth Bass.N. Twin",NA,NA,NA,NA
"Northern Pike.N. Twin",NA,NA,NA,NA
"Walleye.N. Twin",100,72.7,27.3,0
"White Bass.N. Twin",NA,NA,NA,NA
"White Crappie.N. Twin",54,10.5,3.2,0
"White Sucker.N. Twin",NA,NA,NA,NA
"Yellow Bass.N. Twin",100,100,0,0
"Yellow Bullhead.N. Twin",100,100,30,10
"Yellow Perch.N. Twin",0,0,0,0
"Bigmouth Buffalo.S. Twin",100,0,0,0
"Black Bullhead.S. Twin",3.5,0,0,0
"Black Crappie.S. Twin",0,0,0,0
"Bluegill.S. Twin",NA,NA,NA,NA
"Brown Bullhead.S. Twin",NA,NA,NA,NA
"Channel Catfish.S. Twin",NA,NA,NA,NA
"Common Carp.S. Twin",100,100,0,0
"Freshwater Drum.S. Twin",0,0,0,0
"Gizzard Shad.S. Twin",NA,NA,NA,NA
"Green Sunfish.S. Twin",NA,NA,NA,NA
"Largemouth Bass.S. Twin",NA,NA,NA,NA
"Northern Pike.S. Twin",NA,NA,NA,NA
"Walleye.S. Twin",NA,NA,NA,NA
"White Bass.S. Twin",NA,NA,NA,NA
"White Crappie.S. Twin",38.5,0,0,0
"White Sucker.S. Twin",NA,NA,NA,NA
"Yellow Bass.S. Twin",0,0,0,0
"Yellow Bullhead.S. Twin",83.3,0,0,0
"Yellow Perch.S. Twin",NA,NA,NA,NA
"Bigmouth Buffalo.Silver",NA,NA,NA,NA
"Black Bullhead.Silver",NA,NA,NA,NA
"Black Crappie.Silver",85.5,19.4,0,0
"Bluegill.Silver",32.1,12.5,0,0
"Brown Bullhead.Silver",100,93.3,6.7,0
"Channel Catfish.Silver",100,0,0,0
"Common Carp.Silver",100,33.3,0,0
"Freshwater Drum.Silver",7.1,7.1,0,0
"Gizzard Shad.Silver",NA,NA,NA,NA
"Green Sunfish.Silver",NA,NA,NA,NA
"Largemouth Bass.Silver",NA,NA,NA,NA
"Northern Pike.Silver",100,25,0,0
"Walleye.Silver",65.8,7.6,1.3,0
"White Bass.Silver",78.9,63.2,26.3,0
"White Crappie.Silver",92.9,15.7,1.4,0
"White Sucker.Silver",96.2,96.2,92.3,21.2
"Yellow Bass.Silver",90,15,5,0
"Yellow Bullhead.Silver",100,77.8,47.2,2.8
"Yellow Perch.Silver",100,80,10,0
"Bigmouth Buffalo.Storm",NA,NA,NA,NA
"Black Bullhead.Storm",NA,NA,NA,NA
"Black Crappie.Storm",86.7,80,0,0
"Bluegill.Storm",40,0,0,0
"Brown Bullhead.Storm",NA,NA,NA,NA
"Channel Catfish.Storm",100,0,0,0
"Common Carp.Storm",100,66.7,0,0
"Freshwater Drum.Storm",NA,NA,NA,NA
"Gizzard Shad.Storm",NA,NA,NA,NA
"Green Sunfish.Storm",NA,NA,NA,NA
"Largemouth Bass.Storm",100,100,0,0
"Northern Pike.Storm",100,100,100,0
"Walleye.Storm",84.6,30.8,7.7,0
"White Bass.Storm",76.2,76.2,14.3,0
"White Crappie.Storm",83.3,75,0,0
"White Sucker.Storm",100,100,50,0
"Yellow Bass.Storm",NA,NA,NA,NA
"Yellow Bullhead.Storm",NA,NA,NA,NA
"Yellow Perch.Storm",0,0,0,0
