Date,Lake,Env/Tag,Species,Notes,Marcus Age (Spine),Hannah Age (Spine),Marty Age (Spine)
6/5/2019,5 Island,19135,COC,2018 recap,,,
6/5/2019,5 Island,25268,BIB,,,,
6/5/2019,5 Island,25270,BIB,,,,
6/5/2019,5 Island,25271,COC,,,,
6/5/2019,5 Island,25272,BIB,,,,
6/5/2019,5 Island,25273,COC,,,,
6/5/2019,5 Island,25274,COC,2018 Tag Loss,,,
6/5/2019,5 Island,25275,COC,,,,
6/5/2019,5 Island,25276,BIB,,,,
6/5/2019,5 Island,25277,BIB,,,,
6/5/2019,5 Island,25279,BIB,,,,
6/5/2019,5 Island,25280,BIB,Male,,,
6/5/2019,5 Island,25281,COC,,,,
6/5/2019,5 Island,25282,BIB,,,,
6/5/2019,5 Island,25283,COC,,,,
6/5/2019,5 Island,25284,BIB,,,,
6/5/2019,5 Island,25285,COC,,,,
6/5/2019,5 Island,25286,COC,,,,
6/5/2019,5 Island,25288,BIB,,,,
6/5/2019,5 Island,25289,COC,,,,
6/5/2019,5 Island,25290,BIB,,,,
6/17/2019,5 Island,18428,COC,,6,6,
6/17/2019,5 Island,19149,COC,,11,7,
6/17/2019,5 Island,21461,COC,2018 Recap,7,8,
6/17/2019,5 Island,25301,COC,,7,7,
6/17/2019,5 Island,25302,COC,,8,7,
6/17/2019,5 Island,25303,COC,,6,6,
6/17/2019,5 Island,25304,COC,,11,10,
6/17/2019,5 Island,25305,COC,,6,7,
6/17/2019,5 Island,25306,COC,,7,6,
6/17/2019,5 Island,25307,COC,,9,9,
6/17/2019,5 Island,25308,COC,,9,9,
6/17/2019,5 Island,25309,BIB,,7,7,
6/17/2019,5 Island,25310,COC,,5,6,
6/17/2019,5 Island,25311,COC,,6,8,
6/17/2019,5 Island,25312,COC,,6,7,
6/17/2019,5 Island,25313,COC, ,9,10,
6/17/2019,5 Island,25314,COC,,8,8,
6/17/2019,5 Island,25315,COC,,9,8,
6/17/2019,5 Island,25316,COC,,7,7,
6/17/2019,5 Island,25317,BIB,,5,4,
6/17/2019,5 Island,25318,BIB,,3,4,
6/17/2019,5 Island,25319,COC,,6,7,
6/17/2019,5 Island,25320,COC,,10,9,
6/17/2019,5 Island,25323,COC,,7,6,
6/17/2019,5 Island,25324,COC,,7,7,
6/17/2019,5 Island,29136,COC,,5,8,
6/17/2019,5 Island,29137,COC,2018 Tag loss,7,7,
6/17/2019,5 Island,29138,COC,,7,7,
6/17/2019,5 Island,29139,COC,,6,8,
6/17/2019,5 Island,29140,COC,,6,8,
6/17/2019,5 Island,29141,COC,,15,13,
6/17/2019,5 Island,29142,COC,,5,,
6/17/2019,5 Island,29145,COC,,5,8,
6/17/2019,5 Island,29146,COC,,7,7,
6/17/2019,5 Island,29147,COC,,8,10,
6/17/2019,5 Island,29148,COC,Oh my god. Bad behavior,7,10,
6/17/2019,5 Island,29149,COC,,8,8,
6/25/2019,5 Island,20821,COC,2018 recap,6,7,
6/25/2019,5 Island,21752,COC,,6,6,
6/25/2019,5 Island,21768,COC,,8,9,
6/25/2019,5 Island,25372,COC,,8,8,9
6/25/2019,5 Island,25373,COC,,5,8,11
6/25/2019,5 Island,25375,COC,,5,6,6
6/25/2019,5 Island,25376,COC,,8,8,8
6/25/2019,5 Island,25377,COC,,10,10,11
6/25/2019,5 Island,25378,COC,,2,2,5
6/25/2019,5 Island,25379,COC,,9,10,13
6/25/2019,5 Island,25380,COC,,7,10,10
6/25/2019,5 Island,25381,COC,,7,9,9
6/25/2019,5 Island,25382,COC,,12,12,12
6/25/2019,5 Island,25384,COC,,8,8,8
6/25/2019,5 Island,25385,COC,,6,8,8
6/25/2019,5 Island,25386,COC,,6,9,10
6/25/2019,5 Island,25387,COC,,5,5,5
6/25/2019,5 Island,25388,COC,,3,3,3
6/25/2019,5 Island,25389,COC,,6,7,13
6/25/2019,5 Island,25390,COC,,7,7,9
6/25/2019,5 Island,25391,COC,,6,6,7
6/25/2019,5 Island,25392,COC,,3,3,3
6/25/2019,5 Island,25393,COC,,14,13,15
6/25/2019,5 Island,25394,COC,,5,10,12
6/25/2019,5 Island,25395,COC,,8,7,8
6/25/2019,5 Island,25396,COC,,10,8,10
6/25/2019,5 Island,25397,COC,,8,9,9
6/25/2019,5 Island,25398,COC,,6,8,9
6/25/2019,5 Island,25399,COC,,12,12,10
6/25/2019,5 Island,25400,COC,,12,12,13
6/25/2019,5 Island,27002,COC,,11,10,11
6/25/2019,5 Island,27003,COC,,12,12,12
6/25/2019,5 Island,27004,COC,,17,16,17
6/25/2019,5 Island,27005,COC,,8,7,7
6/25/2019,5 Island,27007,COC,,14,13,13
6/25/2019,5 Island,27008,COC,,9,9,9
6/25/2019,5 Island,27009,COC,,7,8,7
6/25/2019,5 Island,27010,COC,,10,10,10
6/25/2019,5 Island,27011,COC,,7,7,7
6/25/2019,5 Island,27012,COC,,6,7,6
6/25/2019,5 Island,27013,COC,,10,9,11
6/25/2019,5 Island,27014,COC,,7,9,9
6/25/2019,5 Island,27015,COC,,8,9,11
6/25/2019,5 Island,27016,COC,,13,12,13
6/25/2019,5 Island,27017,COC,,10,11,12
6/25/2019,5 Island,27018,COC,,8,9,9
6/25/2019,5 Island,27019,COC,,11,12,12
6/25/2019,5 Island,27021,COC,,9,10,10
6/25/2019,5 Island,27022,COC,,5,6,11
7/17/2019,5 Island,25682,COC,,7,8,9
7/17/2019,5 Island,25683,COC,,2,2,2
7/17/2019,5 Island,25684,COC,,7,10,12
7/18/2019,5 Island,25652,COC,,10,10,11
7/18/2019,5 Island,25829,COC,,9,9,14
7/18/2019,5 Island,25830,COC,,5,7,6
7/18/2019,5 Island,25831,COC,,6,7,9
7/18/2019,5 Island,25832,COC,,8,9,12
7/18/2019,5 Island,25833,COC,,6,6,8
7/18/2019,5 Island,25834,COC,,6,7,7
7/18/2019,5 Island,25835,COC,male,4,4,4
7/18/2019,5 Island,25836,COC,,4,9,12
7/18/2019,5 Island,25837,COC,,5,5,5
7/18/2019,5 Island,25838,COC,,5,8,8
