"Date","Lake","TAG.NUMBER","Species","Length..mm.","Weight..g.","Fin.Clipped","Notes"
2019-05-21,"N Twin","29998","BIB",510,1980,"L Pelvic, Spine",""
2019-05-21,"N Twin","29999","BIB",655,4160,"L Pelvic, Spine",""
2019-05-21,"N Twin","30000","BIB",516,2420,"L Pelvic, Spine",""
2019-05-21,"N Twin","29965","BIB",771,6900,"L Pelvic, Spine",""
2019-05-21,"N Twin","29966","BIB",676,5180,"L Pelvic, Spine",""
2019-05-21,"N Twin","29967","BIB",710,5260,"L Pelvic, Spine",""
2019-05-21,"N Twin","29968","BIB",750,7240,"L Pelvic, Spine",""
2019-05-21,"N Twin","29969","BIB",672,4660,"L Pelvic, Spine",""
2019-05-21,"N Twin","29970","BIB",540,2640,"L Pelvic, Spine",""
2019-05-21,"N Twin","29971","BIB",633,3860,"L Pelvic, Spine","Male"
2019-05-21,"N Twin","29972","BIB",601,3360,"L Pelvic, Spine",""
2019-05-21,"N Twin","29973","BIB",662,4600,"L Pelvic, Spine",""
2019-05-21,"N Twin","29974","BIB",571,3320,"L Pelvic, Spine",""
2019-05-21,"N Twin","29975","BIB",689,5200,"L Pelvic, Spine",""
2019-05-21,"N Twin","29976","BIB",473,1820,"L Pelvic, Spine",""
2019-05-21,"N Twin","29977","BIB",735,5680,"L Pelvic, Spine",""
2019-05-21,"N Twin","29978","BIB",784,7720,"L Pelvic, Spine",""
2019-05-21,"N Twin","29979","BIB",660,140,"L Pelvic, Spine",""
2019-05-21,"N Twin","29980","BIB",695,4920,"L Pelvic, Spine",""
2019-05-21,"N Twin","15246","BIB",585,3040," Spine","2018 Recap"
2019-05-21,"N Twin","29981","BIB",630,3940,"L Pelvic, Spine",""
2019-05-21,"N Twin","29982","BIB",614,3460,"L Pelvic, Spine",""
2019-05-21,"N Twin","29983","BIB",603,3140,"L Pelvic, Spine",""
2019-05-21,"N Twin","29984","BIB",530,2460,"L Pelvic, Spine",""
2019-05-21,"N Twin","29985","BIB",518,2250,"L Pelvic, Spine",""
2019-05-21,"N Twin","29986","BIB",731,6580,"L Pelvic, Spine",""
2019-05-21,"N Twin","29987","BIB",698,4640,"L Pelvic, Spine",""
2019-05-21,"N Twin","29988","BIB",625,3960,"L Pelvic, Spine",""
2019-05-21,"N Twin","29989","BIB",523,2060,"L Pelvic, Spine",""
2019-05-21,"N Twin","29990","BIB",653,3540,"L Pelvic, Spine",""
2019-05-21,"N Twin","29991","BIB",795,7720,"L Pelvic, Spine",""
2019-05-21,"N Twin","29992","BIB",657,4380,"L Pelvic, Spine",""
2019-05-21,"N Twin","29993","BIB",573,3120,"L Pelvic, Spine",""
2019-05-21,"N Twin","29994","BIB",658,4020,"L Pelvic, Spine",""
2019-05-21,"N Twin","29995","BIB",686,4800,"L Pelvic, Spine",""
2019-05-21,"N Twin","29996","BIB",643,3880,"L Pelvic, Spine",""
2019-05-21,"N Twin","29997","BIB",564,2680,"L Pelvic, Spine",""
2019-05-21,"N Twin","29901","BIB",579,4120,"L Pelvic, Spine",""
2019-05-21,"N Twin","29902","BIB",452,1320,"L Pelvic, Spine",""
2019-05-21,"N Twin","29903","BIB",523,2720,"L Pelvic, Spine",""
2019-05-21,"N Twin","29904","BIB",718,5180,"L Pelvic, Spine",""
2019-05-21,"N Twin","29905","BIB",751,6080,"L Pelvic, Spine",""
2019-05-21,"N Twin","29906","BIB",623,3880,"L Pelvic, Spine",""
2019-05-21,"N Twin","29907","BIB",823,8420,"L Pelvic, Spine",""
2019-05-21,"N Twin","29908","BIB",541,2240,"L Pelvic, Spine",""
2019-05-21,"N Twin","29909","BIB",759,6840,"L Pelvic, Spine",""
2019-05-21,"N Twin","29910","BIB",722,5040,"L Pelvic, Spine",""
2019-05-21,"N Twin","29911","BIB",543,3000,"L Pelvic, Spine",""
2019-05-21,"N Twin","29912","BIB",716,5660,"L Pelvic, Spine",""
2019-05-21,"N Twin","29913","BIB",769,7300,"L Pelvic, Spine",""
2019-05-21,"N Twin","29914","BIB",670,4760,"L Pelvic, Spine",""
2019-05-21,"N Twin","29915","BIB",766,6080,"L Pelvic, Spine",""
2019-05-21,"N Twin","29916","BIB",746,6760,"L Pelvic, Spine",""
2019-05-21,"N Twin","29917","BIB",735,6280,"L Pelvic, Spine",""
2019-05-21,"N Twin","29918","BIB",612,3880,"L Pelvic",""
2019-05-21,"N Twin","16666","BIB",741,6220,"","2018 Recap"
2019-05-21,"N Twin","29919","BIB",821,8680,"L Pelvic, Spine",""
2019-05-21,"N Twin","29920","BIB",727,5420,"L Pelvic, Spine",""
2019-05-21,"N Twin","29921","BIB",516,2100,"L Pelvic, Spine",""
2019-05-21,"N Twin","29922","BIB",757,6820,"L Pelvic, Spine",""
2019-05-21,"N Twin","29923","BIB",728,5780,"L Pelvic, Spine",""
2019-05-21,"N Twin","29924","BIB",714,4820,"L Pelvic, Spine",""
2019-05-21,"N Twin","29925","BIB",513,2180,"L Pelvic, Spine",""
2019-05-21,"N Twin","29926","BIB",770,6580,"L Pelvic, Spine",""
2019-05-21,"N Twin","29927","BIB",750,7000,"L Pelvic, Spine",""
2019-05-21,"N Twin","29928","BIB",659,4000,"L Pelvic",""
2019-05-21,"N Twin","29929","BIB",758,6120,"L Pelvic",""
2019-05-21,"N Twin","29930","BIB",807,6600,"L Pelvic",""
2019-05-21,"N Twin","29931","BIB",728,6120,"L Pelvic",""
2019-05-21,"N Twin","29932","BIB",634,4020,"L Pelvic",""
2019-05-21,"N Twin","15220","BIB",603,2860,"Spine","2018 Recap"
2019-05-21,"N Twin","29933","BIB",669,4600,"L Pelvic, Spine",""
2019-05-21,"N Twin","29934","BIB",557,2860,"L Pelvic, Spine",""
2019-05-21,"N Twin","29935","BIB",726,5720,"L Pelvic, Spine",""
2019-05-21,"N Twin","29936","BIB",601,2960,"L Pelvic, Spine",""
2019-05-21,"N Twin","29937","BIB",715,5420,"L Pelvic, Spine",""
2019-05-21,"N Twin","29938","BIB",700,5620,"L Pelvic, Spine","female"
2019-05-21,"N Twin","29939","BIB",655,3920,"L Pelvic, Spine",""
2019-05-21,"N Twin","29940","BIB",654,4420,"L Pelvic, Spine",""
2019-05-21,"N Twin","29941","BIB",537,2140,"L Pelvic, Spine",""
2019-05-21,"N Twin","29942","BIB",734,5620,"L Pelvic, Spine",""
2019-05-21,"N Twin","29943","BIB",638,3580,"L Pelvic, Spine",""
2019-05-21,"N Twin","29944","BIB",693,4100,"L Pelvic, Spine",""
2019-05-21,"N Twin","29945","BIB",703,4380,"L Pelvic, Spine",""
2019-05-21,"N Twin","29946","BIB",682,5000,"L Pelvic, Spine",""
2019-05-21,"N Twin","29947","BIB",715,5360,"L Pelvic, Spine",""
2019-05-21,"N Twin","29948","BIB",880,8740,"L Pelvic, Spine",""
2019-05-21,"N Twin","29949","BIB",652,4320,"L Pelvic, Spine","2017 Tag Loss"
