Date,Lake,TAG.NUM,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On time (s),Water Temp,Secchi,Weather,Year
4/27/19,Center,29069,COC,446,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"36 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29070,COC,441,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"37 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29071,COC,559,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"38 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,20901,COC,479,,1,,L Pectoral,2018 Recap,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"39 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29072,COC,637,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"40 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29073,COC,660,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"41 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29074,COC,430,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"42 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29075,COC,525,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"43 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29076,COC,575,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"44 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29077,COC,616,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"45 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29078,COC,700,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"46 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29079,COC,509,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"47 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29080,COC,695,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"48 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,17116,COC,670,,1,,R Pectoral,R Pectoral Clipped 2018 Recap,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"49 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29081,COC,627,,,,L Pelvic,,Electroshocking,1,Center trans. 1,Center trans. 1,Center trans. 1,Center trans. 1,1142,,,"50 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29082,COC,548,,,,L Pelvic,,Electroshocking,2,Center trans. 2,Center trans. 2,Center trans. 2,Center trans. 2,853,,,"51 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29083,COC,496,,,,L Pelvic,,Electroshocking,2,Center trans. 2,Center trans. 2,Center trans. 2,Center trans. 2,853,,,"52 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29084,COC,730,,,,L Pelvic,MF photo,Electroshocking,2,Center trans. 2,Center trans. 2,Center trans. 2,Center trans. 2,853,,,"53 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29085,BIB,475,,,,L Pelvic,,Electroshocking,3,Center trans. 3,Center trans. 3,Center trans. 3,Center trans. 3,678,,,"54 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29086,COC,705,,,,L Pelvic,Cracked O,Electroshocking,4,Center trans.4,Center trans.4,Center trans.4,Center trans.4,759,,,"55 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29087,COC,600,,,,L Pelvic,,Electroshocking,4,Center trans.4,Center trans.4,Center trans.4,Center trans.4,759,,,"56 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29088,COC,544,,,,L Pelvic,,Electroshocking,4,Center trans.4,Center trans.4,Center trans.4,Center trans.4,759,,,"57 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29089,COC,631,,,,L Pelvic,,Electroshocking,4,Center trans.4,Center trans.4,Center trans.4,Center trans.4,759,,,"58 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29090,COC,631,,,,L Pelvic,,Electroshocking,4,Center trans.4,Center trans.4,Center trans.4,Center trans.4,759,,,"59 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29091,COC,573,,,,L Pelvic,,Electroshocking,4,Center trans.4,Center trans.4,Center trans.4,Center trans.4,759,,,"60 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29092,COC,635,,,,L Pelvic,,Electroshocking,4,Center trans.4,Center trans.4,Center trans.4,Center trans.4,759,,,"61 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29093,COC,681,,,,L Pelvic,,Electroshocking,4,Center trans.4,Center trans.4,Center trans.4,Center trans.4,759,,,"62 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,,dummy,,,,,,Goose Egg - 0 fish caught,Electroshocking,5,Center trans. 5,Center trans. 5,Center trans. 5,Center trans. 5,889,,,"63 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29094,COC,710,,,,L Pelvic,,Electroshocking,Bonus,43 25.087,95 7.849,43 25.087,95 7.849,1244,,,"64 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29095,COC,695,,1,1,L Pelvic,2018 Tag Loss,Electroshocking,Bonus,43 25.087,95 7.849,43 25.087,95 7.849,1244,,,"65 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29097,COC,620,,,,L Pelvic,,Electroshocking,Bonus,43 25.087,95 7.849,43 25.087,95 7.849,1244,,,"66 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29098,COC,686,,,,L Pelvic,,Electroshocking,Bonus,43 25.087,95 7.849,43 25.087,95 7.849,1244,,,"67 F Overcast, NE wind 10-20 mph",2019
4/27/19,Center,29100,COC,663,,,,L Pelvic,,Electroshocking,Bonus,43 25.087,95 7.849,43 25.087,95 7.849,1244,,,"68 F Overcast, NE wind 10-20 mph",2019
4/28/19,Silver,,dummy,,,,,,"Zero Fish Caught, 1 Drum Seen",Electroshocking,1,Silver trans. 1,Silver trans. 1,Silver trans. 1,Silver trans. 1,960,8.89,,40 F Overcast SW wind 10 mph,2019
4/28/19,Silver,,dummy,,,,,,Few Small fish seen,Electroshocking,2,Silver trans. 2,Silver trans. 2,Silver trans. 2,Silver trans. 2,948,8.89,,40 F Overcast SW wind 10 mph,2019
4/28/19,Silver,,dummy,,,,,,no fish caught,Electroshocking,3,Silver trans. 3,Silver trans. 3,Silver trans. 3,Silver trans. 3,848,8.89,,40 F Overcast SW wind 10 mph,2019
4/28/19,Silver,28001,BIB,727,,,,L Pelvic,,Electroshocking,Bridge,Bridge,Bridge,Bridge,Bridge,581,8.89,,40 F Overcast SW wind 10 mph,2019
4/28/19,Silver,28002,BIB,674,,,,L Pelvic,,Electroshocking,Bridge,Bridge,Bridge,Bridge,Bridge,581,8.89,,40 F Overcast SW wind 10 mph,2019
4/28/19,Silver,28005,BIB,839,,,,L Pelvic,,Electroshocking,Bridge,Bridge,Bridge,Bridge,Bridge,581,8.89,,40 F Overcast SW wind 10 mph,2019
4/28/19,Silver,28006,COC,781,,,,L Pelvic,,Electroshocking,Bridge,Bridge,Bridge,Bridge,Bridge,581,8.89,,40 F Overcast SW wind 10 mph,2019
4/28/19,Silver,28007,COC,687,,,,L Pelvic,,Electroshocking,Bridge,Bridge,Bridge,Bridge,Bridge,581,8.89,,40 F Overcast SW wind 10 mph,2019
