"second.table[, 1]","quality","preferred","memorable","trophy","Total"
"Bigmouth Buffalo.Blue",NA,NA,NA,NA,NA
"Black Bullhead.Blue",NA,NA,NA,NA,NA
"Black Crappie.Blue",24.8,1.8,0,0,26.6
"Bluegill.Blue",28.4,0.4,0,0,28.8
"Channel Catfish.Blue",33.3,0,0,0,33.3
"Common Carp.Blue",50,0,0,0,50
"Freshwater Drum.Blue",NA,NA,NA,NA,NA
"Gizzard Shad.Blue",NA,NA,NA,NA,NA
"Green Sunfish.Blue",0,0,0,0,0
"Largemouth Bass.Blue",100,100,100,0,300
"Northern Pike.Blue",NA,NA,NA,NA,NA
"Pumpkinseed.Blue",NA,NA,NA,NA,NA
"Walleye.Blue",NA,NA,NA,NA,NA
"White Bass.Blue",NA,NA,NA,NA,NA
"White Crappie.Blue",NA,NA,NA,NA,NA
"White Sucker.Blue",NA,NA,NA,NA,NA
"Yellow Bass.Blue",NA,NA,NA,NA,NA
"Yellow Bullhead.Blue",NA,NA,NA,NA,NA
"Yellow Perch.Blue",NA,NA,NA,NA,NA
"Bigmouth Buffalo.Center",NA,NA,NA,NA,NA
"Black Bullhead.Center",NA,NA,NA,NA,NA
"Black Crappie.Center",77.3,70.5,0,0,147.8
"Bluegill.Center",73.3,2.2,0,0,75.5
"Channel Catfish.Center",NA,NA,NA,NA,NA
"Common Carp.Center",NA,NA,NA,NA,NA
"Freshwater Drum.Center",NA,NA,NA,NA,NA
"Gizzard Shad.Center",NA,NA,NA,NA,NA
"Green Sunfish.Center",NA,NA,NA,NA,NA
"Largemouth Bass.Center",NA,NA,NA,NA,NA
"Northern Pike.Center",NA,NA,NA,NA,NA
"Pumpkinseed.Center",NA,NA,NA,NA,NA
"Walleye.Center",40,0,0,0,40
"White Bass.Center",NA,NA,NA,NA,NA
"White Crappie.Center",50,50,0,0,100
"White Sucker.Center",NA,NA,NA,NA,NA
"Yellow Bass.Center",100,40,0,0,140
"Yellow Bullhead.Center",100,88.2,35.3,0,223.5
"Yellow Perch.Center",NA,NA,NA,NA,NA
"Bigmouth Buffalo.N Twin",NA,NA,NA,NA,NA
"Black Bullhead.N Twin",50,50,0,0,100
"Black Crappie.N Twin",NA,NA,NA,NA,NA
"Bluegill.N Twin",65.6,3.3,0,0,68.9
"Channel Catfish.N Twin",NA,NA,NA,NA,NA
"Common Carp.N Twin",NA,NA,NA,NA,NA
