"Var1","substock","stock","quality","preferred","memorable","trophy","Total"
"Bigmouth Buffalo.Blue",0,0,0,0,0,0,0
"Black Bullhead.Blue",0,0,0,0,0,0,0
"Black Crappie.Blue",89,85,26,2,0,0,202
"Bluegill.Blue",24,184,72,1,0,0,281
"Channel Catfish.Blue",1,2,1,0,0,0,4
"Common Carp.Blue",0,1,1,0,0,0,2
"Freshwater Drum.Blue",0,0,0,0,0,0,0
"Gizzard Shad.Blue",0,0,0,0,0,0,0
"Green Sunfish.Blue",0,2,0,0,0,0,2
"Largemouth Bass.Blue",2,0,0,0,1,0,3
"Northern Pike.Blue",0,0,0,0,0,0,0
"Pumpkinseed.Blue",0,0,0,0,0,0,0
"Walleye.Blue",0,0,0,0,0,0,0
"White Bass.Blue",0,0,0,0,0,0,0
"White Crappie.Blue",0,0,0,0,0,0,0
"White Sucker.Blue",0,0,0,0,0,0,0
"Yellow Bass.Blue",0,0,0,0,0,0,0
"Yellow Bullhead.Blue",0,0,0,0,0,0,0
"Yellow Perch.Blue",0,0,0,0,0,0,0
"Bigmouth Buffalo.Center",0,0,0,0,0,0,0
"Black Bullhead.Center",0,0,0,0,0,0,0
"Black Crappie.Center",4,10,3,31,0,0,48
"Bluegill.Center",1,12,32,1,0,0,46
"Channel Catfish.Center",0,0,0,0,0,0,0
"Common Carp.Center",0,0,0,0,0,0,0
"Freshwater Drum.Center",0,0,0,0,0,0,0
"Gizzard Shad.Center",0,0,0,0,0,0,0
"Green Sunfish.Center",0,0,0,0,0,0,0
"Largemouth Bass.Center",20,0,0,0,0,0,20
"Northern Pike.Center",0,0,0,0,0,0,0
"Pumpkinseed.Center",1,0,0,0,0,0,1
"Walleye.Center",1,3,2,0,0,0,6
"White Bass.Center",0,0,0,0,0,0,0
"White Crappie.Center",0,1,0,1,0,0,2
"White Sucker.Center",0,0,0,0,0,0,0
"Yellow Bass.Center",0,0,3,2,0,0,5
"Yellow Bullhead.Center",0,0,2,9,6,0,17
"Yellow Perch.Center",0,0,0,0,0,0,0
"Bigmouth Buffalo.N Twin",0,0,0,0,0,0,0
"Black Bullhead.N Twin",312,2,0,2,0,0,316
"Black Crappie.N Twin",0,0,0,0,0,0,0
"Bluegill.N Twin",1,21,38,2,0,0,62
"Channel Catfish.N Twin",0,0,0,0,0,0,0
"Common Carp.N Twin",0,0,0,0,0,0,0
"Freshwater Drum.N Twin",0,0,0,2,0,0,2
"Gizzard Shad.N Twin",0,0,0,0,0,0,0
"Green Sunfish.N Twin",0,0,1,0,0,0,1
"Largemouth Bass.N Twin",0,0,0,0,0,0,0
"Northern Pike.N Twin",0,0,0,0,0,0,0
"Pumpkinseed.N Twin",0,0,0,0,0,0,0
"Walleye.N Twin",4,7,1,5,0,0,17
"White Bass.N Twin",0,0,0,0,0,0,0
"White Crappie.N Twin",3,158,64,4,0,0,229
"White Sucker.N Twin",0,0,0,0,0,0,0
"Yellow Bass.N Twin",0,3,5,22,0,0,30
"Yellow Bullhead.N Twin",0,3,13,9,2,0,27
"Yellow Perch.N Twin",0,1,1,0,0,0,2
"Bigmouth Buffalo.S Twin",0,0,0,0,0,0,0
"Black Bullhead.S Twin",273,31,2,0,0,0,306
"Black Crappie.S Twin",0,0,0,0,0,0,0
"Bluegill.S Twin",0,5,0,0,0,0,5
"Channel Catfish.S Twin",0,0,0,0,0,0,0
"Common Carp.S Twin",6,3,3,0,0,0,12
"Freshwater Drum.S Twin",17,22,0,0,0,0,39
"Gizzard Shad.S Twin",0,0,0,0,0,0,0
"Green Sunfish.S Twin",0,0,0,0,0,0,0
"Largemouth Bass.S Twin",0,0,0,0,0,0,0
"Northern Pike.S Twin",0,0,0,1,0,0,1
"Pumpkinseed.S Twin",0,0,0,0,0,0,0
"Walleye.S Twin",0,0,0,0,0,0,0
"White Bass.S Twin",0,0,0,0,0,0,0
"White Crappie.S Twin",101,206,9,0,0,0,316
"White Sucker.S Twin",0,0,0,0,0,0,0
"Yellow Bass.S Twin",0,4,0,0,0,0,4
"Yellow Bullhead.S Twin",0,31,11,9,0,0,51
"Yellow Perch.S Twin",0,4,0,0,0,0,4
"Bigmouth Buffalo.Silver",2,0,0,0,0,0,2
"Black Bullhead.Silver",0,0,0,0,0,0,0
"Black Crappie.Silver",13,0,1,2,0,0,16
"Bluegill.Silver",14,23,7,9,0,0,53
"Channel Catfish.Silver",0,0,0,0,0,0,0
"Common Carp.Silver",0,0,0,0,0,0,0
"Freshwater Drum.Silver",619,0,0,0,0,0,619
"Gizzard Shad.Silver",0,0,0,0,0,0,0
"Green Sunfish.Silver",0,1,0,0,0,0,1
"Largemouth Bass.Silver",3,1,0,1,0,0,5
"Northern Pike.Silver",1,1,2,1,0,0,5
"Pumpkinseed.Silver",0,0,1,0,0,0,1
"Walleye.Silver",125,22,7,3,0,0,157
"White Bass.Silver",0,0,0,0,0,0,0
"White Crappie.Silver",0,0,0,0,0,0,0
"White Sucker.Silver",0,0,2,1,2,1,6
"Yellow Bass.Silver",5,218,14,64,3,0,304
"Yellow Bullhead.Silver",0,0,0,1,0,0,1
"Yellow Perch.Silver",11,4,0,0,0,0,15
"Bigmouth Buffalo.Storm",0,0,0,0,0,0,0
"Black Bullhead.Storm",0,0,0,0,0,0,0
"Black Crappie.Storm",10,0,0,0,0,0,10
"Bluegill.Storm",8,9,1,0,0,0,18
"Channel Catfish.Storm",2,0,0,1,0,0,3
"Common Carp.Storm",0,0,0,0,0,0,0
"Freshwater Drum.Storm",0,0,0,0,0,0,0
"Gizzard Shad.Storm",4682,0,1,0,0,0,4683
