"","quality","preferred","memorable","trophy"
"Black Bullhead.Blue",NA,NA,NA,NA
"Black Crappie.Blue",25.4,1.8,0,0
"Bluegill.Blue",31.2,0.3,0,0
"Brown Bullhead.Blue",NA,NA,NA,NA
"Channel Catfish.Blue",50,0,0,0
"Freshwater Drum.Blue",NA,NA,NA,NA
"Gizzard Shad.Blue",NA,NA,NA,NA
"Green Sunfish.Blue",0,0,0,0
"Largemouth Bass.Blue",100,93.3,13.3,0
"Northern Pike.Blue",NA,NA,NA,NA
"Pumpkinseed.Blue",NA,NA,NA,NA
"Smallmouth Bass.Blue",NA,NA,NA,NA
"Walleye.Blue",NA,NA,NA,NA
"White Bass.Blue",NA,NA,NA,NA
"White Crappie.Blue",NA,NA,NA,NA
"White Sucker.Blue",NA,NA,NA,NA
"Yellow Bass.Blue",NA,NA,NA,NA
"Yellow Bullhead.Blue",NA,NA,NA,NA
"Yellow Perch.Blue",NA,NA,NA,NA
"Black Bullhead.Center",NA,NA,NA,NA
"Black Crappie.Center",79.2,68.8,0,0
"Bluegill.Center",79.2,6.9,0,0
"Brown Bullhead.Center",100,100,0,0
"Channel Catfish.Center",NA,NA,NA,NA
"Freshwater Drum.Center",100,100,0,0
"Gizzard Shad.Center",NA,NA,NA,NA
"Green Sunfish.Center",NA,NA,NA,NA
"Largemouth Bass.Center",100,0,0,0
"Northern Pike.Center",NA,NA,NA,NA
"Pumpkinseed.Center",NA,NA,NA,NA
"Smallmouth Bass.Center",NA,NA,NA,NA
"Walleye.Center",25,0,0,0
"White Bass.Center",NA,NA,NA,NA
"White Crappie.Center",50,50,0,0
"White Sucker.Center",NA,NA,NA,NA
"Yellow Bass.Center",88.9,33.3,0,0
"Yellow Bullhead.Center",100,88.2,35.3,0
"Yellow Perch.Center",NA,NA,NA,NA
"Black Bullhead.Five Island",NA,NA,NA,NA
"Black Crappie.Five Island",NA,NA,NA,NA
"Bluegill.Five Island",80,20,0,0
"Brown Bullhead.Five Island",NA,NA,NA,NA
"Channel Catfish.Five Island",75,0,0,0
"Freshwater Drum.Five Island",NA,NA,NA,NA
"Gizzard Shad.Five Island",NA,NA,NA,NA
"Green Sunfish.Five Island",NA,NA,NA,NA
"Largemouth Bass.Five Island",78.6,7.1,0,0
"Northern Pike.Five Island",NA,NA,NA,NA
"Pumpkinseed.Five Island",NA,NA,NA,NA
"Smallmouth Bass.Five Island",NA,NA,NA,NA
"Walleye.Five Island",66.7,33.3,0,0
"White Bass.Five Island",NA,NA,NA,NA
"White Crappie.Five Island",NA,NA,NA,NA
"White Sucker.Five Island",NA,NA,NA,NA
"Yellow Bass.Five Island",39.2,0,0,0
"Yellow Bullhead.Five Island",NA,NA,NA,NA
"Yellow Perch.Five Island",0,0,0,0
"Black Bullhead.N Twin",50,50,0,0
"Black Crappie.N Twin",NA,NA,NA,NA
"Bluegill.N Twin",60.5,2.6,0,0
"Brown Bullhead.N Twin",NA,NA,NA,NA
"Channel Catfish.N Twin",100,0,0,0
"Freshwater Drum.N Twin",100,50,0,0
"Gizzard Shad.N Twin",NA,NA,NA,NA
"Green Sunfish.N Twin",100,0,0,0
"Largemouth Bass.N Twin",NA,NA,NA,NA
"Northern Pike.N Twin",NA,NA,NA,NA
"Pumpkinseed.N Twin",NA,NA,NA,NA
"Smallmouth Bass.N Twin",NA,NA,NA,NA
"Walleye.N Twin",53.3,46.7,6.7,0
"White Bass.N Twin",NA,NA,NA,NA
"White Crappie.N Twin",31,2.6,0,0
"White Sucker.N Twin",NA,NA,NA,NA
"Yellow Bass.N Twin",60.3,32.1,0,0
"Yellow Bullhead.N Twin",88.9,40.7,7.4,0
"Yellow Perch.N Twin",50,0,0,0
"Black Bullhead.S Twin",3,0,0,0
"Black Crappie.S Twin",NA,NA,NA,NA
"Bluegill.S Twin",0,0,0,0
"Brown Bullhead.S Twin",36.4,0,0,0
"Channel Catfish.S Twin",NA,NA,NA,NA
"Freshwater Drum.S Twin",4.3,0,0,0
"Gizzard Shad.S Twin",NA,NA,NA,NA
"Green Sunfish.S Twin",NA,NA,NA,NA
"Largemouth Bass.S Twin",NA,NA,NA,NA
"Northern Pike.S Twin",100,100,0,0
"Pumpkinseed.S Twin",NA,NA,NA,NA
"Smallmouth Bass.S Twin",NA,NA,NA,NA
"Walleye.S Twin",100,100,0,0
"White Bass.S Twin",NA,NA,NA,NA
"White Crappie.S Twin",5.5,0,0,0
"White Sucker.S Twin",NA,NA,NA,NA
"Yellow Bass.S Twin",0,0,0,0
"Yellow Bullhead.S Twin",39.2,17.6,0,0
"Yellow Perch.S Twin",0,0,0,0
"Black Bullhead.Silver",NA,NA,NA,NA
"Black Crappie.Silver",100,66.7,0,0
"Bluegill.Silver",41,23.1,0,0
"Brown Bullhead.Silver",NA,NA,NA,NA
"Channel Catfish.Silver",NA,NA,NA,NA
"Freshwater Drum.Silver",NA,NA,NA,NA
"Gizzard Shad.Silver",NA,NA,NA,NA
"Green Sunfish.Silver",0,0,0,0
"Largemouth Bass.Silver",75,50,0,0
"Northern Pike.Silver",80,20,0,0
"Pumpkinseed.Silver",100,0,0,0
"Smallmouth Bass.Silver",NA,NA,NA,NA
"Walleye.Silver",51.9,11.1,1.9,0
"White Bass.Silver",100,66.7,16.7,0
"White Crappie.Silver",NA,NA,NA,NA
"White Sucker.Silver",100,66.7,50,16.7
"Yellow Bass.Silver",36.8,24.1,1.2,0
"Yellow Bullhead.Silver",100,100,0,0
"Yellow Perch.Silver",20,20,0,0
"Black Bullhead.Storm",NA,NA,NA,NA
"Black Crappie.Storm",NA,NA,NA,NA
"Bluegill.Storm",18.2,9.1,0,0
"Brown Bullhead.Storm",NA,NA,NA,NA
"Channel Catfish.Storm",100,25,0,0
"Freshwater Drum.Storm",NA,NA,NA,NA
"Gizzard Shad.Storm",100,0,0,0
"Green Sunfish.Storm",NA,NA,NA,NA
"Largemouth Bass.Storm",0,0,0,0
"Northern Pike.Storm",NA,NA,NA,NA
"Pumpkinseed.Storm",NA,NA,NA,NA
"Smallmouth Bass.Storm",0,0,0,0
"Walleye.Storm",31.2,18.8,12.5,0
"White Bass.Storm",11.9,11.7,0.8,0
"White Crappie.Storm",97.1,2.9,0,0
"White Sucker.Storm",100,100,100,0
"Yellow Bass.Storm",100,0,0,0
"Yellow Bullhead.Storm",NA,NA,NA,NA
"Yellow Perch.Storm",50,0,0,0
