Lake,Year,C.L.BM,C.BM,C.U.BM,C.L.BMDensity,C.BMDensity,C.U.BMDensity,B.L.BM,B.BM,B.U.BM,B.L.BMDensity,B.BMDensity,B.U.BMDensity
Blue,2017,69338.49621,131847.8235,245011.3355,257.7639264,490.1406078,910.8228087,NA,NA,NA,NA,NA,NA
Center,2017,38015.78209,48720.18165,65023.89201,172.7990095,221.4553711,295.5631455,62430.93154,72181.77347,85864.04824,283.7769615,328.0989703,390.2911284
N Twin,2017,5749.85664,9608.005774,18207.10088,12.69284026,21.20972577,40.19227567,60026.15808,106943.25,190060.8342,132.5080752,236.0778146,419.5603405
S Twin,2017,23530.9886,44656.33921,80604.26889,39.21831434,74.42723202,134.3404481,20464.27256,25492.53104,32343.53322,34.10712094,42.48755174,53.90588871
Blue,2018,123209.8039,145720.2972,168230.7906,458.0290106,541.7111422,625.3932737,NA,NA,NA,NA,NA,NA
Center,2018,18331.60773,40303.35791,62268.87496,83.3254897,183.1970814,283.0403407,7354.238748,18060.61833,28772.11569,33.42835795,82.09371969,130.782344
5 Island,2018,138314.0064,182303.4147,226292.8231,142.1521134,187.362194,232.5722745,-2340.007149,19153.08342,40654.50142,-2.404940543,19.68456672,41.7826325
N Twin,2018,14494.94026,28482.33369,42469.72713,31.99766062,62.87490882,93.75215701,84898.44154,186613.5727,288318.765,187.4137782,411.9504917,636.4652649
Silver,2018,68162.73976,99974.06801,131775.1478,65.47813618,96.0365687,126.5851564,-75347.73906,103429.1853,282206.1097,-72.38015279,99.35560551,271.0913638
S Twin,2018,23070.34178,36663.05143,50253.98657,38.45056964,61.10508571,83.75664428,83887.74981,152408.6211,221374.7801,139.8129164,254.0143685,368.9579668
Storm,2018,26346.56977,34898.64217,43450.71457,8.507126176,11.26853154,14.0299369,-726131.3855,148797.6817,1023726.749,-234.4628303,48.04574804,330.5543264
Blue,2019,34818.40869,64810.32827,94804.77347,129.4364635,240.9305883,352.4341021,NA,NA,NA,NA,NA,NA
Center,2019,2099.319085,8194.11643,14283.27044,9.542359479,37.24598377,64.92395656,0,19280.21737,69268.19762,0,87.63735168,314.8554437
Five Island,2019,50004.73315,145281.6349,240551.1766,51.39232595,149.3130883,247.2262863,0,9696.994889,66718.00397,0,9.966079023,68.56937716
N Twin,2019,11976.44554,19712.38919,27456.25901,26.43806963,43.51520792,60.60984328,133107.2679,185644.8265,238173.2955,293.8350284,409.811979,525.7688643
Silver,2019,46852.07076,95082.4484,143302.4628,45.00679227,91.33760653,137.6584657,0,31458.45813,216434.526,0,30.21946026,207.9102075
S Twin,2019,12043.09506,27843.23204,43643.36903,20.07182511,46.40538674,72.73894838,0,55338.37124,150989.3374,0,92.23061873,251.6488957
Storm,2019,37833.07136,74330.23597,110827.4006,12.21603854,24.00072198,35.78540542,0,1028.6901,7077.127463,0,0.332156958,2.285155784
