"Date","Lake","TAG.NUMBER","Species","Length..mm.","Tag.Loss","Gear","Year","detect"
2018-05-01,"Blue","7511","COC",428,NA,"Electroshocking","2018",1
2018-05-01,"Blue","7864","COC",430,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10101","COC",380,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10102","COC",342,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10103","COC",336,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10104","COC",340,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10106","COC",332,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10107","COC",398,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10108","COC",462,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10109","COC",410,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10110","COC",370,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10112","COC",362,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10113","COC",402,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10114","COC",358,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10115","COC",400,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10116","COC",366,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10117","COC",586,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10118","COC",352,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10119","COC",354,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10120","COC",374,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10121","COC",400,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10122","COC",387,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10123","COC",368,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10124","COC",392,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10125","COC",396,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10126","COC",404,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10127","COC",398,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10128","COC",380,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10129","COC",534,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10130","COC",400,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10131","COC",386,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10132","COC",374,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10133","COC",392,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10134","COC",380,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10135","COC",398,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10136","COC",364,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10137","COC",376,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10138","COC",368,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10139","COC",378,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10140","COC",344,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10141","COC",360,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10142","COC",362,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10143","COC",336,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10144","COC",360,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10145","COC",470,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10146","COC",668,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10147","COC",482,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10148","COC",366,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10149","COC",416,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10150","COC",380,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10151","COC",352,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10152","COC",382,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10153","COC",410,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10154","COC",360,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10155","COC",356,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10156","COC",330,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10157","COC",350,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10158","COC",362,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10159","COC",396,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10160","COC",390,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10161","COC",364,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10162","COC",408,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10163","COC",416,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10164","COC",458,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10165","COC",346,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10166","COC",362,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10167","COC",370,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10168","COC",380,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10169","COC",422,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10170","COC",394,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10171","COC",488,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10172","COC",364,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10173","COC",364,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10174","COC",364,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10175","COC",384,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10176","COC",366,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10177","COC",370,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10178","COC",460,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10179","COC",384,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10180","COC",380,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10181","COC",386,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10182","COC",380,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10183","COC",360,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10184","COC",370,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10185","COC",414,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10186","COC",554,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10187","COC",382,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10188","COC",376,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10189","COC",388,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10190","COC",376,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10191","COC",342,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10192","COC",364,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10193","COC",374,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10194","COC",360,NA,"Electroshocking","2018",1
2018-05-01,"Blue","10195","COC",364,NA,"Electroshocking","2018",1
