Min TL (mm),time to recruitment,Survival,Exploitation,Nharv,MTL (mm),Yield (kg)
150,2.305,0.675,0.087,128.16,226.534,22.558
200,3.636,0.675,0.087,82.75,253.926,20.94
250,5.327,0.675,0.087,44.22,282.404,15.691
150,2.305,0.6,0.175,217.68,217.563,33.696
200,3.636,0.6,0.175,143.58,248.466,33.906
250,5.327,0.6,0.175,79.89,280.03,27.593
150,2.305,0.525,0.263,281.35,208.7,38.157
200,3.636,0.525,0.263,188.37,242.899,41.389
250,5.327,0.525,0.263,108.33,277.493,36.35
150,2.305,0.45,0.352,328,200.229,38.992
200,3.636,0.45,0.352,221.69,237.365,45.268
250,5.327,0.45,0.352,130.8,274.806,42.553
150,2.305,0.375,0.442,363.56,192.364,38.048
200,3.636,0.375,0.442,247.03,232,46.906
250,5.327,0.375,0.442,148.46,271.99,46.742
150,2.305,0.3,0.533,391.96,185.202,36.358
200,3.636,0.3,0.533,267,226.909,47.244
250,5.327,0.3,0.533,162.39,269.072,49.403
150,2.305,0.225,0.626,415.8,178.701,34.427
200,3.636,0.225,0.626,283.52,222.132,46.885
250,5.327,0.225,0.626,173.59,266.078,50.964
150,2.305,0.15,0.721,437.06,172.66,32.439
200,3.636,0.15,0.721,298.08,217.593,46.162
250,5.327,0.15,0.721,183.05,262.999,51.788
150,2.305,0.075,0.822,457.96,166.591,30.335
200,3.636,0.075,0.822,312.35,212.975,45.182
250,5.327,0.075,0.822,191.97,259.684,52.165
