Min TL (mm),u,Nharv,MTL (mm),Yield (kg)
150,0.087,1228.67,222.823,194.042
200,0.087,773.88,250.298,175.421
250,0.087,389.36,278.436,122.901
150,0.175,2119.46,215.23,300.529
200,0.175,1372.12,246.01,294.761
250,0.175,724.88,276.86,224.809
150,0.263,2768.64,207.488,350.335
200,0.263,1831.1,241.497,371.363
250,0.263,1010.68,275.134,307.411
150,0.352,3248.98,199.811,365.654
200,0.352,2182.28,236.824,416.511
250,0.352,1251.08,273.24,372.449
150,0.442,3614.14,192.405,361.704
200,0.442,2452.42,232.075,439.511
250,0.442,1450.67,271.161,421.731
150,0.533,3902.82,185.43,348.242
200,0.533,2664.03,227.337,447.787
250,0.533,1614.4,268.874,457.14
150,0.626,4142.7,178.942,330.915
200,0.626,2835.89,222.679,446.966
250,0.626,1747.93,266.35,480.652
150,0.721,4355.08,172.841,312.322
200,0.721,2984.38,218.094,440.917
250,0.721,1858.21,263.532,494.361
150,0.822,4563.49,166.7,292.463
200,0.822,3127.87,213.341,431.534
250,0.822,1956.28,260.234,500.478
