"Lake","Species","Mean","Trad.lower","Trad.upper","L.BMD","BMD","U.BMD","Year"
"Blue","Common Carp",80.37,59.99,100.76,230.7,438.6,815.1,"2017"
"Center","Bigmouth Buffalo",102.29,59.4,145.17,283.3,327.6,389.7,"2017"
"Center","Common Carp",36.3,22.41,50.2,180.8,231.7,309.3,"2017"
"N Twin","Bigmouth Buffalo",24.56,17.99,31.14,126.7,225.7,401.2,"2017"
"N Twin","Common Carp",17.18,9.74,24.63,11.6,19.4,36.8,"2017"
"S Twin","Bigmouth Buffalo",64.65,36.56,95.32,38.8,48.3,61.3,"2017"
"S Twin","Common Carp",41.78,29.96,53.05,52.6,92.2,166.5,"2017"
"Blue","Common Carp",194,141,247,458.029010633631,541.711142158669,625.393273683706,"2018"
"Center","Bigmouth Buffalo",14.2,9.61,18.8,33.4283579454458,82.0937196864844,130.782344028738,"2018"
"Center","Common Carp",14.2,9.59,18.9,83.3254896952394,183.197081390486,283.040340719293,"2018"
"Five Island","Bigmouth Buffalo",4.08,2.05,6.1,0,19.6845667249927,41.782632500615,"2018"
"Five Island","Common Carp",22.1,17.9,26.3,142.152113432623,187.362193957738,232.572274482854,"2018"
"N Twin","Bigmouth Buffalo",12,7.57,16.5,187.413778233924,411.950491702196,636.465264901416,"2018"
"N Twin","Common Carp",15.7,11.3,20.1,31.9976606186431,62.874908816036,93.752157013429,"2018"
"S Twin","Bigmouth Buffalo",21.1,12,30.3,139.812916351667,254.014368489224,368.957966793519,"2018"
"S Twin","Common Carp",44.7,31.9,57.5,38.4505696406693,61.1050857123197,83.7566442753446,"2018"
"Silver","Bigmouth Buffalo",13.3,7.1,19.5,0,99.3556055132457,271.091363817496,"2018"
"Silver","Common Carp",20.5,16.6,24.4,65.4781361773222,96.0365686979067,126.585156362653,"2018"
"Storm","Bigmouth Buffalo",1.16,0.59,1.73,0,48.0457480377757,330.554326397174,"2018"
"Storm","Common Carp",31.1,25.4,36.8,8.50712617635499,11.268531537437,14.029936898519,"2018"
"Blue","Bonus 1",NA,NA,NA,NA,NA,NA,"2019"
"Blue","Bonus 2",NA,NA,NA,NA,NA,NA,"2019"
"Blue","Bonus 3",NA,NA,NA,NA,NA,NA,"2019"
"Blue","Bonus 4",NA,NA,NA,NA,NA,NA,"2019"
"Blue","Bonus 5",NA,NA,NA,NA,NA,NA,"2019"
"Blue","Std 1",NA,NA,NA,NA,NA,NA,"2019"
"Blue","Std 2",NA,NA,NA,NA,NA,NA,"2019"
"Blue","Std 3",NA,NA,NA,NA,NA,NA,"2019"
"Blue","Std 4",NA,NA,NA,NA,NA,NA,"2019"
"Center","Bonus",NA,NA,NA,NA,NA,NA,"2019"
"Center","Bonus 1",NA,NA,NA,NA,NA,NA,"2019"
"Center","Bonus 2",NA,NA,NA,NA,NA,NA,"2019"
"Center","Bonus 3",NA,NA,NA,NA,NA,NA,"2019"
"Center","Bonus 4",NA,NA,NA,NA,NA,NA,"2019"
"Center","Bonus 5",NA,NA,NA,NA,NA,NA,"2019"
"Center","Bonus 6",NA,NA,NA,NA,NA,NA,"2019"
"Center","Bonus 7",NA,NA,NA,NA,NA,NA,"2019"
"Center","Std 1",NA,NA,NA,NA,NA,NA,"2019"
"Center","Std 2",NA,NA,NA,NA,NA,NA,"2019"
"Center","Std 3",NA,NA,NA,NA,NA,NA,"2019"
"Center","Std 4",NA,NA,NA,NA,NA,NA,"2019"
"Center","Std 5",NA,NA,NA,NA,NA,NA,"2019"
"Center","Std 6",NA,NA,NA,NA,NA,NA,"2019"
"Center","Std 7",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","Bonus 1",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","Bonus 2",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","bonus 2 ",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","Bonus 3",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","Bonus 3 ",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","Bonus 4",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","Bonus 5",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","Bonus 6",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","Std 1",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","Std 2",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","Std 3",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","Std 4",NA,NA,NA,NA,NA,NA,"2019"
"Five Island","Std 5",NA,NA,NA,NA,NA,NA,"2019"
"N Twin","Bonus 1",NA,NA,NA,NA,NA,NA,"2019"
"N Twin","Bonus 2",NA,NA,NA,NA,NA,NA,"2019"
"N Twin","Bonus 3",NA,NA,NA,NA,NA,NA,"2019"
"N Twin","Bonus 4",NA,NA,NA,NA,NA,NA,"2019"
"N Twin","Bonus 5",NA,NA,NA,NA,NA,NA,"2019"
"N Twin","Std 1",NA,NA,NA,NA,NA,NA,"2019"
"N Twin","Std 2",NA,NA,NA,NA,NA,NA,"2019"
"N Twin","Std 3",NA,NA,NA,NA,NA,NA,"2019"
"N Twin","Std 4",NA,NA,NA,NA,NA,NA,"2019"
"N Twin","Std 5",NA,NA,NA,NA,NA,NA,"2019"
"S Twin","Bonus 1",NA,NA,NA,NA,NA,NA,"2019"
"S Twin","Bonus 2",NA,NA,NA,NA,NA,NA,"2019"
"S Twin","Bonus 3",NA,NA,NA,NA,NA,NA,"2019"
"S Twin","Std 1",NA,NA,NA,NA,NA,NA,"2019"
"S Twin","Std 2",NA,NA,NA,NA,NA,NA,"2019"
"S Twin","Std 3",NA,NA,NA,NA,NA,NA,"2019"
"S Twin","Std 4",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Bonus 1",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Bonus 2",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Bonus 2 ",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Bonus 3",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Bonus 4",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Bonus 5",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Bonus 6",NA,NA,NA,NA,NA,NA,"2019"
