Lake,Angler,Length of Seine,Date,Year,Month,Species,Pounds
Silver Lake (Palo Alto),,,9/7/2012,2012,9,BMB,14930
Silver Lake (Palo Alto),,,9/7/2012,2012,9,FWD,0
Silver Lake (Palo Alto),,,9/7/2012,2012,9,CAP,11860
Silver Lake (Palo Alto),,,9/14/2012,2012,9,BMB,1320
Silver Lake (Palo Alto),,,9/14/2012,2012,9,FWD,0
Silver Lake (Palo Alto),,,9/14/2012,2012,9,CAP,4550
Silver Lake (Palo Alto),,,9/15/2012,2012,9,BMB,1120
Silver Lake (Palo Alto),,,9/15/2012,2012,9,FWD,0
Silver Lake (Palo Alto),,,9/15/2012,2012,9,CAP,3025
Silver Lake (Palo Alto),,,9/16/2012,2012,9,BMB,6535
Silver Lake (Palo Alto),,,9/16/2012,2012,9,FWD,0
Silver Lake (Palo Alto),,,9/16/2012,2012,9,CAP,4900
Silver Lake (Palo Alto),,,11/2/2012,2012,11,BMB,6300
Silver Lake (Palo Alto),,,11/2/2012,2012,11,FWD,0
Silver Lake (Palo Alto),,,11/2/2012,2012,11,CAP,15495
Silver Lake (Palo Alto),,,11/3/2012,2012,11,BMB,5100
Silver Lake (Palo Alto),,,11/3/2012,2012,11,FWD,0
Silver Lake (Palo Alto),,,11/3/2012,2012,11,CAP,10500
Lost Island Lake,,,11/9/2012,2012,11,BMB,575
Lost Island Lake,,,11/9/2012,2012,11,FWD,0
Lost Island Lake,,,11/9/2012,2012,11,CAP,720
Ingham Lake,,,11/10/2012,2012,11,BMB,11400
Ingham Lake,,,11/10/2012,2012,11,FWD,0
Ingham Lake,,,11/10/2012,2012,11,CAP,4350
Ingham Lake,,,11/11/2012,2012,11,BMB,14400
Ingham Lake,,,11/11/2012,2012,11,FWD,0
Ingham Lake,,,11/11/2012,2012,11,CAP,3750
Ingham Lake,,,11/13/2012,2012,11,BMB,4900
Ingham Lake,,,11/13/2012,2012,11,FWD,0
Ingham Lake,,,11/13/2012,2012,11,CAP,10285
High Lake,,,4/16/2013,2013,4,BMB,10500
High Lake,,,4/16/2013,2013,4,FWD,0
High Lake,,,4/16/2013,2013,4,CAP,1800
Tuttle Lake,,,4/20/2013,2013,4,BMB,25060
Tuttle Lake,,,4/20/2013,2013,4,FWD,0
Tuttle Lake,,,4/20/2013,2013,4,CAP,31325
Center Lake,,,4/25/2013,2013,4,BMB,24800
Center Lake,,,4/25/2013,2013,4,FWD,2430
Center Lake,,,4/25/2013,2013,4,CAP,16750
Tuttle Lake,,,4/29/2013,2013,4,BMB,15480
Tuttle Lake,,,4/29/2013,2013,4,FWD,0
Tuttle Lake,,,4/29/2013,2013,4,CAP,950
Silver Lake (Dickinson),,,4/30/2013,2013,4,BMB,10800
Silver Lake (Dickinson),,,4/30/2013,2013,4,FWD,500
Silver Lake (Dickinson),,,4/30/2013,2013,4,CAP,22300
Five Island Lake,,,5/6/2013,2013,5,BMB,12600
Five Island Lake,,,5/6/2013,2013,5,FWD,50
Five Island Lake,,,5/6/2013,2013,5,CAP,17100
Five Island Lake,,,5/7/2013,2013,5,BMB,10600
Five Island Lake,,,5/7/2013,2013,5,FWD,0
Five Island Lake,,,5/7/2013,2013,5,CAP,17900
Spirit Lake,,,5/8/2013,2013,5,BMB,17000
Spirit Lake,,,5/8/2013,2013,5,FWD,6300
Spirit Lake,,,5/8/2013,2013,5,CAP,20250
Spirit Lake,,,5/9/2013,2013,5,BMB,200
Spirit Lake,,,5/9/2013,2013,5,FWD,100
Spirit Lake,,,5/9/2013,2013,5,CAP,100
High Lake,,,5/13/2013,2013,5,BMB,13000
High Lake,,,5/13/2013,2013,5,BMB,13000
Five Island Lake,,,5/13/2013,2013,5,BMB,2800
High Lake,,,5/13/2013,2013,5,FWD,0
High Lake,,,5/13/2013,2013,5,FWD,0
Five Island Lake,,,5/13/2013,2013,5,FWD,0
High Lake,,,5/13/2013,2013,5,CAP,950
High Lake,,,5/13/2013,2013,5,CAP,950
Five Island Lake,,,5/13/2013,2013,5,CAP,24600
Center Lake,,,5/14/2013,2013,5,BMB,950
Center Lake,,,5/14/2013,2013,5,FWD,200
Center Lake,,,5/14/2013,2013,5,CAP,280
High Lake,,,5/15/2013,2013,5,BMB,3000
Spirit Lake,,,5/15/2013,2013,5,BMB,19200
High Lake,,,5/15/2013,2013,5,FWD,0
Spirit Lake,,,5/15/2013,2013,5,FWD,4100
High Lake,,,5/15/2013,2013,5,CAP,300
Spirit Lake,,,5/15/2013,2013,5,CAP,19350
East Okoboji Lake,,,5/16/2013,2013,5,BMB,48200
East Okoboji Lake,,,5/16/2013,2013,5,FWD,6750
East Okoboji Lake,,,5/16/2013,2013,5,CAP,17100
East Okoboji Lake,,,5/20/2013,2013,5,BMB,52600
West Swan Lake,,,5/20/2013,2013,5,BMB,100
East Okoboji Lake,,,5/20/2013,2013,5,FWD,6950
West Swan Lake,,,5/20/2013,2013,5,FWD,0
East Okoboji Lake,,,5/20/2013,2013,5,CAP,10800
West Swan Lake,,,5/20/2013,2013,5,CAP,600
West Swan Lake,,,5/21/2013,2013,5,BMB,4500
West Swan Lake,,,5/21/2013,2013,5,FWD,0
West Swan Lake,,,5/21/2013,2013,5,CAP,500
Lost Island Lake,,,6/3/2013,2013,6,BMB,150
Lost Island Lake,,,6/3/2013,2013,6,FWD,300
Lost Island Lake,,,6/3/2013,2013,6,CAP,3000
Tuttle Lake,,,9/14/2013,2013,9,BMB,10
Tuttle Lake,,,9/14/2013,2013,9,FWD,0
Tuttle Lake,,,9/14/2013,2013,9,CAP,2890
Ingham Lake,,,9/15/2013,2013,9,BMB,3850
Ingham Lake,,,9/15/2013,2013,9,FWD,0
Ingham Lake,,,9/15/2013,2013,9,CAP,3500
Tuttle Lake,,,9/16/2013,2013,9,BMB,3350
Tuttle Lake,,,9/16/2013,2013,9,FWD,0
Tuttle Lake,,,9/16/2013,2013,9,CAP,3200
High Lake,,,9/24/2013,2013,9,BMB,20000
High Lake,,,9/24/2013,2013,9,FWD,0
High Lake,,,9/24/2013,2013,9,CAP,0
Silver Lake (Palo Alto),,,9/27/2013,2013,9,BMB,10210
Silver Lake (Palo Alto),,,9/27/2013,2013,9,FWD,0
Silver Lake (Palo Alto),,,9/27/2013,2013,9,CAP,6955
Silver Lake (Palo Alto),,,9/28/2013,2013,9,BMB,3710
Silver Lake (Palo Alto),,,9/28/2013,2013,9,FWD,0
Silver Lake (Palo Alto),,,9/28/2013,2013,9,CAP,2520
little swan lake,,,10/6/2013,2013,10,BMB,1825
little swan lake,,,10/6/2013,2013,10,FWD,0
little swan lake,,,10/6/2013,2013,10,CAP,6085
High Lake,,,10/7/2013,2013,10,BMB,25000
Tuttle Lake,,,10/7/2013,2013,10,BMB,1520
High Lake,,,10/7/2013,2013,10,FWD,0
Tuttle Lake,,,10/7/2013,2013,10,FWD,0
High Lake,,,10/7/2013,2013,10,CAP,150
Tuttle Lake,,,10/7/2013,2013,10,CAP,1215
Silver Lake (Palo Alto),,,10/11/2013,2013,10,BMB,1245
Silver Lake (Palo Alto),,,10/11/2013,2013,10,FWD,0
Silver Lake (Palo Alto),,,10/11/2013,2013,10,CAP,415
Silver Lake (Palo Alto),,,10/12/2013,2013,10,BMB,1180
Silver Lake (Palo Alto),,,10/12/2013,2013,10,FWD,0
Silver Lake (Palo Alto),,,10/12/2013,2013,10,CAP,210
Tuttle Lake,,,10/13/2013,2013,10,BMB,11820
Tuttle Lake,,,10/13/2013,2013,10,FWD,0
Tuttle Lake,,,10/13/2013,2013,10,CAP,1385
High Lake,,,10/14/2013,2013,10,BMB,350
High Lake,,,10/14/2013,2013,10,FWD,0
High Lake,,,10/14/2013,2013,10,CAP,50
High Lake,,,10/15/2013,2013,10,BMB,3950
High Lake,,,10/15/2013,2013,10,FWD,0
High Lake,,,10/15/2013,2013,10,CAP,850
Lost Island Lake,,,10/28/2013,2013,10,BMB,50
Lost Island Lake,,,10/28/2013,2013,10,FWD,0
Lost Island Lake,,,10/28/2013,2013,10,CAP,50
West Swan Lake,,,11/5/2013,2013,11,BMB,14200
West Swan Lake,,,11/5/2013,2013,11,FWD,0
West Swan Lake,,,11/5/2013,2013,11,CAP,3200
Silver Lake (Dickinson),,,4/22/2014,2014,4,BMB,5300
Silver Lake (Dickinson),,,4/22/2014,2014,4,FWD,5200
Silver Lake (Dickinson),,,4/22/2014,2014,4,CAP,12600
Center Lake,,,4/23/2014,2014,4,BMB,4800
Center Lake,,,4/23/2014,2014,4,FWD,900
Center Lake,,,4/23/2014,2014,4,CAP,5900
Center Lake,,,4/24/2014,2014,4,BMB,12400
Center Lake,,,4/24/2014,2014,4,FWD,1100
Center Lake,,,4/24/2014,2014,4,CAP,2800
Silver Lake (Dickinson),,,4/25/2014,2014,4,BMB,1100
Silver Lake (Dickinson),,,4/25/2014,2014,4,FWD,550
Silver Lake (Dickinson),,,4/25/2014,2014,4,CAP,2600
Spirit Lake,,,4/30/2014,2014,4,BMB,2200
Spirit Lake,,,4/30/2014,2014,4,FWD,400
Spirit Lake,,,4/30/2014,2014,4,CAP,3700
East Okoboji Lake,,,5/5/2014,2014,5,BMB,14600
East Okoboji Lake,,,5/5/2014,2014,5,FWD,4500
East Okoboji Lake,,,5/5/2014,2014,5,CAP,12200
Five Island Lake,,,5/6/2014,2014,5,BMB,300
Five Island Lake,,,5/6/2014,2014,5,FWD,0
Five Island Lake,,,5/6/2014,2014,5,CAP,2400
East Okoboji Lake,,,5/8/2014,2014,5,BMB,16200
East Okoboji Lake,,,5/8/2014,2014,5,FWD,18900
East Okoboji Lake,,,5/8/2014,2014,5,CAP,4400
Lost Island Lake,,,5/10/2014,2014,5,BMB,5240
Lost Island Lake,,,5/10/2014,2014,5,FWD,0
Lost Island Lake,,,5/10/2014,2014,5,CAP,12685
East Okoboji Lake,,,5/12/2014,2014,5,BMB,500
East Okoboji Lake,,,5/12/2014,2014,5,FWD,12100
East Okoboji Lake,,,5/12/2014,2014,5,CAP,1300
East Okoboji Lake,,,5/14/2014,2014,5,BMB,28800
East Okoboji Lake,,,5/14/2014,2014,5,FWD,7700
East Okoboji Lake,,,5/14/2014,2014,5,CAP,18100
Lost Island Lake,,,5/19/2014,2014,5,BMB,611
Lost Island Lake,,,5/19/2014,2014,5,FWD,0
Lost Island Lake,,,5/19/2014,2014,5,CAP,4606
Silver Lake (Dickinson),,,5/20/2014,2014,5,BMB,6500
Lost Island Lake,,,5/20/2014,2014,5,BMB,1000
Silver Lake (Dickinson),,,5/20/2014,2014,5,FWD,6600
Lost Island Lake,,,5/20/2014,2014,5,FWD,0
Silver Lake (Dickinson),,,5/20/2014,2014,5,CAP,15300
Lost Island Lake,,,5/20/2014,2014,5,CAP,1260
East Okoboji Lake,,,5/21/2014,2014,5,BMB,24800
East Okoboji Lake,,,5/21/2014,2014,5,FWD,14300
East Okoboji Lake,,,5/21/2014,2014,5,CAP,12200
East Okoboji Lake,,,5/27/2014,2014,5,BMB,2100
East Okoboji Lake,,,5/27/2014,2014,5,FWD,3900
East Okoboji Lake,,,5/27/2014,2014,5,CAP,1200
West Swan Lake,,,9/5/2014,2014,9,BMB,11640
West Swan Lake,,,9/5/2014,2014,9,FWD,0
West Swan Lake,,,9/5/2014,2014,9,CAP,2010
West Swan Lake,,,9/6/2014,2014,9,BMB,9530
West Swan Lake,,,9/6/2014,2014,9,FWD,0
West Swan Lake,,,9/6/2014,2014,9,CAP,800
West Swan Lake,,,9/7/2014,2014,9,BMB,2670
West Swan Lake,,,9/7/2014,2014,9,FWD,0
West Swan Lake,,,9/7/2014,2014,9,CAP,2590
Tuttle Lake,,,9/13/2014,2014,9,BMB,120
Tuttle Lake,,,9/13/2014,2014,9,FWD,0
Tuttle Lake,,,9/13/2014,2014,9,CAP,2205
Tuttle Lake,,,9/14/2014,2014,9,BMB,85
Tuttle Lake,,,9/14/2014,2014,9,FWD,0
Tuttle Lake,,,9/14/2014,2014,9,CAP,4200
Iowa Lake,,,9/15/2014,2014,9,BMB,281
Iowa Lake,,,9/15/2014,2014,9,FWD,0
Iowa Lake,,,9/15/2014,2014,9,CAP,3600
Ingham Lake,,,9/27/2014,2014,9,BMB,37070
