Date,Lake,TAG.NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site.Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On Time (s),Water Temp (C),Secchi (cm),Weather,Year
10/24/2018,Silver,20544,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,21168,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,23813,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,23077,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,19731,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,23821,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,18698,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,21161,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,23850,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,22506,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,20958,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,22413,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,20853,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,21995,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,22428,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,21601,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,19001,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,21981,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,23855,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,20833,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,21648,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,22513,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,24004,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
10/24/2018,Silver,21684,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2018
2/15/2019,5 Island,20818,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,21807,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,21264,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,19541,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,21501,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,18298,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,18130,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,18320,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,19427,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
