Species,Length(mm),Weight(g),Age
BIB,594,2651,9
BIB,624,3462,10
BIB,471,1439,2
BIB,788,2644,15
BIB,627,3440,13
BIB,606,3378,10
BIB,485,1751,3
BIB,596,2811,15
BIB,628,3488,11
BIB,462,2795,4
BIB,772,5918,13
BIB,608,3022,12
BIB,596,3078,12
BIB,559,2386,13
BIB,579,2851,10
BIB,622,3412,9
BIB,542,2094,5
BIB,549,2258,6
BIB,637,3515,11
BIB,600,2895,9
BIB,616,3046,11
BIB,584,2706,13
BIB,684,3412,14
BIB,709,5286,9
COC,627,4409,12
COC,722,4351,12
COC,706,4008,11
COC,650,6109,12
COC,611,6024,14
COC,732,6278,11
COC,660,6445,8
COC,656,4932,15
COC,688,4982,8
COC,619,3802,12
COC,595,3497,7
COC,630,4479,8
COC,654,5198,14
COC,696,4789,12
COC,696,3326,7
COC,661,3619,11
