Date,Lake,Envelope,Species,Length,Weight,Age
5/22/2018,Five Island,1,COC,646,3572,13
5/22/2018,Five Island,2,COC,692,3223,16
5/22/2018,Five Island,3,COC,664,3603,20
5/22/2018,Five Island,4,COC,610,2706,14
5/22/2018,Five Island,5,COC,716,4084,15
5/22/2018,Five Island,6,COC,720,4357,15
5/22/2018,Five Island,7,COC,705,3831,23
5/22/2018,Five Island,8,COC,702,3465,18
5/22/2018,Five Island,9,COC,711,4080,10
5/22/2018,Five Island,10,COC,636,2837,22
5/22/2018,Five Island,11,COC,666,3241,13
5/22/2018,Five Island,12,COC,593,2664,13
5/22/2018,Five Island,13,COC,632,2906,14
5/22/2018,Five Island,14,COC,633,3014,16
5/22/2018,Five Island,15,COC,691,3792,10
5/22/2018,Five Island,16,COC,736,4295,12
5/22/2018,Five Island,17,COC,643,3168,13
5/22/2018,Five Island,18,COC,712,4341,8
5/22/2018,Five Island,19,COC,663,3305,9
5/22/2018,Five Island,20,COC,649,3238,12
5/22/2018,Five Island,21,COC,674,3616,7
5/22/2018,Five Island,22,COC,746,4525,20
5/22/2018,Five Island,23,COC,747,4585,22
5/22/2018,Five Island,24,COC,675,3496,10
5/22/2018,Five Island,25,COC,595,2589,14
5/22/2018,Five Island,26,COC,676,3342,16
5/22/2018,Five Island,27,COC,634,2664,8
5/22/2018,Five Island,28,COC,683,3556,22
5/22/2018,Five Island,29,COC,673,3279,16
5/22/2018,Five Island,30,COC,606,2869,5
5/22/2018,Five Island,31,COC,668,3471,11
5/22/2018,Five Island,32,COC,637,3750,7
5/22/2018,Five Island,33,COC,659,3449,19
5/22/2018,Five Island,34,COC,720,3406,17
5/22/2018,Five Island,35,COC,674,3625,17
5/22/2018,Five Island,36,COC,552,3002,13
5/22/2018,Five Island,37,COC,714,4108,6
5/22/2018,Five Island,38,COC,663,3043,10
5/22/2018,Five Island,39,COC,744,4884,23
5/22/2018,Five Island,40,COC,597,2550,12
5/22/2018,Five Island,41,COC,629,2871,20
5/22/2018,Five Island,42,COC,740,4298,12
5/22/2018,Five Island,43,COC,650,2954,18
5/22/2018,Five Island,44,COC,376,3538,12
5/22/2018,Five Island,45,COC,648,3013,11
5/22/2018,Five Island,46,COC,702,3780,18
5/22/2018,Five Island,47,COC,695,3886,26
5/22/2018,Five Island,48,COC,628,2447,15
5/22/2018,Five Island,49,COC,670,3385,23
5/22/2018,Five Island,50,COC,621,2997,20
5/22/2018,Five Island,51,COC,724,4099,11
5/22/2018,Five Island,52,COC,751,4645,17
5/22/2018,Five Island,53,COC,763,3964,14
5/22/2018,Five Island,54,COC,596,2635,12
5/22/2018,Five Island,55,COC,645,2991,21
5/22/2018,Five Island,56,COC,669,3563,16
5/22/2018,Five Island,57,COC,620,2952,16
5/22/2018,Five Island,58,COC,719,4123,17
5/22/2018,Five Island,59,COC,655,2995,15
5/22/2018,Five Island,60,COC,621,2808,14
5/22/2018,Five Island,61,COC,579,2330,12
5/22/2018,Five Island,62,COC,557,1948,13
5/22/2018,Five Island,63,COC,597,2915,11
5/22/2018,Five Island,64,COC,662,3428,13
5/22/2018,Five Island,65,COC,670,3780,26
5/22/2018,Five Island,66,COC,724,4137,23
5/22/2018,Five Island,67,COC,693,3348,21
5/22/2018,Five Island,68,COC,756,5643,33
5/22/2018,Five Island,69,COC,731,5588,25
5/22/2018,Five Island,70,COC,739,5111,11
5/22/2018,Five Island,71,COC,702,3528,18
5/22/2018,Five Island,72,COC,601,2520,15
5/22/2018,Five Island,73,COC,755,4809,17
5/22/2018,Five Island,74,COC,590,2508,17
5/22/2018,Five Island,75,COC,657,3246,22
5/22/2018,Five Island,76,COC,714,4172,20
5/22/2018,Five Island,77,COC,709,3351,19
5/22/2018,Five Island,78,COC,636,3071,13
5/22/2018,Five Island,79,COC,626,2978,16
5/22/2018,Five Island,80,COC,626,2851,22
5/22/2018,Five Island,81,COC,481,2742,21
5/22/2018,Five Island,82,COC,622,3524,16
5/22/2018,Five Island,83,COC,621,2936,15
5/22/2018,Five Island,84,COC,762,5125,23
5/22/2018,Five Island,85,COC,594,2361,11
5/22/2018,Five Island,86,COC,665,2152,12
5/22/2018,Five Island,87,COC,598,2623,17
5/22/2018,Five Island,88,COC,700,3825,13
5/22/2018,Five Island,89,COC,636,3578,14
5/22/2018,Five Island,90,COC,723,3976,17
5/22/2018,Five Island,91,COC,587,3103,12
5/22/2018,Five Island,92,COC,645,2867,18
5/22/2018,Five Island,93,COC,666,3083,14
5/22/2018,Five Island,94,COC,656,3343,14
5/22/2018,Five Island,95,COC,655,3259,20
5/22/2018,Five Island,96,COC,647,3028,17
5/22/2018,Five Island,97,COC,768,3740,13
5/22/2018,Five Island,98,COC,631,3225,15
5/22/2018,Five Island,99,COC,656,3055,16
5/22/2018,Five Island,100,COC,713,4273,21
5/22/2018,Five Island,101,COC,722,4344,19
5/22/2018,Five Island,102,COC,710,4242,20
5/22/2018,Five Island,103,COC,651,3052,19
5/22/2018,Five Island,104,BIB,591,3287,22
5/22/2018,Five Island,105,BIB,800,8154,26
5/22/2018,Five Island,106,BIB,725,6038,28
5/22/2018,Five Island,107,BIB,719,5341,14
5/22/2018,Five Island,108,BIB,637,4166,30
5/22/2018,Five Island,109,BIB,579,2970,22
5/22/2018,Five Island,110,BIB,600,3393,17
5/22/2018,Five Island,111,BIB,725,5476,13
5/22/2018,Five Island,112,BIB,811,8283,19
5/22/2018,Five Island,113,BIB,658,4424,22
5/22/2018,Five Island,114,BIB,610,3588,21
5/22/2018,Five Island,115,BIB,744,6638,12
5/22/2018,Five Island,116,BIB,731,6027,23
5/22/2018,Five Island,117,BIB,502,1802,16
5/22/2018,Five Island,118,BIB,617,3024,17
5/22/2018,Five Island,119,BIB,594,3112,30
5/22/2018,Five Island,120,BIB,676,4347,31
5/22/2018,Five Island,121,BIB,597,3201,15
5/22/2018,Five Island,122,BIB,781,7077,21
5/22/2018,Five Island,123,BIB,701,4953,12
5/22/2018,Five Island,124,BIB,744,5886,17
5/22/2018,Five Island,125,BIB,718,6162,13
5/22/2018,Five Island,126,BIB,618,3188,16
5/22/2018,Five Island,127,BIB,592,2604,13
5/22/2018,Five Island,128,BIB,703,4926,12
5/22/2018,Five Island,129,BIB,707,5868,16
5/22/2018,Five Island,130,BIB,665,4060,20
5/22/2018,Five Island,131,BIB,651,4108,21
5/22/2018,Five Island,132,BIB,741,5045,13
5/22/2018,Five Island,133,BIB,700,5320,20
5/22/2018,Five Island,134,BIB,451,1321,9
5/22/2018,Five Island,135,BIB,693,5075,13
5/22/2018,Five Island,136,BIB,773,6642,21
5/22/2018,Five Island,137,BIB,694,5742,
5/22/2018,Five Island,138,BIB,631,3518,15
5/22/2018,Five Island,139,BIB,682,4402,17
5/22/2018,Five Island,140,BIB,593,7036,14
5/22/2018,Five Island,141,BIB,595,2857,14
5/22/2018,Five Island,142,BIB,625,3558,11
