Date,Lake,Run,On-Time (s),EnvTag,Species,TL mm,Weight g
5/1/2018,Blue,1,1103,7511,COC,428,
5/1/2018,Blue,1,1103,7864,COC,430,
5/1/2018,Blue,1,1103,10101,COC,380,
5/1/2018,Blue,1,1103,10102,COC,342,
5/1/2018,Blue,1,1103,10103,COC,336,
5/1/2018,Blue,1,1103,10104,COC,340,
5/1/2018,Blue,1,1103,10106,COC,332,
5/1/2018,Blue,1,1103,10107,COC,398,
5/1/2018,Blue,1,1103,10108,COC,462,
5/1/2018,Blue,1,1103,10109,COC,410,
5/1/2018,Blue,1,1103,10110,COC,370,
5/1/2018,Blue,1,1103,10112,COC,362,
5/1/2018,Blue,1,1103,10113,COC,402,
5/1/2018,Blue,1,1103,10114,COC,358,
5/1/2018,Blue,1,1103,10115,COC,400,
5/1/2018,Blue,1,1103,10116,COC,366,
5/1/2018,Blue,1,1103,10117,COC,586,
5/1/2018,Blue,1,1103,10118,COC,352,
5/1/2018,Blue,1,1103,10119,COC,354,
5/1/2018,Blue,1,1103,10120,COC,374,
5/1/2018,Blue,1,1103,10121,COC,400,
5/1/2018,Blue,1,1103,10122,COC,387,
5/1/2018,Blue,1,1103,10123,COC,368,
5/1/2018,Blue,1,1103,10124,COC,392,
5/1/2018,Blue,1,1103,10125,COC,396,
5/1/2018,Blue,1,1103,10126,COC,404,
5/1/2018,Blue,1,1103,10127,COC,398,
5/1/2018,Blue,1,1103,10128,COC,380,
5/1/2018,Blue,1,1103,10129,COC,534,
5/1/2018,Blue,1,1103,10130,COC,400,
5/1/2018,Blue,1,1103,10131,COC,386,
5/1/2018,Blue,1,1103,10132,COC,374,
5/1/2018,Blue,1,1103,10133,COC,392,
5/1/2018,Blue,1,1103,10134,COC,380,
5/1/2018,Blue,1,1103,10135,COC,398,
5/1/2018,Blue,1,1103,10136,COC,364,
5/1/2018,Blue,1,1103,10137,COC,376,
5/1/2018,Blue,1,1103,10138,COC,368,
5/1/2018,Blue,1,1103,10139,COC,378,
5/1/2018,Blue,1,1103,10140,COC,344,
5/1/2018,Blue,1,1103,10141,COC,360,
5/1/2018,Blue,1,1103,10142,COC,362,
5/1/2018,Blue,1,1103,10143,COC,336,
5/1/2018,Blue,1,1103,10144,COC,360,
5/1/2018,Blue,1,1103,10145,COC,470,
5/1/2018,Blue,1,1103,10146,COC,668,
5/1/2018,Blue,1,1103,10147,COC,482,
5/1/2018,Blue,1,1103,10148,COC,366,
5/1/2018,Blue,1,1103,10149,COC,416,
5/1/2018,Blue,1,1103,10150,COC,380,
5/1/2018,Blue,1,1103,10151,COC,352,
5/1/2018,Blue,1,1103,10152,COC,382,
5/1/2018,Blue,1,1103,10153,COC,410,
5/1/2018,Blue,1,1103,10154,COC,360,
5/1/2018,Blue,1,1103,10155,COC,356,
5/1/2018,Blue,1,1103,10156,COC,330,
5/1/2018,Blue,1,1103,10157,COC,350,
5/1/2018,Blue,1,1103,10158,COC,362,
5/1/2018,Blue,1,1103,10159,COC,396,
5/1/2018,Blue,1,1103,10160,COC,390,
5/1/2018,Blue,1,1103,10161,COC,364,
5/1/2018,Blue,1,1103,10162,COC,408,
5/1/2018,Blue,1,1103,10163,COC,416,
5/1/2018,Blue,1,1103,10164,COC,458,
5/1/2018,Blue,1,1103,10165,COC,346,
5/1/2018,Blue,1,1103,10166,COC,362,
5/1/2018,Blue,1,1103,10167,COC,370,
5/1/2018,Blue,1,1103,10168,COC,380,
5/1/2018,Blue,1,1103,10169,COC,422,
5/1/2018,Blue,1,1103,10170,COC,394,
5/1/2018,Blue,1,1103,10171,COC,488,
5/1/2018,Blue,1,1103,10172,COC,364,
5/1/2018,Blue,1,1103,10173,COC,364,
5/1/2018,Blue,1,1103,10174,COC,364,
5/1/2018,Blue,1,1103,10175,COC,384,
5/1/2018,Blue,1,1103,10176,COC,366,
5/1/2018,Blue,1,1103,10177,COC,370,
5/1/2018,Blue,1,1103,10178,COC,460,
5/1/2018,Blue,1,1103,10179,COC,384,
5/1/2018,Blue,1,1103,10180,COC,380,
5/1/2018,Blue,1,1103,10181,COC,386,
5/1/2018,Blue,1,1103,10182,COC,380,
