Lake,Year,Species,PopEst,Lower,Upper
Center,2017,Common Carp,8675,6769,11578
Center,2018,Common Carp,6298,2865,9731
N. Twin,2017,Common Carp,2057,1231,3898
N. Twin,2018,Common Carp,3816,1942,5690
S. Twin,2017,Common Carp,23204,12227,41883
S. Twin,2018,Common Carp,20661,13001,28320
Center,2017,Bigmouth Buffalo,12999,11243,15463
Center,2018,Bigmouth Buffalo,3997,1216,6778
N. Twin,2017,Bigmouth Buffalo,12963,7276,23038
N. Twin,2018,Bigmouth Buffalo,18776,8542,29009
S. Twin,2017,Bigmouth Buffalo,6895,5535,8748
S. Twin,2018,Bigmouth Buffalo,34277,18839,49715
