Date,Lake,TAG.NUMBER,Length..mm.,Weight..g.,Otolith Weight (mg),Otolith Diameter (mm),Marcus_Dorsal,Drake_Dorsal,Marty_Dorsal,Marcus_Pectoral,Drake_Pectoral,Marty_Pectoral,Marcus_SectOto,Drake_SectOto,Marty_SectOto
5/22/2018,5 Island,Env105,800,8154,51,6.3,13,13,13,13,13,14,12,13,11
5/22/2018,5 Island,Env106,725,6038,40,5.25,16,13,12,17,13,14,17,12,10
5/22/2018,5 Island,Env112,811,8283,,,13,8,6,12,8,7,10,9,8
5/22/2018,5 Island,Env117,502,1802,32,5.2,9,8,8,10,8,7,13,8,10
5/22/2018,5 Island,Env119,594,3112,38,5.7,10,8,10,11,9,10,13,9,8
5/22/2018,5 Island,Env131,651,4108,44,5.43,11,13,7,11,3,10,13,12,7
5/22/2018,5 Island,Env132,741,5045,58,6.54,5,8,7,15,11,10,4,6,4
5/22/2018,5 Island,Env135,693,5075,,,12,7,7,13,13,13,12,9,8
5/22/2018,5 Island,Env137,694,5742,40,5.17,8,7,8,15,10,6,14,10,13
5/22/2018,5 Island,Env146,756,6414,47,5.72,15,10,9,12,8,9,14,10,9
5/22/2018,5 Island,Env149,747,5720,48,5.17,11,9,8,14,13,12,16,16,14
5/22/2018,5 Island,Env156,695,4765,37,5.66,16,14,7,15,14,14,14,5,4
5/22/2018,5 Island,Env157,633,3723,,,13,7,7,13,10,11,16,12,10
5/30/2018,5 Island,Env161,448,432,52,5.73,12,13,4,14,9,12,14,13,10
5/30/2018,5 Island,Env164,577,2953,30,5.14,9,9,5,9,7,9,10,5,5
5/30/2018,5 Island,Env167,624,3462,43,5.28,11,10,9,15,11,12,15,12,6
5/30/2018,5 Island,Env168,471,1439,15,4.41,3,5,2,3,2,3,6,4,5
5/30/2018,5 Island,Env169,788,2644,39,5.75,10,9,7,16,15,15,5,5,3
5/30/2018,5 Island,Env172,485,1751,17,3.98,3,3,2,3,2,2,4,3,4
5/30/2018,5 Island,Env176,772,5918,43,5.81,12,8,4,15,11,14,,8,6
5/30/2018,5 Island,Env182,542,2094,24,4.55,6,10,4,7,6,5,9,9,8
5/30/2018,5 Island,Env183,549,2258,18,4.63,6,7,5,7,5,6,6,5,6
5/30/2018,5 Island,Env189,709,5286,39,5.35,12,10,8,13,12,12,12,7,12
6/6/2018,5 Island,Env235,614,3490,37,5.37,15,11,9,12,10,10,10,5,9
6/6/2018,5 Island,Env236,635,3302,42,5.54,12,11,5,13,14,13,12,8,8
6/6/2018,5 Island,Env244,752,6080,59,5.89,16,12,7,12,10,11,16,15,18
6/6/2018,5 Island,Env246,463,1607,16,4.05,4,4,2,,2,,4,2,3
6/6/2018,5 Island,Env247,575,2774,55,5.6,10,8,4,14,12,8,14,10,12
6/6/2018,5 Island,Env249,462,1574,15,3.93,3,3,3,3,3,3,3,6,4
6/6/2018,5 Island,Env250,384,962,,,4,2,2,,,,,,
6/6/2018,5 Island,Env254,428,1293,14,4.37,,,,3,3,3,3,3,2
6/6/2018,5 Island,Env256,435,1480,14,4.42,3,3,3,3,2,3,5,4,3
6/6/2018,5 Island,Env259,442,1550,12,3.94,3,5,3,3,3,3,5,5,5
6/6/2018,5 Island,Env265,392,1117,12,3.76,2,2,2,,,,3,8,4
6/6/2018,5 Island,Env268,585,3738,39,4.93,11,10,4,12,12,10,10,8,7
6/5/2018,Center,Env101,543,2239,28,4.93,8,3,3,8,5,5,9,9,6
6/5/2018,Center,Env11,527,2261,38,5.26,5,5,4,5,5,5,7,5,7
6/5/2018,Center,Env113,440,1359,18,4.75,5,3,3,4,4,3,5,4,4
6/5/2018,Center,Env131,515,2283,24,4.6,7,6,4,7,5,5,4,4,3
6/5/2018,Center,Env19,436,1917,26,4.8,7,7,4,7,6,6,5,8,7
6/5/2018,Center,Env23,503,687,26,5.32,6,6,3,,,,5,3,4
6/5/2018,Center,Env3,482,1741,28,4.98,3,3,4,4,4,4,5,3,5
6/5/2018,Center,Env36,599,3444,50,5.6,11,9,5,11,12,10,4,6,4
6/5/2018,Center,Env39,577,3116,34,4.78,6,6,5,7,5,5,6,5,5
6/5/2018,Center,Env44,478,1926,26,4.89,4,4,3,5,5,4,5,4,4
6/5/2018,Center,Env45,478,2116,25,5.02,,,,5,4,4,4,3,6
