Lake,TAG.NUMBER,Structure,Reader,AgeEst
5 Island,Env105,Dorsal,Marcus,13
5 Island,Env106,Dorsal,Marcus,16
5 Island,Env112,Dorsal,Marcus,13
5 Island,Env117,Dorsal,Marcus,9
5 Island,Env119,Dorsal,Marcus,10
5 Island,Env131,Dorsal,Marcus,11
5 Island,Env132,Dorsal,Marcus,5
5 Island,Env135,Dorsal,Marcus,12
5 Island,Env137,Dorsal,Marcus,8
5 Island,Env146,Dorsal,Marcus,15
5 Island,Env149,Dorsal,Marcus,11
5 Island,Env156,Dorsal,Marcus,16
5 Island,Env157,Dorsal,Marcus,13
5 Island,Env161,Dorsal,Marcus,12
5 Island,Env164,Dorsal,Marcus,9
5 Island,Env167,Dorsal,Marcus,11
5 Island,Env168,Dorsal,Marcus,3
5 Island,Env169,Dorsal,Marcus,10
5 Island,Env172,Dorsal,Marcus,3
5 Island,Env176,Dorsal,Marcus,12
5 Island,Env182,Dorsal,Marcus,6
5 Island,Env183,Dorsal,Marcus,6
5 Island,Env189,Dorsal,Marcus,12
5 Island,Env235,Dorsal,Marcus,15
5 Island,Env236,Dorsal,Marcus,12
5 Island,Env244,Dorsal,Marcus,16
5 Island,Env246,Dorsal,Marcus,4
5 Island,Env247,Dorsal,Marcus,10
5 Island,Env249,Dorsal,Marcus,3
5 Island,Env250,Dorsal,Marcus,4
5 Island,Env254,Dorsal,Marcus,
5 Island,Env256,Dorsal,Marcus,3
5 Island,Env259,Dorsal,Marcus,3
5 Island,Env265,Dorsal,Marcus,2
5 Island,Env268,Dorsal,Marcus,11
Center,Env101,Dorsal,Marcus,8
Center,Env11,Dorsal,Marcus,5
Center,Env113,Dorsal,Marcus,5
Center,Env131,Dorsal,Marcus,7
Center,Env19,Dorsal,Marcus,7
Center,Env23,Dorsal,Marcus,6
Center,Env3,Dorsal,Marcus,3
Center,Env36,Dorsal,Marcus,11
Center,Env39,Dorsal,Marcus,6
Center,Env44,Dorsal,Marcus,4
Center,Env45,Dorsal,Marcus,
Center,Env5,Dorsal,Marcus,10
Center,Env51,Dorsal,Marcus,
Center,Env52,Dorsal,Marcus,7
Center,Env58,Dorsal,Marcus,14
Center,Env59,Dorsal,Marcus,5
Center,Env61,Dorsal,Marcus,6
Center,Env62,Dorsal,Marcus,12
Center,Env63,Dorsal,Marcus,10
Center,Env64,Dorsal,Marcus,7
Center,Env66,Dorsal,Marcus,4
Center,Env71,Dorsal,Marcus,9
Center,Env72,Dorsal,Marcus,10
Center,Env73,Dorsal,Marcus,8
Center,Env74,Dorsal,Marcus,13
Center,Env75,Dorsal,Marcus,10
Center,Env79,Dorsal,Marcus,7
Center,Env8,Dorsal,Marcus,5
Center,Env83,Dorsal,Marcus,9
Center,Env89,Dorsal,Marcus,12
Silver,Env100,Dorsal,Marcus,6
Silver,Env101,Dorsal,Marcus,4
Silver,Env107,Dorsal,Marcus,6
Silver,Env121,Dorsal,Marcus,7
Silver,Env123,Dorsal,Marcus,14
Silver,Env13,Dorsal,Marcus,6
Silver,Env137,Dorsal,Marcus,4
Silver,Env14,Dorsal,Marcus,15
Silver,Env140,Dorsal,Marcus,12
Silver,Env141,Dorsal,Marcus,4
Silver,Env142,Dorsal,Marcus,9
Silver,Env15,Dorsal,Marcus,9
Silver,Env18,Dorsal,Marcus,2
Silver,Env19,Dorsal,Marcus,5
Silver,Env2,Dorsal,Marcus,10
Silver,Env25,Dorsal,Marcus,13
Silver,Env27,Dorsal,Marcus,4
Silver,Env28,Dorsal,Marcus,10
Silver,Env29,Dorsal,Marcus,12
Silver,Env3,Dorsal,Marcus,12
Silver,Env30,Dorsal,Marcus,4
Silver,Env47,Dorsal,Marcus,2
Silver,Env48,Dorsal,Marcus,3
Silver,Env49,Dorsal,Marcus,4
Silver,Env53,Dorsal,Marcus,11
Silver,Env55,Dorsal,Marcus,4
Silver,Env6,Dorsal,Marcus,4
Silver,Env60,Dorsal,Marcus,
Silver,Env61,Dorsal,Marcus,11
Silver,Env63,Dorsal,Marcus,4
Silver,Env66,Dorsal,Marcus,13
Silver,Env67,Dorsal,Marcus,5
Silver,Env82,Dorsal,Marcus,4
Silver,Env84,Dorsal,Marcus,4
Silver,Env87,Dorsal,Marcus,5
Silver,Env89,Dorsal,Marcus,7
Silver,Env93,Dorsal,Marcus,4
Silver,Env94,Dorsal,Marcus,10
Silver,Env97,Dorsal,Marcus,14
Silver,Env99,Dorsal,Marcus,10
5 Island,Env105,Dorsal,Drake,13
