Lake,TAG.NUMBER,Structure,Reader,AgeEst,MeanAge
5 Island,Env105,Dorsal,Marcus,13,13
5 Island,Env106,Dorsal,Marcus,16,13.66666667
5 Island,Env112,Dorsal,Marcus,13,9
5 Island,Env117,Dorsal,Marcus,9,8.333333333
5 Island,Env119,Dorsal,Marcus,10,9.333333333
5 Island,Env131,Dorsal,Marcus,11,10.33333333
5 Island,Env132,Dorsal,Marcus,5,6.666666667
5 Island,Env135,Dorsal,Marcus,12,8.666666667
5 Island,Env137,Dorsal,Marcus,8,7.666666667
5 Island,Env146,Dorsal,Marcus,15,11.33333333
5 Island,Env149,Dorsal,Marcus,11,9.333333333
5 Island,Env156,Dorsal,Marcus,16,12.33333333
5 Island,Env157,Dorsal,Marcus,13,9
5 Island,Env161,Dorsal,Marcus,12,9.666666667
5 Island,Env164,Dorsal,Marcus,9,7.666666667
5 Island,Env167,Dorsal,Marcus,11,10
5 Island,Env168,Dorsal,Marcus,3,3.333333333
5 Island,Env169,Dorsal,Marcus,10,8.666666667
5 Island,Env172,Dorsal,Marcus,3,2.666666667
5 Island,Env176,Dorsal,Marcus,12,8
5 Island,Env182,Dorsal,Marcus,6,6.666666667
5 Island,Env183,Dorsal,Marcus,6,6
5 Island,Env189,Dorsal,Marcus,12,10
5 Island,Env235,Dorsal,Marcus,15,11.66666667
5 Island,Env236,Dorsal,Marcus,12,9.333333333
5 Island,Env244,Dorsal,Marcus,16,11.66666667
5 Island,Env246,Dorsal,Marcus,4,3.333333333
5 Island,Env247,Dorsal,Marcus,10,7.333333333
5 Island,Env249,Dorsal,Marcus,3,3
5 Island,Env250,Dorsal,Marcus,4,2.666666667
5 Island,Env254,Dorsal,Marcus,,NA
5 Island,Env256,Dorsal,Marcus,3,3
5 Island,Env259,Dorsal,Marcus,3,3.666666667
5 Island,Env265,Dorsal,Marcus,2,2
5 Island,Env268,Dorsal,Marcus,11,8.333333333
Center,Env101,Dorsal,Marcus,8,4.666666667
Center,Env11,Dorsal,Marcus,5,4.666666667
Center,Env113,Dorsal,Marcus,5,3.666666667
Center,Env131,Dorsal,Marcus,7,5.666666667
Center,Env19,Dorsal,Marcus,7,6
Center,Env23,Dorsal,Marcus,6,5
Center,Env3,Dorsal,Marcus,3,3.333333333
Center,Env36,Dorsal,Marcus,11,8.333333333
Center,Env39,Dorsal,Marcus,6,5.666666667
Center,Env44,Dorsal,Marcus,4,3.666666667
Center,Env45,Dorsal,Marcus,,NA
Center,Env5,Dorsal,Marcus,10,8.333333333
Center,Env51,Dorsal,Marcus,,NA
Center,Env52,Dorsal,Marcus,7,8.666666667
Center,Env58,Dorsal,Marcus,14,9
Center,Env59,Dorsal,Marcus,5,4.666666667
Center,Env61,Dorsal,Marcus,6,5
Center,Env62,Dorsal,Marcus,12,9.666666667
Center,Env63,Dorsal,Marcus,10,8
Center,Env64,Dorsal,Marcus,7,6
Center,Env66,Dorsal,Marcus,4,3.666666667
Center,Env71,Dorsal,Marcus,9,9
Center,Env72,Dorsal,Marcus,10,9.333333333
Center,Env73,Dorsal,Marcus,8,7.333333333
Center,Env74,Dorsal,Marcus,13,12.33333333
Center,Env75,Dorsal,Marcus,10,6.666666667
Center,Env79,Dorsal,Marcus,7,6.666666667
Center,Env8,Dorsal,Marcus,5,4
Center,Env83,Dorsal,Marcus,9,7
Center,Env89,Dorsal,Marcus,12,9.333333333
Silver,Env100,Dorsal,Marcus,6,5
Silver,Env101,Dorsal,Marcus,4,3
Silver,Env107,Dorsal,Marcus,6,5
Silver,Env121,Dorsal,Marcus,7,6.666666667
Silver,Env123,Dorsal,Marcus,14,10.66666667
