Date,Lake,TAG.NUMBER,Species,Length..mm.,Weight..g.,Notes,Year,Group,Otolith Weight,Otolith Diameter,D.spine.age,P.spine.age,Sect.Otolith.Age,Sand.Otolith.Age
5/22/2018,5 Island,Env105,BIB,800,8154,Aging Fish,2018,K,,,,,,
5/22/2018,5 Island,Env106,BIB,725,6038,Aging Fish,2018,I,,,,,,
5/22/2018,5 Island,Env112,BIB,811,8283,Aging Fish,2018,K,,,,,,
5/22/2018,5 Island,Env117,BIB,502,1802,Aging Fish,2018,E,,,,,,
5/22/2018,5 Island,Env119,BIB,594,3112,Aging Fish,2018,F,,,,,,
5/22/2018,5 Island,Env131,BIB,651,4108,Aging Fish,2018,H,,,,,,
5/22/2018,5 Island,Env132,BIB,741,5045,Aging Fish,2018,I,,,,,,
5/22/2018,5 Island,Env135,BIB,693,5075,Aging Fish,2018,H,,,,,,
5/22/2018,5 Island,Env137,BIB,694,5742,Aging Fish,2018,H,,,,,,
5/22/2018,5 Island,Env146,BIB,756,6414,Aging Fish,2018,J,,,,,,
5/22/2018,5 Island,Env149,BIB,747,5720,Aging Fish,2018,I,,,,,,
5/22/2018,5 Island,Env156,BIB,695,4765,Aging Fish,2018,H,,,,,,
5/22/2018,5 Island,Env157,BIB,633,3723,Aging Fish,2018,G,,,,,,
5/30/2018,5 Island,Env161,BIB,448,432,Aging Fish,2018,C,,,,,,
5/30/2018,5 Island,Env164,BIB,577,2953,Aging Fish,2018,F,,,,,,
5/30/2018,5 Island,Env167,BIB,624,3462,Aging Fish,2018,G,,,,,,
5/30/2018,5 Island,Env168,BIB,471,1439,Aging Fish,2018,D,,,,,,
5/30/2018,5 Island,Env169,BIB,788,2644,Aging Fish,2018,J,,,,,,
5/30/2018,5 Island,Env172,BIB,485,1751,Aging Fish,2018,D,,,,,,
5/30/2018,5 Island,Env176,BIB,772,5918,Aging Fish,2018,J,,,,,,
5/30/2018,5 Island,Env182,BIB,542,2094,Aging Fish,2018,E,,,,,,
5/30/2018,5 Island,Env183,BIB,549,2258,Aging Fish,2018,E,,,,,,
5/30/2018,5 Island,Env189,BIB,709,5286,Aging Fish,2018,I,,,,,,
6/6/2018,5 Island,Env235,BIB,614,3490,Aging Fish,2018,G,,,,,,
6/6/2018,5 Island,Env236,BIB,635,3302,Aging Fish,2018,G,,,,,,
6/6/2018,5 Island,Env244,BIB,752,6080,Aging Fish,2018,J,,,,,,
6/6/2018,5 Island,Env246,BIB,463,1607,Aging Fish,2018,D,,,,,,
6/6/2018,5 Island,Env247,BIB,575,2774,Aging Fish,2018,F,,,,,,
6/6/2018,5 Island,Env249,BIB,462,1574,Aging Fish,2018,D,,,,,,
6/6/2018,5 Island,Env250,BIB,384,962,Aging Fish,2018,B,,,,,,
6/6/2018,5 Island,Env254,BIB,428,1293,Aging Fish,2018,C,,,,,,
6/6/2018,5 Island,Env256,BIB,435,1480,Aging Fish,2018,C,,,,,,
6/6/2018,5 Island,Env259,BIB,442,1550,Aging Fish,2018,C,,,,,,
6/6/2018,5 Island,Env265,BIB,392,1117,Aging Fish,2018,B,,,,,,
6/6/2018,5 Island,Env268,BIB,585,3738,Aging Fish,2018,F,,,,,,
6/5/2018,Center,Env101,BIB,543,2239,Aging Fish,2018,E,,,,,,
6/5/2018,Center,Env11,BIB,527,2261,Aging Fish,2018,E,,,,,,
6/5/2018,Center,Env113,BIB,440,1359,Aging Fish,2018,C,,,,,,
6/5/2018,Center,Env131,BIB,515,2283,Aging Fish,2018,E,,,,,,
6/5/2018,Center,Env19,BIB,436,1917,Aging Fish,2018,C,,,,,,
6/5/2018,Center,Env23,BIB,503,687,Aging Fish,2018,E,,,,,,
6/5/2018,Center,Env3,BIB,482,1741,Aging Fish,2018,D,,,,,,
6/5/2018,Center,Env36,BIB,599,3444,Aging Fish,2018,F,,,,,,
6/5/2018,Center,Env39,BIB,577,3116,Aging Fish,2018,F,,,,,,
6/5/2018,Center,Env44,BIB,478,1926,Aging Fish,2018,D,,,,,,
6/5/2018,Center,Env45,BIB,478,2116,Aging Fish,2018,D,,,,,,
6/5/2018,Center,Env5,BIB,653,4075,Aging Fish,2018,H,,,,,,
6/5/2018,Center,Env51,BIB,462,1783,Aging Fish,2018,D,,,,,,
