"","Date","Lake","TAG.NUMBER","Species","Length..mm.","Weight..g.","Fin.Clipped","Notes","Year"
"106","5/1/2018","N. Twin","1623","BIB",447,1451,"R Pectoral","Spine Taken 76",2018
"107","5/1/2018","N. Twin","1677","BIB",437,1202,"R Pectoral","Spine Taken 47",2018
"117","5/1/2018","N. Twin","6374","BIB",699,4513,"R Pectoral","Spine Taken 28",2018
"234","5/1/2018","N. Twin","14201","COC",681,4581,"R Pectoral","Spine Taken 109",2018
"407","5/1/2018","N. Twin","14801","BIB",765,6418,"R Pectoral","Spine Taken 63",2018
"408","5/1/2018","N. Twin","14802","BIB",620,3969,"R Pectoral","Spine Taken 64",2018
"409","5/1/2018","N. Twin","14804","BIB",737,6055,"R Pectoral","Spine Taken 62",2018
"410","5/1/2018","N. Twin","14805","BIB",808,6940,"R Pectoral","Spine Taken 61",2018
"411","5/1/2018","N. Twin","14806","BIB",498,1769,"R Pectoral","Spine Taken 60",2018
"412","5/1/2018","N. Twin","14807","BIB",726,5874,"R Pectoral","Spine Taken 59",2018
"413","5/1/2018","N. Twin","14808","BIB",630,3629,"R Pectoral","Spine Taken 58",2018
"414","5/1/2018","N. Twin","14809","BIB",775,6940,"R Pectoral","Spine Taken 57",2018
"415","5/1/2018","N. Twin","14811","BIB",457,1474,"R Pectoral","Spine Taken 56",2018
"416","5/1/2018","N. Twin","14812","BIB",732,5806,"R Pectoral","Spine Taken 55",2018
"417","5/1/2018","N. Twin","14813","BIB",709,5420,"R Pectoral","Spine Taken 54",2018
"418","5/1/2018","N. Twin","14815","BIB",638,3470,"R Pectoral","Spine Taken 53",2018
"419","5/1/2018","N. Twin","14816","BIB",678,4695,"R Pectoral","Spine Taken 52",2018
"420","5/1/2018","N. Twin","14818","BIB",729,5579,"R Pectoral","Spine Taken 51",2018
"421","5/1/2018","N. Twin","14819","BIB",770,7099,"R Pectoral","Spine Taken 50",2018
"422","5/1/2018","N. Twin","14820","BIB",732,6078,"R Pectoral","Spine Taken 49",2018
"423","5/1/2018","N. Twin","14821","BIB",772,7008,"R Pectoral","Spine Taken 48",2018
"424","5/1/2018","N. Twin","14822","BIB",749,NA,"R Pectoral","Spine Taken 46",2018
"425","5/1/2018","N. Twin","14823","BIB",782,6804,"R Pectoral","Spine Taken 45",2018
"449","5/1/2018","N. Twin","14851","BIB",732,5534,"R Pectoral","Spine Taken 65",2018
"450","5/1/2018","N. Twin","14852","BIB",655,4423,"R Pectoral","Spine Taken 66",2018
