"Date","Species","CPUE","Water.Temp..C.","AirTemp","Wind"
2018-05-15,"BIB",6,16.4,22.2,7
2018-05-18,"BIB",5,NA,26.7,6
2018-06-04,"BIB",7,23.9,27.2,17
2018-06-06,"BIB",14,23.3,27.2,3
2018-07-03,"BIB",1,25.6,29.4,9
2018-07-09,"BIB",2,NA,31.1,8
2018-07-16,"BIB",3.8818201423334,27.6,26.1,5
2018-07-31,"BIB",10.1408450704225,26.9,25.6,5
2018-08-01,"BIB",2,25.6,27.2,14
2018-08-06,"BIB",4,24.4,25,5
2018-08-08,"BIB",8.15217391304348,26.1,27.8,8
2018-08-27,"BIB",13.8781804163454,23.3,30,17
2018-09-05,"BIB",12,23.3,22.8,8
2018-09-06,"BIB",11,22.2,22.8,7
2018-10-10,"BIB",60,12.8,8.9,18
2018-10-12,"BIB",32,10.6,5,7
2018-11-01,"BIB",9.93560257589696,9.1,12.8,3
