"Date","Species","CPUE","Water.Temp..C.","AirTemp","Wind"
2018-05-15,"COC",15,16.4,22.2,7
2018-05-18,"COC",27,NA,26.7,6
2018-06-04,"COC",22,23.9,27.2,17
2018-06-06,"COC",34,23.3,27.2,3
2018-07-03,"COC",26,25.6,29.4,9
2018-07-09,"COC",7,NA,31.1,8
2018-07-16,"COC",7.08816451542332,27.6,26.1,5
2018-07-31,"COC",4.22535211267606,26.9,25.6,5
2018-08-01,"COC",16,25.6,27.2,14
2018-08-06,"COC",19,24.4,25,5
2018-08-08,"COC",13.5869565217391,26.1,27.8,8
2018-08-27,"COC",15.7286044718581,23.3,30,17
2018-09-05,"COC",32,23.3,22.8,8
2018-09-06,"COC",17,22.2,22.8,7
2018-10-10,"COC",3,12.8,8.9,18
2018-10-12,"COC",6,10.6,5,7
2018-11-01,"COC",5.20436325404126,9.1,12.8,3
