Env,open,seed,sdl,juv,pre,sm,med,lg, vlg
1,0,0,0,0,0,0.9,2.3,2.6,3
1,0,0.1,0,0,0,0,0,0,0
1,0,0,0.7,0.9,0.17,0,0,0,0
1,0,0,0,0.01,0.56,0,0,0,0
1,0,0,0,0,0.15,0.91,0,0,0
1,0,0,0,0,0,0.04,0.9,0.03,0
1,0,0,0,0,0,0,0.02,0.86,0.01
1,0,0,0,0,0,0,0,0.02,0.9
2,25,0,0.07,5,65.3,189.1,330.7,679.7,1142.8
2,25,0.1,0,0,0,0,0,0,0
2,25,0,0.7,0.66,0.04,0,0,0,0
2,25,0,0,0.15,0.5,0,0,0,0
2,25,0,0,0,0.33,0.4,0,0,0
2,25,0,0,0,0.01,0.32,0.73,0.17,0
2,25,0,0,0,0,0.03,0.1,0.5,0.17
2,25,0,0,0,0,0,0.03,0.21,0.7
3,45,0,0.7,1.3,62.1,306.9,579.7,890.6,1843
3,45,0.1,0,0,0,0,0,0,0
3,45,0,0.7,0.43,0,0,0,0,0
3,45,0,0,0.22,0.55,0,0,0,0
3,45,0,0,0,0.27,0.43,0,0.1,0
3,45,0,0,0,0.05,0.45,0.64,0.15,0
3,45,0,0,0,0,0.06,0.31,0.5,0.125
3,45,0,0,0,0,0,0.03,0.2,0.75
4,65,0,0,11.4,110,790.7,1450.6,3216.2,4066.9
4,65,0.1,0,0,0,0,0,0,0
4,65,0,0.7,0.57,0.15,0.01,0,0,0
4,65,0,0,0.12,0.4,0.11,0,0,0
4,65,0,0,0.01,0.35,0.1,0.1,0,0
4,65,0,0,0,0,0.5,0.48,0,0
4,65,0,0,0,0,0.13,0.29,0.3,0
4,65,0,0,0,0,0.03,0.1,0.65,0.89
