ch  X
11100 3.8
00001 2.03
10011 1.75
01111 4.42
10100 3.36
01111 5.55
11100 2.44
11110 4.89
11011 4.35
01101 3.94
10001 3.07
11111 5.06
01000 0.9
11111 4.7
11101 2.92
00001 2.34
00100 1.42
11111 4.84
10000 1.96
10110 3.41
11110 5.07
11011 3.93
00011 0.67
11011 3.37
11100 4.13
10000 0.93
11111 5.03
11111 4.32
11111 4.2
11111 5.51
10000 0.75
00001 2.32
00010 1.32
10001 2.89
11100 3.22
11111 5.49
00101 0.56
11100 1.23
11111 5.78
11011 4.31
10000 2.2
10101 3.63
01111 5.26
10010 1.42
11111 5.24
11111 3.97
01110 3.29
11111 5.21
11101 3.87
01000 0.51
00100 0.75
10001 2.36
00011 3.4
01100 4.1
11111 5.62
01010 2.39
10001 3.56
10111 4.06
11111 3.5
11011 5.04
01011 4
01111 5.25
01111 2.8
10000 3.16
11111 4.48
10000 1.99
00001 2.29
00100 1.73
11011 5.89
11101 4.29
11111 3.83
00001 2.43
11011 5.18
11111 3.47
01000 3.14
11111 4.3
01000 1.41
11111 5.72
01000 0.07
01010 2.73
11110 3.91
01111 4.3
11111 4.55
11111 5.79
00010 1.47
11111 5.35
10111 4.72
11111 5.24
01001 2.53
00101 0.47
00100 1.39
11111 5.63
01010 1.61
11101 5.02
00100 1.68
00001 1.17
11011 4.33
