"blcf","carp","ersn","fwdm","gdey","gzsd","rvcs","sngr","bmbf","lngr","bhcp","snsg","wtbs","cncf","busk","fhcf","rdsn","smbf","hbns","snsn","blgl","mqtf","skcb","rvsn","gnsf","svcb","gscp","lmbs","wtcp","bhmw"
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0
0,0,10,14,0,0,33,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,133,2,0,0,128,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,0,2,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,14,13,0,0,40,0,0,0,0,0,0,1,0,0,23,2,1,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,1,3,0,0,0,0,0,0,14,0,0,25,0,0,1,0,0,2,0,0,0,0,0,0,0
0,0,9,2,0,0,141,0,0,0,0,0,1,0,0,0,11,7,76,4,0,0,0,0,0,1,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,5,0,1,0,0,0,0
0,6,0,0,0,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,4,0,0,4,4,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,48,0,53,3,0,0,0,2,0,2,0,0,0,5,1,0,0,0,0,0,2,3,0,0,0,10,0
0,0,7,13,0,7,5,0,0,1,20,0,0,1,0,0,6,0,3,0,0,0,0,0,0,9,1,0,2,0
0,0,4,3,0,5,1,1,0,0,0,0,0,3,0,0,43,0,0,0,1,0,0,0,1,6,0,0,1,3
0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,4,0,11,5,2,0,0,0,0,1,0,0,0,79,0,0,2,0,0,0,0,0,2,0,1,0,1
0,0,14,3,0,1,14,0,0,0,0,0,0,4,0,0,84,0,5,2,0,0,0,0,1,9,0,0,0,6
0,0,2,0,0,3,0,0,0,0,0,0,0,3,0,0,28,0,11,0,0,0,0,0,0,2,0,0,0,7
1,1,0,2,1,8,3,0,0,1,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,18,0,27,0,0,0,0,1,0,1,0,0,0,18,1,0,2,3,0,0,2,5,0,0,0,1,0
0,0,3,32,1,2,0,0,0,0,17,0,0,4,0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0
0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,27,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0
0,0,22,2,0,29,0,0,0,0,0,0,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
