"site","habitat","gear"
"C","chute","FN"
"C","chute","FN"
"C","chute","LH"
"C","chute","LH"
"C","chute","SH"
"C","chute","SH"
"C","chute","SN"
"C","main","EF"
"C","main","FN"
"C","main","FN"
"C","main","LH"
"C","main","LH"
"C","main","SH"
"C","main","SH"
"C","main","SN"
"C","main","SN"
"C","main","SN"
"L","chute","EF"
"L","chute","EF"
"L","chute","FN"
"L","chute","FN"
"L","chute","FN"
"L","chute","LH"
"L","chute","LH"
"L","chute","SH"
"L","chute","SH"
"L","chute","SN"
"L","chute","SN"
"L","chute","SN"
"L","main","EF"
"L","main","FN"
"L","main","FN"
"L","main","LH"
"L","main","LH"
"L","main","SH"
"L","main","SH"
"L","main","SN"
"L","main","SN"
"L","main","SN"
"O","chute","EF"
"O","chute","LH"
"O","chute","SH"
"O","chute","SN"
"O","main","EF"
"O","main","EF"
"O","main","FN"
"O","main","FN"
"O","main","LH"
"O","main","LH"
"O","main","LH"
"O","main","SH"
"O","main","SH"
"O","main","SH"
"O","main","SN"
"O","main","SN"
