ch freq sex
110100000000 1 1
000000101111 1 1
000000001111 1 1
000000100000 1 1
000000011100 1 1
111100000000 1 1
000001000000 1 1
110111110000 1 1
000000000011 1 1
000001111100 1 1
000000000011 1 1
010000000000 1 1
000000000111 1 1
111111111100 1 1
000000011110 1 1
000001111111 1 1
000001100000 1 1
000001111110 1 1
000000001110 1 1
111111111000 1 1
000000110000 1 1
000001110000 1 1
100000000000 1 1
000000000001 1 1
000001000000 1 1
000000010000 1 1
000000000001 1 1
000000100000 1 1
011111011111 1 1
000000011011 1 1
000000011101 1 1
000000000011 1 1
000000000010 1 1
000000000111 1 1
111100000000 1 1
000001111111 1 1
000000100000 1 1
000000000111 1 1
011111111000 1 1
100000000000 1 1
000000011111 1 1
000000011111 1 1
000000000010 1 1
000001000000 1 1
000000000011 1 1
000000111011 1 1
000001000000 1 1
000001111111 1 1
000000001011 1 1
000000010010 1 1
000100000000 1 1
000000000011 1 1
111111111110 1 1
000000110000 1 1
000000000001 1 1
100000000000 1 1
000000111110 1 1
000000000111 1 1				
000000011110 1 2
000001101001 1 2
000100000000 1 2
000000000001 1 2
000001111011 1 2
000000010000 1 2
000000011010 1 2
000000110000 1 2
000001111100 1 2
000000000011 1 2
000000000011 1 2
000000100000 1 2
000000011111 1 2
000000000011 1 2
000001100000 1 2
011100000000 1 2
000001000000 1 2
000000000011 1 2
000000000010 1 2
000000000100 1 2
111100000000 1 2
000000001111 1 2
000000011000 1 2
000000001011 1 2
000000000011 1 2
000000011010 1 2
000000000010 1 2
000001101010 1 2
000101000000 1 2
000001101111 1 2
000000000010 1 2
000000000010 1 2
011011110001 1 2
000000010001 1 2
000100000000 1 2
000001000000 1 2
000000111010 1 2
000010000000 1 2
010000000000 1 2
000000011110 1 2
000011111111 1 2
000000000010 1 2
000011000000 1 2
000000000001 1 2
000001111011 1 2
000001100000 1 2
000000000001 1 2
000000000001 1 2
000011111111 1 2
000000000001 1 2
