"","Date","Lake","TAG.NUMBER","Species","Length..mm.","Weight..g.","Fin.Clipped","Notes","Year"
"6868","5/16/2018","S. Twin","5753","COC",356,558,"R Pectoral","spine taken env#60",2018
"6869","5/16/2018","S. Twin","5770","BIB",475,1474,"R Pectoral","spine taken env#95",2018
"6870","5/16/2018","S. Twin","6000","BIB",488,2073,"R Pectoral","spine taken env#57",2018
"6871","5/16/2018","S. Twin","6149","BIB",437,1302,"R Pectoral","spine taken env#50",2018
"6873","5/16/2018","S. Twin","6514","BIB",483,1783,"R Pectoral","spine taken env#58",2018
"6875","5/16/2018","S. Twin","13510","BIB",452,1420,"R Pectoral","spine taken env#22",2018
"6877","5/16/2018","S. Twin","14525","BIB",513,2145,"R Pectoral","spine taken env#51",2018
"6878","5/16/2018","S. Twin","14901","BIB",447,1411,"R Pectoral","spine taken env#25",2018
"6879","5/16/2018","S. Twin","14902","COC",396,476,"R Pectoral","spine taken env#24",2018
"6880","5/16/2018","S. Twin","14903","COC",368,590,"R Pectoral","spine taken env#23",2018
"6881","5/16/2018","S. Twin","14904","COC",378,671,"R Pectoral","spine taken env#21",2018
"6882","5/16/2018","S. Twin","14905","COC",343,476,"R Pectoral","spine taken env#20",2018
"6883","5/16/2018","S. Twin","14906","BIB",445,1451,"R Pectoral","spine taken env#19",2018
"6884","5/16/2018","S. Twin","14907","BIB",447,1433,"R Pectoral","spine taken env#18",2018
"6885","5/16/2018","S. Twin","14908","BIB",442,1306,"R Pectoral","spine taken env#17",2018
"6886","5/16/2018","S. Twin","14909","BIB",447,1424,"R Pectoral","spine taken env#16",2018
"6887","5/16/2018","S. Twin","14910","BIB",445,1356,"R Pectoral","spine taken env#15",2018
"6888","5/16/2018","S. Twin","14911","BIB",447,1329,"R Pectoral","spine taken env#14",2018
"6889","5/16/2018","S. Twin","14912","BIB",450,1315,"R Pectoral","spine taken env#13",2018
"6890","5/16/2018","S. Twin","14913","COC",465,1007,"R Pectoral","spine taken env#12",2018
"6891","5/16/2018","S. Twin","14914","COC",325,426,"R Pectoral","spine taken env#11",2018
"6893","5/16/2018","S. Twin","14916","COC",371,535,"R Pectoral","spine taken env#10",2018
"6894","5/16/2018","S. Twin","14917","COC",424,762,"R Pectoral","spine taken env#9",2018
"6895","5/16/2018","S. Twin","14918","COC",335,494,"R Pectoral","spine taken env#8",2018
"6896","5/16/2018","S. Twin","14919","COC",401,753,"R Pectoral","spine taken env#7",2018
"6897","5/16/2018","S. Twin","14920","COC",333,467,"R Pectoral","spine taken env#6",2018
"6898","5/16/2018","S. Twin","14921","COC",381,680,"R Pectoral","spine taken env#5",2018
"6899","5/16/2018","S. Twin","14922","COC",368,553,"R Pectoral","spine taken env#3",2018
"6900","5/16/2018","S. Twin","14923","COC",351,526,"R Pectoral","spine taken env#4",2018
"6901","5/16/2018","S. Twin","14924","COC",371,603,"R Pectoral","spine taken env#2",2018
"6902","5/16/2018","S. Twin","14925","COC",328,422,"R Pectoral","spine taken env#1",2018
"6903","5/16/2018","S. Twin","14926","COC",351,503,"R Pectoral","spine taken env#62",2018
"6904","5/16/2018","S. Twin","14927","COC",340,490,"R Pectoral","spine taken env#61",2018
