Lake,Month,Date,Year,Buffalo,Drum,Carp,Total Rough Fish
Center Lake,February,2/20/1991,1991,250,170,17300,17720
Center Lake,April,4/20/1996,1996,1400,0,1500,2900
Center Lake,April,4/21/1996,1996,0,0,0,0
Center Lake,October,10/21/1996,1996,800,400,1400,2600
Center Lake,April,4/17/1997,1997,0,0,299,299
Center Lake,April,4/29/1997,1997,0,0,220,220
Center Lake,May,5/6/1997,1997,400,0,17111,17511
Center Lake,June,6/2/1997,1997,478,0,4466,4944
Center Lake,April,4/23/1998,1998,1450,275,2817,4542
Center Lake,April,4/24/1998,1998,0,0,0,0
Center Lake,May,5/5/1998,1998,0,0,2200,2200
Center Lake,November,11/14/1998,1998,1100,0,3200,4300
Center Lake,November,11/20/1998,1998,1350,100,34200,35650
Center Lake,February,2/4/1999,1999,40,0,447,487
Center Lake,April,4/9/1999,1999,30,7,10,47
Center Lake,may,5/22/2001,2001,1000,50,6200,7250
Center Lake,may,5/13/2010,2010,4450,700,28000,33150
Center Lake,may,5/24/2010,2010,2600,700,4100,7400
Center Lake,May,5/10/2011,2011,3500,1400,10750,15650
Center Lake,April,4/2/2012,2012,4200,450,16800,21450
Center Lake,April,4/5/2012,2012,6900,1900,4600,13400
Center Lake,April,4/25/2013,2013,24800,2430,16750,43980
Center Lake,May,5/14/2013,2013,950,200,280,1430
Center Lake,April,4/23/2014,2014,4800,900,5900,11600
Center Lake,April,4/24/2014,2014,12400,1100,2800,16300
Center Lake,April,4/14/2015,2015,4200,250,5500,9950
Center Lake,April,4/15/2015,2015,19200,300,11500,31000
Center Lake,May,5/3/2016,2016,150,50,350,550
Center Lake,May,5/18/2016,2016,58700,100,1900,60700
Center Lake,May,5/20/2016,2016,13100,0,450,13550
Center Lake,June,6/3/2016,2016,400,0,1100,1500
Center Lake,April,4/26/2017,2017,14200,200,1300,15700
Center Lake,April,4/27/2017,2017,6200,100,4400,10700
Center Lake,May,5/11/2017,2011,16800,6900,4550,28250
Center Lake,May,5/17/2017,2017,10700,50,3700,14450
Diamond Lake,May,5/8/2001,2001,2400,0,1000,3400
East Okoboji Lake,February,2/15/1984,1984,56,11750,625,12431
East Okoboji Lake,April,4/12/1989,1989,1200,200,37500,38900
East Okoboji Lake,April,4/13/1989,1989,1100,1400,41750,44250
East Okoboji Lake,April,4/25/1989,1989,0,1500,31200,32700
East Okoboji Lake,April,4/28/1989,1989,600,450,3500,4550
East Okoboji Lake,May,5/2/1989,1989,350,200,9200,9750
East Okoboji Lake,May,5/10/1989,1989,6200,3400,2750,12350
East Okoboji Lake,May,5/16/1989,1989,700,0,3800,4500
