Lake,Date,Species,Tag Number,Length (inches),Recap,shock time (minutes),Comments,H2O temp,conductivity,Gear,Secchi
N Twin,6/19/2017,BIB,1357,24.5,,,,72,400,electrofishing,
N Twin,6/19/2017,BIB,1364,16.4,,,,72,400,electrofishing,
N Twin,6/19/2017,BIB,1368,22.8,,15,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1501,12.9,,,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1503,17.4,,,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1601,17.0,,,,72,400,electrofishing,
N Twin,6/27/2017,COC,1606,20.7,,,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1604,16.7,,,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1605,18.8,,,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1602,23.4,,,,72,400,electrofishing,
N Twin,6/27/2017,COC,1603,19.0,,,,72,400,electrofishing,
N Twin,6/27/2017,COC,1609,20.2,,,,72,400,electrofishing,
N Twin,6/27/2017,COC,1608,25.6,,,,72,400,electrofishing,
N Twin,6/27/2017,COC,1607,18.7,,,,72,400,electrofishing,
N Twin,6/27/2017,COC,1611,22.2,,,,72,400,electrofishing,
N Twin,6/27/2017,COC,1610,14.5,,,,72,400,electrofishing,
N Twin,6/27/2017,COC,1612,16.0,,20,,72,400,electrofishing,
N Twin,6/27/2017,COC,1619,22.1,,,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1618,28.1,,,,72,400,electrofishing,
N Twin,6/27/2017,COC,1621,15.0,,,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1613,16.5,,,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1614,17.5,,,,72,400,electrofishing,
N Twin,6/27/2017,COC,1624,14.6,,,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1622,17.8,,,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1623,17.5,,,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1505,18.2,,,,72,400,electrofishing,
N Twin,6/27/2017,BIB,1617,19.0,,,,72,400,electrofishing,
