Sample ID,Lake ID,Round,Lake Name,Sampling Date & Time,Year,Total Alkalinity (mg/L as CaCO3),Chlorophyll a (free of pheophytin) (µg/L),Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L),Involatile (Inorganic) Suspended Solids (mg/L),TN (mg/L),Total Phosphorus as P (µg/L),Soluble Reactive Phosphorus as P (µg/L),NO3+NO2 as N (Cadmium-reduced) (mg/L),Lake Depth at Sampling Site (m),Secchi Transparency at Sampling Site (m),Epilimnetic Average Temperature (°C),Epilimnetic Average pH,Epilimnetic Average Dissolved Oxygen (% Saturation),Epilimnetic Average Dissolved Oxygen (mg/L),Epilimnetic Average Specific Conductivity (uS/cm),Epilimnetic Average Total Dissolved Solids (g/L),Epilimnetic Average Turbidity (NTU),Phytoplankton Total Biomass (mg/L),Zooplankton Total Biomass (µg/L),Bacillariophyta,Chlorophyta,Chrysophyta,Cryptophyta,Cyanophyta,Dinophyta,Euglenophyta,Haptophyta,Alona,Anuraeopsis,Ascomorpha,Asplanchna,Asplanchnopus,Bosmina,Brachionus,Calanoida,Ceriodaphnia,Chydorus,Collotheca,Conochilus (Individual),Coulrella,Cyclopoida,Daphnia,Daphnia lumholtzi,Diaphanosoma,Disparalona,Euchlanis,Filinia,Gastropus,Hexarthra ,Kellicottia,Keratella cochlearis,Keratella quadrata,Lecane,Lepadella,Leptodora,Macrochaetus,Moina,Monostyla,Mytilina,Nauplii,Notholca,Platyias,Pleuroxus,Polyarthra,Pompholyx,Proales,Pseudochydorus,Synchaeta,Testudinella,Trichocerca
2000178001,1,1,(001) Arbor Lake (Poweshiek ) ,6/26/2000 14:50,,120,62.3,6,3,3,1.18,,,0.19,5.8,1.33,23,8.8,108,9.3,343,,11,13.57488,,,0.99011,,3.73795,4.41069,4.3286,0.10753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000206001,1,2,(001) Arbor Lake (Poweshiek ) ,7/24/2000 0:00,,140,8.1,10,6,4,1.13,,,1.38,5.6,1.23,23.9,8.9,163,13.8,418,,12,11.63462,58.518045,0.11238,0.07596,,0.70747,2.90275,5.56883,2.26723,,,,,,,,,,,,,,,43.714523,6.352037,,,,,0.075139,,,,0.137345,,,,,,,,,8.239001,,,,,,,,,,
2000227001,1,3,(001) Arbor Lake (Poweshiek ) ,8/14/2000 11:00,,124,26,14,6,8,1.77,,,0.13,5.5,1.05,26.4,8.6,87,7,288,,15,10.20996,117.783907,4.75291,2.81203,,0.30874,1.73596,0.19499,0.40533,,,,,,,0.976122,,3.362576,,,,,,50.281236,47.765309,,,,,,,,,0.029499,,,,,,,,,15.369165,,,,,,,,,,
2001150001,1,1,(001) Arbor Lake (Poweshiek ) ,5/30/2001 0:00,,140,16.3,7,5,3,2.34,90,,0.96,5.6,1.6,17.3,8.4,140,13.5,492,,6,15.0453,230.57058,0.12677,,,10.56636,4.35217,,,,,,,,,,,33.082339,,,,,,26.516096,170.260487,,,,,,,,,0.359809,,,,,,,,,0.351849,,,,,,,,,,
2001176001,1,2,(001) Arbor Lake (Poweshiek ) ,6/25/2001 18:00,,136,67.2,12,11,0.5,2.78,185,,0.13,5.8,1.25,24.2,9.1,73,6.1,447,,10,2.55794,39.311752,1.03944,0.01886,,1.48916,0.01048,,,,,,,,,,,,,,,,,8.130553,30.178119,,,,,,,,,0.171254,,,,,,,,,0.831826,,,,,,,,,,
2001211001,1,3,(001) Arbor Lake (Poweshiek ) ,7/30/2001 0:00,,121,66.9,9,7,2,1.36,207,,0.36,5.5,,27.1,9.1,201,16,429,,20,19.48946,22.491149,1.02028,0.35577,,0.31972,4.99866,12.79503,,,,,, ,,0.240178,,4.205243,,,,,,8.254738,9.682155,,,,,,,,,0.048759,,0.060076,,,,,,,,,,,,,,,,,
2002154001,1,1,(001) Arbor Lake (Poweshiek ) ,6/3/2002 19:30,,136,66,12,8,4,1.08,112,5,0.13,5.8,1.1,24,,140,11.8,509,,6,17.08329,105.010661,2.65464,14.40683,,,0.02182,,,,,,,,,,,,,,,,,67.99338,19.204191,,,,,,,,,1.796323,,,,,,,,,16.016767,,,,,,,,,,
2002189001,1,2,(001) Arbor Lake (Poweshiek ) ,7/8/2002 0:00,,85,158.9,27,,,1.56,198,2.5,0.06,5.5,0.35,28.4,9,154,12,459,,25,105.49788,165.844065,,,0.13853,0.1294,105.22995,,,,,,,,,,0.306047,14.628481,,,,,,69.363558,10.250773,,,,,1.044667,,,,16.264492,,,,,,,,,39.930356,,,,1.021702,,,,,,13.033989
2002218001,1,3,(001) Arbor Lake (Poweshiek ) ,8/6/2002 8:00,,66,40.6,49,14,35,1.58,262,123,0.58,5.5,0.2,23.8,8.2,61,5.2,236,,102,60.81624,43.044486,0.02638,0.21593,,0.21348,59.42329,0.89135,0.04581,,,,,,,,1.295798,16.760988,,,,,,7.810101,,,,,,0.569247,,,,13.713129,,,,,,,0.217851,,2.281084,,,,0.293743,,,,,,0.102545
2003153001,1,1,(001) Arbor Lake (Poweshiek ) ,6/2/2003 17:00,,117,20.7,7,3,3,2.07,80,2,0.84,5.5,2.18,19.8,8.6,110,10,594,,5,3.62661,685.491824,0.19055,0.56352,,2.82185,0.0169,,0.03379,,,,,412.421052,,6.216727,,18.369622,,,,,,80.138336,122.502802,,,,,,,,,0.155535,,,,,,,,,45.660882,,,,,,,,,,0.026868
