Sample ID,Lake ID,Sample Date,Division,Genus,Phytoplankton Biomass (mg/L),Flag,Sample Processed By,Sample Processed Date
17001227004,1,8/15/2017,Bacillariophyta,Aulacoseira,0.016091196,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Bacillariophyta,Nitzschia,0.105885613,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Bacillariophyta,Synedra,0.001287814,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Bacillariophyta,Unknown circular bacillariophyte,0.540900859,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Chlorophyta,Ankyra,0.000775316,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Chlorophyta,Chlamydomonas,0.048383301,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Chlorophyta,Chlorella,0.004495318,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Chlorophyta,Cosmarium,0.067429774,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Chlorophyta,Desmodesmus,0.010114466,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Chlorophyta,Kirchneriella,0.000292664,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Chlorophyta,Oocystis,0.00967986,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Chlorophyta,Schroederia,0.000327784,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Chlorophyta,Sphaerocystis,0.095900124,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Chlorophyta,Tetraedron,0.00343417,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Cryptophyta,Cryptomonas,0.489705506,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Cryptophyta,Komma,0.02169474,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Cyanophyta,Aphanizomenon,0.04960654,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Cyanophyta,Dolichospermum,0.334196642,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Cyanophyta,Microcystis,54.37537004,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Cyanophyta,Pseudanabaena,0.00435484,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Dinophyta,Ceratium,0.293525554,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Dinophyta,Peridinium,0.512466285,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Euglenophyta,Phacus,0.030343398,,Haley Grigel,12/11/2017
17001227004,1,8/15/2017,Euglenophyta,Trachelomonas,0.280758783,,Haley Grigel,12/11/2017
17002156001,2,6/5/2017,Bacillariophyta,Amphora,0.038482433,,Haley Grigel,8/9/2017
17002156001,2,6/5/2017,Chlorophyta,Ankyra,0.000685027,,Haley Grigel,8/9/2017
17002156001,2,6/5/2017,Chlorophyta,Characium,0.002633436,,Haley Grigel,8/9/2017
17002156001,2,6/5/2017,Chlorophyta,Pediastrum,7.228105337,,Haley Grigel,8/9/2017
17002156001,2,6/5/2017,Chlorophyta,Schroederia,0.000287769,,Haley Grigel,8/9/2017
17002156001,2,6/5/2017,Chlorophyta,Sphaerocystis,1.289525855,,Haley Grigel,8/9/2017
17002156001,2,6/5/2017,Chrysophyta,Dinobryon,0.012451541,,Haley Grigel,8/9/2017
17002156001,2,6/5/2017,Cryptophyta,Cryptomonas,0.149725039,,Haley Grigel,8/9/2017
17002156001,2,6/5/2017,Cryptophyta,Komma,0.124380977,,Haley Grigel,8/9/2017
17002156001,2,6/5/2017,Cyanophyta,Aphanizomenon,0.010842158,,Haley Grigel,8/9/2017
17002156001,2,6/5/2017,Cyanophyta,Microcystis,10.53857758,,Haley Grigel,8/9/2017
17003220003,3,8/8/2017,Bacillariophyta,Aulacoseira,0.280861456,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Bacillariophyta,Synedra,0.169858536,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Chlorophyta,Carteria,0.195381883,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Chlorophyta,Chlorella,0.003618183,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Chlorophyta,Crucigenia,0.009258616,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Chlorophyta,Desmodesmus,0.017236622,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Chlorophyta,Elakatothrix,0.005427275,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Chlorophyta,Golenkiniopsis,0.058173599,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Chlorophyta,Kirchneriella,0.00316591,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Chlorophyta,Monoraphidium,0.000678409,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Chlorophyta,Schroederia,0.002713637,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Chrysophyta,Dinobryon,0.114476861,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Chrysophyta,Mallomonas,0.066484113,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Cryptophyta,Cryptomonas,0.079147753,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Cryptophyta,Komma,0.017299438,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Cyanophyta,Cylindrospermopsis,0.150063277,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Cyanophyta,Dolichospermum,0.042400582,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Cyanophyta,Microcystis,1.852509703,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Cyanophyta,Planktolyngbya,0.467621888,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Dinophyta,Gymnodinium,0.433189474,,Haley Grigel,9/8/2017
17003220003,3,8/8/2017,Euglenophyta,Euglena,0.243775081,,Haley Grigel,9/8/2017
17004164001,4,6/13/2017,Bacillariophyta,Aulacoseira,0.07488516,,Haley Grigel,7/26/2017
17004164001,4,6/13/2017,Chlorophyta,Desmodesmus,0.00070238,,Haley Grigel,7/26/2017
17004164001,4,6/13/2017,Chlorophyta,Dictyosphaerium,0.007327104,,Haley Grigel,7/26/2017
17004164001,4,6/13/2017,Chlorophyta,Staurastrum,0.004214282,,Haley Grigel,7/26/2017
17004164001,4,6/13/2017,Cyanophyta,Aphanizomenon,0.071595261,,Haley Grigel,7/26/2017
17004164001,4,6/13/2017,Cyanophyta,Dolichospermum,3.361091472,,Haley Grigel,7/26/2017
17004164001,4,6/13/2017,Cyanophyta,Microcystis,42.38077988,,Haley Grigel,7/26/2017
17004164001,4,6/13/2017,Cyanophyta,Planktothrix,0.12889777,,Haley Grigel,7/26/2017
17004164001,4,6/13/2017,Cyanophyta,Woronichinia,100.6218694,,Haley Grigel,7/26/2017
17005233006,5,8/21/2017,Bacillariophyta,Nitzschia,0.572787417,,Haley Grigel,12/11/2017
17005233006,5,8/21/2017,Chlorophyta,Schroederia,0.01700883,,Haley Grigel,12/11/2017
17005233006,5,8/21/2017,Chlorophyta,Tetrastrum,0.003124071,,Haley Grigel,12/11/2017
17005233006,5,8/21/2017,Cryptophyta,Komma,0.024992566,,Haley Grigel,12/11/2017
17005233006,5,8/21/2017,Cyanophyta,Cylindrospermopsis,18.28214359,,Haley Grigel,12/11/2017
17005233006,5,8/21/2017,Cyanophyta,Dolichospermum,3.136567014,,Haley Grigel,12/11/2017
17005233006,5,8/21/2017,Cyanophyta,Merismopedia,0.127961937,,Haley Grigel,12/11/2017
17005233006,5,8/21/2017,Cyanophyta,Planktothrix,0.878583824,,Haley Grigel,12/11/2017
17005233006,5,8/21/2017,Cyanophyta,Pseudanabaena,0.839709715,,Haley Grigel,12/11/2017
17005233006,5,8/21/2017,Euglenophyta,Trachelomonas,0.231412647,,Haley Grigel,12/11/2017
