Sample ID,Lake ID,Sample Date,Division,Genus,Phytoplankton Biomass (mg/L),Flag,Sample Processed By,Sample Processed Date
A18001212009,1,7/31/2018,Bacillariophyta,Unknown Centric Bacillariophyte,0.014365578,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Ankyra,0.000874239,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Coelastrum,1.480475372,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Cosmarium,1.666265028,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Crucigenia,0.008696214,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Desmodesmus,0.100646106,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Kirchneriella,0.01850742,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Lagerheimia,0.243581442,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Oocystis,1.566102997,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Pediastrum,0.1607682,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Scenedesmus,0.016578158,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Schroederia,0.003283252,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Selenastrum,0.00094979,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Sphaerocystis,6.691684762,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Staurastrum,0.097914747,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Tetraedron,0.007915487,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Chlorophyta,Treubaria,0.053110008,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Cyanophyta,Aphanocapsa,8.432383254,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Cyanophyta,Coelosphaerium,2.350994315,,Emma Califf,9/7/2018
A18001212009,1,7/31/2018,Cyanophyta,Cuspidothrix,0.090661802,,Emma Califf,9/7/2018
A18003177001,3,6/26/2018,Bacillariophyta,Fragilaria,0.013735098,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Bacillariophyta,Synedra,0.000255478,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Chlorophyta,Chlamydomonas,0.002130236,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Chlorophyta,Coelastrum,0.017413715,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Chlorophyta,Cosmarium,0.037811081,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Chlorophyta,Oocystis,0.009428136,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Chlorophyta,Schroederia,0.000822986,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Chlorophyta,Selenastrum,0.000568978,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Chlorophyta,Sphaerocystis,0.008193284,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Chrysophyta,Dinobryon,0.001463086,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Cryptophyta,Cryptomonas,0.611483419,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Cryptophyta,Komma,0.025495972,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Cyanophyta,Dolichospermum,0.470170077,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Dinophyta,Gymnodinium,0.025819329,,Emma Califf,10/4/2018
A18003177001,3,6/26/2018,Euglenophyta,Euglena,0.008408268,,Emma Califf,10/4/2018
A18004259011,4,9/16/2018,Chlorophyta,Chlamydomonas,0.387988391,,Emma Califf,10/19/2018
A18004259011,4,9/16/2018,Chlorophyta,Coelastrum,0.245913273,,Emma Califf,10/19/2018
A18004259011,4,9/16/2018,Chlorophyta,Desmodesmus,0.146679898,,Emma Califf,10/19/2018
A18004259011,4,9/16/2018,Chlorophyta,Elakatothrix,0.022453263,,Emma Califf,10/19/2018
