Sample ID,Lake ID,Sample Date,Division,Genus,Zooplankton_Biomass (ug/L),Flag,Sample Processed By,Sample Processed Date
A18001163001,1,6/12/2018,Rotifera,Asplanchna,0.361622025,,11/1/2018,Elena Sandry
A18001163001,1,6/12/2018,Cladocera,Bosmina,6.612459348,,11/1/2018,Elena Sandry
A18001163001,1,6/12/2018,Cladocera,Ceriodaphnia,19.40872422,,11/1/2018,Elena Sandry
A18001163001,1,6/12/2018,Copepoda,Cyclopoida,62.48267915,,11/1/2018,Elena Sandry
A18001163001,1,6/12/2018,Cladocera,Diaphanosoma,6.73786846,,11/1/2018,Elena Sandry
A18001163001,1,6/12/2018,Rotifera,Keratella.cochlearis,0.115389244,,11/1/2018,Elena Sandry
A18001163001,1,6/12/2018,Copepoda,Nauplii,4.475189533,,11/1/2018,Elena Sandry
A18001163001,1,6/12/2018,Rotifera,Notholca,0.190911149,,11/1/2018,Elena Sandry
A18001163001,1,6/12/2018,Rotifera,Polyarthra,2.653327463,,11/1/2018,Elena Sandry
A18001163001,1,6/12/2018,Rotifera,Pompholyx,1.09906453,,11/1/2018,Elena Sandry
A18001212009,1,7/31/2018,Cladocera,Bosmina,11.3562965,,11/28/2018,Elena Sandry
A18001212009,1,7/31/2018,Rotifera,Brachionus,1.057031721,,11/28/2018,Elena Sandry
A18001212009,1,7/31/2018,Copepoda,Calanoida,12.27994235,,11/28/2018,Elena Sandry
A18001212009,1,7/31/2018,Cladocera,Ceriodaphnia,45.85594721,,11/28/2018,Elena Sandry
A18001212009,1,7/31/2018,Copepoda,Cyclopoida,72.82442438,,11/28/2018,Elena Sandry
A18001212009,1,7/31/2018,Cladocera,Daphnia,2.623356305,,11/28/2018,Elena Sandry
A18001212009,1,7/31/2018,Cladocera,Diaphanosoma,1.146877935,,11/28/2018,Elena Sandry
A18001212009,1,7/31/2018,Rotifera,Hexarthra,0.442321095,,11/28/2018,Elena Sandry
A18001212009,1,7/31/2018,Rotifera,Keratella.cochlearis,0.999035286,,11/28/2018,Elena Sandry
A18001212009,1,7/31/2018,Copepoda,Nauplii,9.44806518,,11/28/2018,Elena Sandry
A18001212009,1,7/31/2018,Rotifera,Notholca,0.181189365,,11/28/2018,Elena Sandry
A18001212009,1,7/31/2018,Rotifera,Polyarthra,2.509410182,,11/28/2018,Elena Sandry
A18001212009,1,7/31/2018,Rotifera,Pompholyx,3.526830005,,11/28/2018,Elena Sandry
A18001252013,1,9/9/2018,Rotifera,Asplanchna,1.401302296,,11/15/2018,Elena Sandry
A18001252013,1,9/9/2018,Cladocera,Bosmina,1.377027738,,11/15/2018,Elena Sandry
A18001252013,1,9/9/2018,Rotifera,Brachionus,0.841335328,,11/15/2018,Elena Sandry
A18001252013,1,9/9/2018,Copepoda,Calanoida,68.97367398,,11/15/2018,Elena Sandry
A18001252013,1,9/9/2018,Cladocera,Ceriodaphnia,11.42421486,,11/15/2018,Elena Sandry
A18001252013,1,9/9/2018,Copepoda,Cyclopoida,17.36645861,,11/15/2018,Elena Sandry
A18001252013,1,9/9/2018,Cladocera,Daphnia,19.80029296,,11/15/2018,Elena Sandry
