Year,LakeName,LakeID,LAT,LONG,SampleType,DOY,SampleID,TP_mg,TP_ugL,SRP_mg,SRP_ug,TSS_mg/L,VSS_mg/L,ISS_mg/L,TN_mg,Nox_mg,SD_m,Chla_ug/L,Phyco_ug/L,Phyco_ug/L_rerun
2018,North Twin,NT,42.47563,-94.6404667,Surface,130,P18130NTE01,0.07215,72.15,0.0024,2.4,11,,,2.49435,1.200005,0.42,77.0337608,,
2018,North Twin,NT,42.47563,-94.6404667,Bottom,130,P18130NTH01,0.07305,73.05,0.0016,1.6,17,,,,,,,,
2018,South Twin,ST,42.45847,-94.6535667,Surface,130,P18130STE01,0.2168,216.8,0.0015,1.5,72,45,27,2.55435,0.286275,0.23,45.0420712,,
2018,South Twin,ST,42.45847,-94.6535667,Bottom,130,P18130STH01,0.2169,216.9,0.00165,1.65,72,45,27,,,,,,
2018,Swan,SW,42.03612,-94.8391,Surface,131,P18131SWE01,0.157,157,0.00385,3.85,22,18,4,1.9084,0.272445,,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,131,P18131SWH01,0.17675,176.75,0.0054,5.4,38,26,12,,,,,,
2018,Center,CE,43.41263,-95.1357333,Surface,135,P18135CEE01,0.0381,38.1,0.00155,1.55,20,7,13,1.06495,0.26284,1.235,11.5786428,,
2018,Center,CE,43.41263,-95.1357333,Bottom,135,P18135CEH01,0.05485,54.85,0.00135,1.35,13,9,4,,,,,,
2018,Five Island,FI,43.1545,-94.6479833,Surface,135,P18135F1E01,0.03975,39.75,0.0014,1.4,17,5,12,3.9271,2.6512,1.545,4.016352,,
2018,Five Island,FI,43.1545,-94.6479833,Bottom,135,P18135F1H01,0.09195,91.95,0.0026,2.6,,,,,,,,,
2018,Silver,SI,43.44145,-95.3352667,Surface,136,P18136SIE01,0.0649,64.9,0.04935,49.35,2,,,4.011,2.90015,2.79,0.0005208,,
2018,Silver,SI,43.44145,-95.3352667,Bottom,136,P18136SIH01,0.0791,79.1,0.057,57,5,2,3,,,,,,
2018,Storm,SO,42.61977,-95.18565,Surface,136,P18136SOE01,0.0181,18.1,0.00175,1.75,1,,,0.750565,0.46967,1.565,0.507874,,
2018,Storm,SO,42.61977,-95.18565,Bottom,136,P18136SOH01,0.0538,53.8,0.0016,1.6,17,9,8,,,,,,
2018,Swan,SW,42.03612,-94.8391,Surface,138,P18138SWE01,0.13135,131.35,0.0127,12.7,5,,,3.04555,0.28116,,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,138,P18138SWH01,0.16405,164.05,0.0267,26.7,9,,,,,,,,
2018,North Twin,NT,42.47563,-94.6404667,Surface,144,P18144NTE01,0.0693,69.3,0.00535,5.35,19,4,15,3.71335,1.7595,0.485,33.55765,,
2018,North Twin,NT,42.47563,-94.6404667,Bottom,144,P18144NTH01,0.0825,82.5,0.00485,4.85,23,4,19,,,,,,
2018,South Twin,ST,42.45847,-94.6535667,Surface,144,P18144STE01,0.2383,238.3,0.0051,5.1,90,22,68,4.1512,0.346615,0.145,36.016814,,
2018,South Twin,ST,42.45847,-94.6535667,Bottom,144,P18144STH01,0.2588,258.8,0.0468,46.8,82,10,72,,,,,,
2018,Swan,SW,42.03612,-94.8391,Surface,145,P18145SWE01,0.08865,88.65,0.04335,43.35,14,4,10,3.08305,0.229795,,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,145,P18145SWH01,0.107,107,0.05795,57.95,24,13,11,,,,,,
