Sample ID,Lake Number,Date Sampled,Division,Genus,Biomass (mg/L),Sample Processed by,Date Processed
A19002161,2,6/10/2019,Chlorophyta,Ankyra,0.012880732,Katie Cope,12/13/2019
A19002161,2,6/10/2019,Chlorophyta,Chlamydomonas,0.067159842,Katie Cope,12/13/2019
A19002161,2,6/10/2019,Chlorophyta,Cosmarium,0.005983558,Katie Cope,12/13/2019
A19002161,2,6/10/2019,Chrysophyta,Dinobryon,0.056843805,Katie Cope,12/13/2019
A19002161,2,6/10/2019,Cryptophyta,Cryptomonas,0.313980511,Katie Cope,12/13/2019
A19002161,2,6/10/2019,Cryptophyta,Komma,0.001869862,Katie Cope,12/13/2019
A19002161,2,6/10/2019,Cyanophyta,Pseudanabaena,0.000684764,Katie Cope,12/13/2019
A19003231,3,8/19/2019,Bacillariophyta,Cocconeis,0.074373762,Katie Cope,12/29/2019
A19003231,3,8/19/2019,Chlorophyta,Chlamydomonas,0.075303434,Katie Cope,12/29/2019
A19003231,3,8/19/2019,Chlorophyta,Crucigenia,0.085226053,Katie Cope,12/29/2019
A19003231,3,8/19/2019,Chrysophyta,Dinobryon,0.343772055,Katie Cope,12/29/2019
A19003231,3,8/19/2019,Cryptophyta,Cryptomonas,0.101230954,Katie Cope,12/29/2019
A19003231,3,8/19/2019,Cryptophyta,Komma,0.033468193,Katie Cope,12/29/2019
A19003231,3,8/19/2019,Cyanophyta,Aphanothece,2.776679268,Katie Cope,12/29/2019
A19003231,3,8/19/2019,Cyanophyta,Dolichospermum,0.324309973,Katie Cope,12/29/2019
A19003231,3,8/19/2019,Cyanophyta,Merismopedia,0.063437204,Katie Cope,12/29/2019
A19003231,3,8/19/2019,Cyanophyta,Microcystis,0.063537272,Katie Cope,12/29/2019
A19004177,4,6/26/2019,Bacillariophyta,Cyclotella,0.828710298,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Bacillariophyta,Cymatopleura,0.005287821,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Bacillariophyta,Stephanodiscus,0.878736704,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Ankyra,0.004288445,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Chlamydomonas,0.063928377,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Closterium,0.043837696,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Coelastrum,2.256605201,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Cosmarium,0.004614494,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Desmodesmus,0.316813873,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Dictyosphaerium,0.055373931,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Elaktothrix,0.005191306,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Kirchneriella,0.000865218,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Lagerheimia,0.093247984,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Micractinium,0.070411595,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Oocystis,1.123328133,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Pediastrum,15.53770614,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Schroederia,0.004027543,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Selenastrum,0.012048957,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Chlorophyta,Sphaerocystis,0.062295673,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Cryptophyta,Cryptomonas,0.461449428,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Cryptophyta,Komma,0.343449887,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Cyanophyta,Aphanizomenon,0.26086313,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Cyanophyta,Aphanocapsa,0.102834225,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Cyanophyta,Cuspidothrix,0.51977952,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Cyanophyta,Dolichospermum,0.051983691,Katie Cope,11/4/2019
A19004177,4,6/26/2019,Cyanophyta,Snowella,0.067124218,Katie Cope,11/4/2019
A19005156,5,6/5/2019,Bacillariophyta,Asterionella,0.564334677,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Bacillariophyta,Cyclotella,1.20037,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Bacillariophyta,Meloseira,0.046785116,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Bacillariophyta,Nitzschia,0.082922646,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Bacillariophyta,Synedra,0.030474073,Katie Cope,10/8/2019
