Storet_ID,Station_Name,Date_Time,Year,Analyte,Method_Speciation,Result,Units,Detect_Status,Detection_Limit,Quantitation_Limit,Analytical_Procedure,Sample_Fraction,Medium,Organization_Name
22130004,South Twin Lake,5/25/2006 9:00,2006,Turbidity,,44.3,NTU,,,,USEPA 180.1,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,5/26/2006 9:00,2006,Chloride,,28,mg/l,,1,,USEPA 300.0,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,5/26/2006 9:00,2006,"Nitrogen, ammonia",as N,Not Detected,mg/l,Not Detected,0.05,,USEPA 350.1,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,5/26/2006 9:00,2006,Nitrate + nitrite,as N,Not Detected,mg/l,Not Detected,0.05,,USEPA 353.2,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,5/26/2006 9:00,2006,Orthophosphate,as P,Not Detected,mg/l,Not Detected,0.02,,USEPA 365.1,Dissolved,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,5/26/2006 9:00,2006,Phosphate-phosphorus,AS P,0.14,mg/l,,0.02,,USEPA 365.4,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,5/26/2006 9:00,2006,"Solids, Dissolved",,330,mg/l,,1,,USEPA 160.1,Dissolved,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,5/26/2006 9:00,2006,"Solids, Fixed Suspended",,24,mg/l,,1,,USEPA 160.4,NonFilt,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,5/26/2006 9:00,2006,Volatile Suspended Solids,,44,mg/l,,1,,USEPA 160.4,NonFilt,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,5/26/2006 9:00,2006,"Nitrogen, Kjeldahl",,3.4,mg/l,,0.1,,USEPA 351.2,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,5/26/2006 9:00,2006,"Solids, Total Suspended (TSS)",,68,mg/l,,1,,USDOI/USGS I3765,NonFilt,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,5/26/2006 9:00,2006,"Chlorophyll a, free of pheophytin",,100,ug/l,,1,,USEPA 445,NonFilt,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/14/2006 15:00,2006,Chloride,,31,mg/l,,1,,USEPA 300.0,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/14/2006 15:00,2006,"Nitrogen, ammonia",as N,Not Detected,mg/l,Not Detected,0.05,,USEPA 350.1,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/14/2006 15:00,2006,Nitrate + nitrite,as N,Not Detected,mg/l,Not Detected,0.05,,USEPA 353.2,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/14/2006 15:00,2006,Orthophosphate,as P,Not Detected,mg/l,Not Detected,0.02,,USEPA 365.1,Dissolved,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/14/2006 15:00,2006,Phosphate-phosphorus,AS P,0.19,mg/l,,0.02,,USEPA 365.4,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/14/2006 15:00,2006,"Solids, Dissolved",,370,mg/l,,1,,USEPA 160.1,Dissolved,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/14/2006 15:00,2006,"Solids, Fixed Suspended",,24,mg/l,,1,,USEPA 160.4,NonFilt,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/14/2006 15:00,2006,Volatile Suspended Solids,,52,mg/l,,1,,USEPA 160.4,NonFilt,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/14/2006 15:00,2006,"Nitrogen, Kjeldahl",,4,mg/l,,0.1,,USEPA 351.2,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/14/2006 15:00,2006,"Solids, Total Suspended (TSS)",,76,mg/l,,1,,USDOI/USGS I3765,NonFilt,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/14/2006 15:00,2006,"Chlorophyll a, free of pheophytin",,110,ug/l,,1,,USEPA 445,NonFilt,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/14/2006 15:00,2006,Turbidity,,178,NTU,,,,USEPA 180.1,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/29/2006 15:00,2006,Turbidity,,49.4,NTU,,,,USEPA 180.1,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/29/2006 15:00,2006,Chloride,,34,mg/l,,1,,USEPA 300.0,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/29/2006 15:00,2006,"Nitrogen, ammonia",as N,Not Detected,mg/l,Not Detected,0.05,,USEPA 350.1,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/29/2006 15:00,2006,Nitrate + nitrite,as N,Not Detected,mg/l,Not Detected,0.05,,USEPA 353.2,Total,Water,Iowa Dept. of  Natural Resources
22130004,South Twin Lake,6/29/2006 15:00,2006,Phosphate-phosphorus,AS P,0.15,mg/l,,0.02,,USEPA 365.4,Total,Water,Iowa Dept. of  Natural Resources
