Sample ID,Lake Name,Sampling Date,Chlorophyll a (free of pheophytin) (µg/L),Phycocyanin (µg/L),Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L),Nonvolatile (Inorganic) Suspended Solids (mg/L),Total Kjeldahl Nitrogen as N (mg/L),Total Phosphorus as P (mg/L),Soluble Reactive Phosphorus as P (mg/L),NO3+NO2 as N (Cadmium-reduced) (mg/L),NH3+NH4 as N (mg/L),TDS (mg/L)
17S01135009,(S01) Big Wall Lake (Wright),5/15/17,6,1.65,2.0,2.0,0.3,2.10,0.2214,0.1297,0.0,0.029,285
17S01RD2001,(S01) Big Wall Lake (Wright),6/5/17,2,1.65,4.0,4.0,0.3,1.65,0.2159,0.1260,0.0,0.046,213
17S01RD3001,(S01) Big Wall Lake (Wright),7/10/17,2,1.65,3.0,2.0,1.0,1.41,0.2695,0.1336,0.0,0.032,203
17S01RD4001,(S01) Big Wall Lake (Wright),8/24/17,1.65,1.65, 3.0 ,3.0,0.3,0.93,0.2573,0.1837,0.02,0.019,141
17S01RD5001,(S01) Big Wall Lake (Wright),9/19/17,1.65,1.65,4.0,1.0,3.0,0.70,0.1008,0.0551,0.02,0.058,242
17S02135016,(S02) Cunningham Slough (Emmet),5/15/17,116,1.65,59.0,36.0,23.0,4.50,0.2062,0.0024,0.4,0.035,534
17S02RD2002,(S02) Cunningham Slough (Emmet),6/5/17,69,1.65,38.0,27.0,11.0,0.85,0.3234,0.0024,0.8,0.573,533
17S02RD3002,(S02) Cunningham Slough (Emmet),7/10/17,11,1.65,59.0,34.0,25.0,5.45,0.3173,0.0080,0.0,0.962,496
17S02RD4002,(S02) Cunningham Slough (Emmet),8/24/17,1.65,1.65, 54.0 ,28.0,26.0,4.54,0.2356,0.0024,0.1,0.106,274
17S02RD5009,(S02) Cunningham Slough (Emmet),9/19/17,27,1.65,150.0,35.0,115.0,4.61,0.3086,0.0064,0.6,1.176,479
17S03136020,(S03) Diamond Lake (Dickinson),5/16/17,11,1.65,15.0,16.0,0.3,1.03,0.0802,0.0073,0.1,0.342,563
17S03RD2003,(S03) Diamond Lake (Dickinson),6/6/17,2,1.65,3.0,3.0,0.3,1.16,0.0181,0.0128,0.6,0.148,516
17S03RD3012,(S03) Diamond Lake (Dickinson),7/11/17,2,1.65,5.0,5.0,0.3,0.88,0.0292,0.0069,0.0,0.050,358
17S03RD4012,(S03) Diamond Lake (Dickinson),8/24/17,4,1.65, <0.8 ,0.0,0.3,1.22,0.0880,0.0024,0.02,0.011,236
