Sample ID,Lake ID,Sample Date,Division,Genus,Zooplankton_Biomass (ug/L),Flag,Sample Processed Date,Sample Processed By
A19001170004,1,6/19/2019,Cladocera,Bosmina,157.8271984,,7/10/2019,Brittany Howes
A19001170004,1,6/19/2019,Rotifera,Brachionus,2.769702462,,7/10/2019,Brittany Howes
A19001170004,1,6/19/2019,Copepoda,Calanoida,37.15638322,,7/10/2019,Brittany Howes
A19001170004,1,6/19/2019,Copepoda,Cyclopoida,9.353309231,,7/10/2019,Brittany Howes
A19001170004,1,6/19/2019,Cladocera,Daphnia,15.31114979,,7/10/2019,Brittany Howes
A19001170004,1,6/19/2019,Cladocera,Diaphanosoma,23.56339279,,7/10/2019,Brittany Howes
A19001170004,1,6/19/2019,Rotifera,Keratella.cochlearis,0.006075521,,7/10/2019,Brittany Howes
A19001170004,1,6/19/2019,Copepoda,Nauplii,14.95818157,,7/10/2019,Brittany Howes
A19001170004,1,6/19/2019,Rotifera,Polyarthra,2.578485097,,7/10/2019,Brittany Howes
A19001218002,1,8/6/2019,Rotifera,Brachionus,0.100757593,,8/23/2019,Brittany Howes
A19001218002,1,8/6/2019,Copepoda,Calanoida,6.607029944,,8/23/2019,Brittany Howes
A19001218002,1,8/6/2019,Cladocera,Chydorus,4.141725268,,8/23/2019,Brittany Howes
A19001218002,1,8/6/2019,Copepoda,Cyclopoida,1518.32301,,8/23/2019,Brittany Howes
A19001218002,1,8/6/2019,Cladocera,Daphnia,1.656974758,,8/23/2019,Brittany Howes
A19001218002,1,8/6/2019,Cladocera,Diaphanosoma,3.837372612,,8/23/2019,Brittany Howes
A19001218002,1,8/6/2019,Rotifera,Keratella.cochlearis,0.07537052,,8/23/2019,Brittany Howes
A19001218002,1,8/6/2019,Copepoda,Nauplii,2.617834758,,8/23/2019,Brittany Howes
A19001218002,1,8/6/2019,Rotifera,Polyarthra,0.167122156,,8/23/2019,Brittany Howes
A19001261003,1,9/18/2019,Cladocera,Bosmina,7.337656474,,11/23/2019,Karianna Fiebelkorn
A19001261003,1,9/18/2019,Copepoda,Calanoida,26.38516147,,11/23/2019,Karianna Fiebelkorn
A19001261003,1,9/18/2019,Cladocera,Ceriodaphnia,4.457136984,,11/23/2019,Karianna Fiebelkorn
A19001261003,1,9/18/2019,Cladocera,Chydorus,5.479309082,,11/23/2019,Karianna Fiebelkorn
A19001261003,1,9/18/2019,Copepoda,Cyclopoida,1.631267296,,11/23/2019,Karianna Fiebelkorn
A19001261003,1,9/18/2019,Cladocera,Daphnia,5.93352021,,11/23/2019,Karianna Fiebelkorn
A19001261003,1,9/18/2019,Rotifera,Keratella.cochlearis,0.285086708,,11/23/2019,Karianna Fiebelkorn
A19001261003,1,9/18/2019,Copepoda,Nauplii,1.463534333,,11/23/2019,Karianna Fiebelkorn
A19002161007,2,6/10/2019,Rotifera,Asplanchna,3.062172701,,6/26/2019,Brittany Howes
A19002161007,2,6/10/2019,Cladocera,Bosmina,5.972722222,,6/26/2019,Brittany Howes
A19002161007,2,6/10/2019,Copepoda,Calanoida,5.971101095,,6/26/2019,Brittany Howes
A19002161007,2,6/10/2019,Cladocera,Chydorus,12.27841475,,6/26/2019,Brittany Howes
A19002161007,2,6/10/2019,Copepoda,Cyclopoida,37.49158846,,6/26/2019,Brittany Howes
A19002161007,2,6/10/2019,Cladocera,Daphnia,488.3373049,,6/26/2019,Brittany Howes
A19002161007,2,6/10/2019,Rotifera,Keratella.cochlearis,0.020887636,,6/26/2019,Brittany Howes
A19002161007,2,6/10/2019,Copepoda,Nauplii,20.68031697,,6/26/2019,Brittany Howes
A19002161007,2,6/10/2019,Rotifera,Polyarthra,0.712114136,,6/26/2019,Brittany Howes
A19002210001,2,7/29/2019,Cladocera,Ceriodaphnia,122.5825906,,6/26/2019,Brittany Howes
A19002210001,2,7/29/2019,Cladocera,Chydorus,49.8026582,,8/23/2019,Karianna Fiebelkorn
A19002210001,2,7/29/2019,Copepoda,Cyclopoida,95.41507603,,8/23/2019,Karianna Fiebelkorn
A19002210001,2,7/29/2019,Cladocera,Daphnia,94.7331109,,8/23/2019,Karianna Fiebelkorn
A19002210001,2,7/29/2019,Rotifera,Keratella.cochlearis,0.030333783,,8/23/2019,Karianna Fiebelkorn
A19002210001,2,7/29/2019,Copepoda,Nauplii,1.208993324,,8/23/2019,Karianna Fiebelkorn
A19002253005,2,9/10/2019,Copepoda,Calanoida,8.154014827,,11/8/2019,Karianna Fiebelkorn
A19002253005,2,9/10/2019,Cladocera,Ceriodaphnia,14.36847571,,11/8/2019,Karianna Fiebelkorn
A19002253005,2,9/10/2019,Cladocera,Chydorus,1.69802435,,11/8/2019,Karianna Fiebelkorn
A19002253005,2,9/10/2019,Copepoda,Cyclopoida,21.41626388,,11/8/2019,Karianna Fiebelkorn
A19002253005,2,9/10/2019,Cladocera,Daphnia,31.23349915,,11/8/2019,Karianna Fiebelkorn
A19002253005,2,9/10/2019,Rotifera,Keratella.cochlearis,0.010237001,,11/8/2019,Karianna Fiebelkorn
A19002253005,2,9/10/2019,Copepoda,Nauplii,2.206734187,,11/8/2019,Karianna Fiebelkorn
A19003140003,3,5/20/2019,Cladocera,Bosmina,5.37194699,,5/21/2019,Brittany Howes
A19003140003,3,5/20/2019,Copepoda,Cyclopoida,5.235899541,,5/21/2019,Brittany Howes
A19003140003,3,5/20/2019,Cladocera,Daphnia,19.86741107,,5/21/2019,Brittany Howes
A19003140003,3,5/20/2019,Rotifera,Keratella.cochlearis,0.074737437,,5/21/2019,Brittany Howes
A19003140003,3,5/20/2019,Rotifera,Keratella.quadrata,0.715407274,,5/21/2019,Brittany Howes
A19003140003,3,5/20/2019,Copepoda,Nauplii,7.380234682,,5/21/2019,Brittany Howes
A19003140003,3,5/20/2019,Rotifera,Polyarthra,0.098451611,,5/21/2019,Brittany Howes
A19003189001,3,7/8/2019,Cladocera,Bosmina,1.337826277,,7/15/2019,Karianna Fiebelkorn
A19003189001,3,7/8/2019,Copepoda,Cyclopoida,0.576453699,,7/15/2019,Karianna Fiebelkorn
A19003189001,3,7/8/2019,Rotifera,Keratella.cochlearis,0.201323088,,7/15/2019,Karianna Fiebelkorn
A19003189001,3,7/8/2019,Copepoda,Nauplii,1.86380547,,7/15/2019,Karianna Fiebelkorn
A19003189001,3,7/8/2019,Rotifera,Polyarthra,0.218980162,,7/15/2019,Karianna Fiebelkorn
A19003231002,3,8/19/2019,Cladocera,Chydorus,1.468988715,,10/4/2019,Karianna Fiebelkorn
A19003231002,3,8/19/2019,Copepoda,Cyclopoida,12.66691299,,10/4/2019,Karianna Fiebelkorn
A19003231002,3,8/19/2019,Cladocera,Daphnia,27.55766672,,10/4/2019,Karianna Fiebelkorn
A19003231002,3,8/19/2019,Rotifera,Keratella.cochlearis,0.0052296,,10/4/2019,Karianna Fiebelkorn
A19003231002,3,8/19/2019,Copepoda,Nauplii,1.418952395,,10/4/2019,Karianna Fiebelkorn
A19003231002,3,8/19/2019,Rotifera,Polyarthra,0.442515169,,10/4/2019,Karianna Fiebelkorn
A19004177007,4,6/26/2019,Cladocera,Bosmina,13.46430225,,7/12/2019,Brittany Howes
A19004177007,4,6/26/2019,Copepoda,Calanoida,64.95497069,,7/12/2019,Brittany Howes
A19004177007,4,6/26/2019,Cladocera,Chydorus,4.779360147,,7/12/2019,Brittany Howes
A19004177007,4,6/26/2019,Copepoda,Cyclopoida,48.77250753,,7/12/2019,Brittany Howes
A19004177007,4,6/26/2019,Cladocera,Daphnia,37.48840722,,7/12/2019,Brittany Howes
A19004177007,4,6/26/2019,Cladocera,Diaphanosoma,268.3498268,,7/12/2019,Brittany Howes
A19004177007,4,6/26/2019,Rotifera,Kellicottia,3.711331295,,7/12/2019,Brittany Howes
A19004177007,4,6/26/2019,Rotifera,Keratella.cochlearis,0.057643232,,7/12/2019,Brittany Howes
A19004177007,4,6/26/2019,Rotifera,Lecane,0.270172527,,7/12/2019,Brittany Howes
A19004177007,4,6/26/2019,Copepoda,Nauplii,11.63943234,,7/12/2019,Brittany Howes
A19004224013,4,8/12/2019,Copepoda,Calanoida,52.8666456,,9/4/2019,Karianna Fiebelkorn
A19004224013,4,8/12/2019,Cladocera,Ceriodaphnia,6.062608317,,9/4/2019,Karianna Fiebelkorn
A19004224013,4,8/12/2019,Copepoda,Cyclopoida,56.29567687,,9/4/2019,Karianna Fiebelkorn
A19004224013,4,8/12/2019,Cladocera,Daphnia,2.976007806,,9/4/2019,Karianna Fiebelkorn
A19004268006,4,9/25/2019,Cladocera,Bosmina,11.65504831,,12/11/2019,Karianna Fiebelkorn
A19004268006,4,9/25/2019,Copepoda,Calanoida,14.48734806,,12/11/2019,Karianna Fiebelkorn
A19004268006,4,9/25/2019,Cladocera,Ceriodaphnia,49.11863587,,12/11/2019,Karianna Fiebelkorn
