Lake,Species,Year,L.BM,BM,U.BM,L.BMDensity,BMDensity,U.BMDensity
Blue,Carp,2017,63432,120617,224140,230.7,438.6,815.1
Center,Carp,2017,38015.78209,48720.18165,65023.89201,172.7990095,221.4553711,295.5631455
N. Twin,Carp,2017,5749.85664,9608.005774,18207.10088,12.69284026,21.20972577,40.19227567
S. Twin,Carp,2017,23530.9886,44656.33921,80604.26889,39.21831434,74.42723202,134.3404481
Blue,Carp,2018,123209.8039,145720.2972,168230.7906,458.0290106,541.7111422,625.3932737
Center,Carp,2018,18331.60773,40303.35791,62268.87496,83.3254897,183.1970814,283.0403407
Five Island,Carp,2018,138314.0064,182303.4147,226292.8231,142.1521134,187.362194,232.5722745
N. Twin,Carp,2018,14494.94026,28482.33369,42469.72713,31.99766062,62.87490882,93.75215701
Silver,Carp,2018,68162.73976,99974.06801,131775.1478,65.47813618,96.0365687,126.5851564
S. Twin,Carp,2018,23070.34178,36663.05143,50253.98657,38.45056964,61.10508571,83.75664428
Storm,Carp,2018,26346.56977,34898.64217,43450.71457,8.507126176,11.26853154,14.0299369
Blue,Carp,2019,33628,62598,91566,125,233,340
Center,Carp,2019,2102,8197,14299,10,37,65
Five Island,Carp,2019,0,211882,442625,0,218,455
N. Twin,Carp,2019,6411,18631,30851,14,41,68
Silver,Carp,2019,46269,93898,141518,44,90,136
S. Twin,Carp,2019,11239,29730,48219,19,50,80
Storm,Carp,2019,37598,73869,110140,12,24,36
Center,Buffalo,2017,62430.93154,72181.77347,85864.04824,283.7769615,328.0989703,390.2911284
N. Twin,Buffalo,2017,60026.15808,106943.25,190060.8342,132.5080752,236.0778146,419.5603405
S. Twin,Buffalo,2017,20464.27256,25492.53104,32343.53322,34.10712094,42.48755174,53.90588871
Center,Buffalo,2018,7354.238748,18060.61833,28772.11569,33.42835795,82.09371969,130.782344
Five Island,Buffalo,2018,0,19153.08342,40654.50142,0,19.68456672,41.7826325
N. Twin,Buffalo,2018,84898.44154,186613.5727,288318.765,187.4137782,411.9504917,636.4652649
Silver,Buffalo,2018,0,103429.1853,282206.1097,0,99.35560551,271.0913638
S. Twin,Buffalo,2018,83887.74981,152408.6211,221374.7801,139.8129164,254.0143685,368.9579668
Storm,Buffalo,2018,0,148797.6817,1023726.749,0,48.04574804,330.5543264
Center,Buffalo,2019,0,18967,68142,0,86,310
Five Island,Buffalo,2019,0,2787,19180,0,3,20
N. Twin,Buffalo,2019,3328,166160,329001,7,367,726
Silver,Buffalo,2019,0,32120,220983,0,31,212
S. Twin,Buffalo,2019,0,38318,137662,0,64,229
Storm,Buffalo,2019,0,974,6702,0,0,2
